"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"CD28 dependent Vav1 pathway"	"CD28 dependent Vav1 pathway"	12	12	12	1	0.0749506903353057	38	42	12	1	0	0
"CHL1 interactions"	"CHL1 interactions"	9	9	9	1	0.124260355029586	63	66	15	3	0	0
"COPI Mediated Transport"	"COPI Mediated Transport"	10	10	10	1	0.0631163708086785	32	36	9	1	0	0
"COX reactions"	"COX reactions"	1	1	1	1	0.00986193293885602	5	5	5	5	0	0
"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	16	16	16	1	0.169625246548323	86	106	17	1	0	0
"CYP2E1 reactions"	"CYP2E1 reactions"	11	11	11	1	0.0729783037475345	37	40	6	1	0	0
"Cam-PDE 1 activation"	"Cam-PDE 1 activation"	4	4	4	1	0.0453648915187377	23	23	13	1	0	0
"Carnitine synthesis"	"Carnitine synthesis"	4	4	4	1	0.0118343195266272	6	6	3	1	0	0
"Caspase-mediated cleavage of cytoskeletal proteins"	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	12	1	0.205128205128205	104	122	42	1	0	0
"Catecholamine biosynthesis"	"Catecholamine biosynthesis"	4	4	4	1	0.0355029585798817	18	18	7	1	0	0
"Cation-coupled Chloride cotransporters"	"Cation-coupled Chloride cotransporters"	7	7	7	1	0.0749506903353057	38	41	9	1	0	0
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	5	5	5	1	0.0157790927021696	8	8	3	1	0	0
"Classical Kir channels"	"Classical Kir channels"	4	4	4	1	0.0276134122287968	14	14	4	3	0	0
"Cohesin Loading onto Chromatin"	"Cohesin Loading onto Chromatin"	10	10	10	1	0.120315581854043	61	66	23	3	0	0
"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	64	64	64	1	0.520710059171598	264	540	38	1	0	0
"Conjugation of benzoate with glycine"	"Conjugation of benzoate with glycine"	5	5	5	1	0.0591715976331361	30	32	11	3	0	0
"Conjugation of carboxylic acids"	"Conjugation of carboxylic acids"	8	8	8	1	0.0788954635108481	40	44	11	1	0	0
"Conjugation of phenylacetate with glutamine"	"Conjugation of phenylacetate with glutamine"	2	2	2	1	0.0335305719921105	17	18	11	7	0	0
"Conjugation of salicylate with glycine"	"Conjugation of salicylate with glycine"	7	7	7	1	0.0670611439842209	34	37	11	1	0	0
"Constitutive Signaling by EGFRvIII"	"Constitutive Signaling by EGFRvIII"	15	15	15	1	0.280078895463511	142	167	85	1	0	0
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	19	19	19	1	0.287968441814596	146	176	85	1	0	0
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	7	7	7	1	0.173570019723866	88	92	66	1	0	0
"Crosslinking of collagen fibrils"	"Crosslinking of collagen fibrils"	9	9	9	1	0.0571992110453649	29	34	7	1	0	0
"DNA Damage Recognition in GG-NER"	"DNA Damage Recognition in GG-NER"	2	2	2	1	0.00394477317554241	2	3	2	1	0	0
"DNA Damage Reversal"	"DNA Damage Reversal"	3	3	3	1	0.0177514792899408	9	9	4	2	0	0
"DSCAM interactions"	"DSCAM interactions"	11	11	11	1	0.153846153846154	78	87	23	1	0	0
"Degradation of GABA"	"Degradation of GABA"	2	2	2	1	0.0138067061143984	7	7	6	1	0	0
"Degradation of cysteine and homocysteine"	"Degradation of cysteine and homocysteine"	8	8	8	1	0.0276134122287968	14	15	5	1	0	0
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	12	12	12	1	0.108481262327416	55	68	16	1	0	0
"Dermatan sulfate biosynthesis"	"Dermatan sulfate biosynthesis"	11	11	11	1	0.136094674556213	69	82	26	1	0	0
"Disinhibition of SNARE formation"	"Disinhibition of SNARE formation"	5	5	5	1	0.0631163708086785	32	35	11	4	0	0
"Dopamine receptors"	"Dopamine receptors"	5	5	5	1	0.0355029585798817	18	18	6	1	0	0
"Downregulation of ERBB2:ERBB3 signaling"	"Downregulation of ERBB2:ERBB3 signaling"	13	13	13	1	0.104536489151874	53	56	12	1	0	0
"Downregulation of ERBB4 signaling"	"Downregulation of ERBB4 signaling"	8	8	8	1	0.0729783037475345	37	41	17	1	0	0
"E2F-enabled inhibition of pre-replication complex formation"	"E2F-enabled inhibition of pre-replication complex formation"	10	10	10	1	0.0433925049309665	22	24	5	1	0	0
"ER Quality Control Compartment (ERQC)"	"ER Quality Control Compartment (ERQC)"	6	6	6	1	0.0433925049309665	22	23	8	2	0	0
"Eicosanoids"	"Eicosanoids"	12	12	12	1	0.102564102564103	52	55	8	2	0	0
"Electric Transmission Across Gap Junctions"	"Electric Transmission Across Gap Junctions"	5	5	5	1	0.0355029585798817	18	19	9	1	0	0
"Electron transport from NADPH to Ferredoxin"	"Electron transport from NADPH to Ferredoxin"	3	3	3	1	0.0138067061143984	7	7	3	2	0	0
"Elevation of cytosolic Ca2+ levels"	"Elevation of cytosolic Ca2+ levels"	9	9	9	1	0.108481262327416	55	62	18	2	0	0
"Establishment of Sister Chromatid Cohesion"	"Establishment of Sister Chromatid Cohesion"	11	11	11	1	0.0848126232741617	43	48	8	2	0	0
"FGFR1b ligand binding and activation"	"FGFR1b ligand binding and activation"	5	5	5	1	0.0138067061143984	7	8	3	1	0	0
"FGFR1c and Klotho ligand binding and activation"	"FGFR1c and Klotho ligand binding and activation"	3	3	3	1	0.019723865877712	10	10	5	1	0	0
"FMO oxidises nucleophiles"	"FMO oxidises nucleophiles"	3	3	3	1	0.029585798816568	15	17	7	4	0	0
"FasL/ CD95L signaling"	"FasL/ CD95L signaling"	5	5	5	1	0.0986193293885602	50	51	42	1	0	0
"Fatty acids"	"Fatty acids"	15	15	15	1	0.102564102564103	52	60	8	2	0	0
"Fibronectin matrix formation"	"Fibronectin matrix formation"	6	6	6	1	0.0611439842209073	31	32	17	1	0	0
"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	5	5	5	1	0.0256410256410256	13	14	6	1	0	0
"Formation of annular gap junctions"	"Formation of annular gap junctions"	9	9	9	1	0.0670611439842209	34	38	10	1	0	0
"Formation of editosomes by ADAR proteins"	"Formation of editosomes by ADAR proteins"	2	2	2	1	0.0157790927021696	8	8	6	2	0	0
"Formation of the Editosome"	"Formation of the Editosome"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"Formation of the active cofactor, UDP-glucuronate"	"Formation of the active cofactor, UDP-glucuronate"	3	3	3	1	0.0177514792899408	9	9	5	2	0	0
"Fructose catabolism"	"Fructose catabolism"	2	2	2	1	0.0118343195266272	6	6	4	2	0	0
"G2/M DNA damage checkpoint"	"G2/M DNA damage checkpoint"	9	9	9	1	0.0887573964497041	45	49	20	1	0	0
"GABA A (rho) receptor activation"	"GABA A (rho) receptor activation"	3	3	3	1	0.0138067061143984	7	7	4	1	0	0
"GABA A receptor activation"	"GABA A receptor activation"	13	13	13	1	0.134122287968442	68	85	12	3	0	0
"GABA synthesis"	"GABA synthesis"	2	2	2	1	0.0138067061143984	7	7	5	2	0	0
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	7	1	0.110453648915187	56	62	13	5	0	0
"GRB7 events in ERBB2 signaling"	"GRB7 events in ERBB2 signaling"	5	5	5	1	0.0493096646942801	25	25	12	1	0	0
"Gamma-carboxylation of protein precursors"	"Gamma-carboxylation of protein precursors"	9	9	9	1	0.0591715976331361	30	33	10	1	0	0
"Gap junction degradation"	"Gap junction degradation"	10	10	10	1	0.0710059171597633	36	40	10	1	0	0
"Glycogen breakdown (glycogenolysis)"	"Glycogen breakdown (glycogenolysis)"	14	14	14	1	0.0887573964497041	45	50	10	1	0	0
"Glycoprotein hormones"	"Glycoprotein hormones"	10	10	10	1	0.0355029585798817	18	18	2	1	0	0
"Glyoxylate metabolism"	"Glyoxylate metabolism"	5	5	5	1	0.029585798816568	15	15	8	1	0	0
"Golgi to ER Retrograde Transport"	"Golgi to ER Retrograde Transport"	10	10	10	1	0.0631163708086785	32	36	9	1	0	0
"Growth hormone receptor signaling"	"Growth hormone receptor signaling"	24	24	24	1	0.142011834319527	72	81	9	1	0	0
"HCN channels"	"HCN channels"	4	4	4	1	0.0631163708086785	32	33	21	1	0	0
"Highly sodium permeable acetylcholine nicotinic receptors"	"Highly sodium permeable acetylcholine nicotinic receptors"	7	7	7	1	0.0414201183431953	21	22	5	1	0	0
"Histidine catabolism"	"Histidine catabolism"	5	5	5	1	0.0256410256410256	13	14	5	1	0	0
"HuR stabilizes mRNA"	"HuR stabilizes mRNA"	8	8	8	1	0.0650887573964497	33	33	9	1	0	0
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	4	1	0.0453648915187377	23	25	8	3	0	0
"Hydrolysis of LPE"	"Hydrolysis of LPE"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"Hydroxycarboxylic acid-binding receptors"	"Hydroxycarboxylic acid-binding receptors"	3	3	3	1	0.0216962524654832	11	11	5	3	0	0
"Hypusine synthesis from eIF5A-lysine"	"Hypusine synthesis from eIF5A-lysine"	4	4	4	1	0.00986193293885602	5	5	2	1	0	0
"IRAK2 mediated activation of TAK1 complex"	"IRAK2 mediated activation of TAK1 complex"	10	10	10	1	0.0532544378698225	27	32	6	1	0	0
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	10	1	0.0532544378698225	27	32	6	1	0	0
"Import of palmitoyl-CoA into the mitochondrial matrix"	"Import of palmitoyl-CoA into the mitochondrial matrix"	11	11	11	1	0.108481262327416	55	57	17	1	0	0
"Influenza Virus Induced Apoptosis"	"Influenza Virus Induced Apoptosis"	4	4	4	1	0.0256410256410256	13	13	9	1	0	0
"Inhibition of HSL"	"Inhibition of HSL"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"Inhibition of Signaling by Overexpressed EGFR"	"Inhibition of Signaling by Overexpressed EGFR"	2	2	2	1	0.0374753451676529	19	20	13	7	0	0
"Inhibition of TSC complex formation by PKB"	"Inhibition of TSC complex formation by PKB"	3	3	3	1	0.0216962524654832	11	11	6	2	0	0
"Inositol transporters"	"Inositol transporters"	7	7	7	1	0.0552268244575937	28	32	7	2	0	0
"Insulin effects increased synthesis of Xylulose-5-Phosphate"	"Insulin effects increased synthesis of Xylulose-5-Phosphate"	2	2	2	1	0.00986193293885602	5	5	4	1	0	0
"Interaction With Cumulus Cells"	"Interaction With Cumulus Cells"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Interaction With The Zona Pellucida"	"Interaction With The Zona Pellucida"	10	10	10	1	0.0769230769230769	39	42	7	1	0	0
"Interactions of Tat with host cellular proteins"	"Interactions of Tat with host cellular proteins"	3	3	3	1	0.0177514792899408	9	9	4	2	0	0
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	3	3	3	1	0.0157790927021696	8	8	3	2	0	0
"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	10	10	10	1	0.100591715976331	51	57	14	1	0	0
"Kinesins"	"Kinesins"	27	27	27	1	0.216962524654832	110	134	16	1	0	0
"Klotho-mediated ligand binding"	"Klotho-mediated ligand binding"	6	6	6	1	0.0433925049309665	22	22	5	1	0	0
"Laminin interactions"	"Laminin interactions"	23	23	23	1	0.32741617357002	166	225	36	2	0	0
"Lectin pathway of complement activation"	"Lectin pathway of complement activation"	6	6	6	1	0.029585798816568	15	17	6	1	0	0
"Leukotriene receptors"	"Leukotriene receptors"	5	5	5	1	0.0216962524654832	11	11	5	1	0	0
"Linoleic acid (LA) metabolism"	"Linoleic acid (LA) metabolism"	6	6	6	1	0.0138067061143984	7	7	2	1	0	0
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	5	5	5	1	0.177514792899408	90	103	66	1	0	0
"Lysosphingolipid and LPA receptors"	"Lysosphingolipid and LPA receptors"	9	9	9	1	0.0374753451676529	19	19	4	1	0	0
"MEK activation"	"MEK activation"	7	7	7	1	0.0769230769230769	39	41	28	1	0	0
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Mitochondrial Uncoupling Proteins"	"Mitochondrial Uncoupling Proteins"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"Mitochondrial transcription initiation"	"Mitochondrial transcription initiation"	3	3	3	1	0.0138067061143984	7	7	4	1	0	0
"Mitotic Telophase/Cytokinesis"	"Mitotic Telophase/Cytokinesis"	14	14	14	1	0.138067061143984	70	77	23	1	0	0
"Molybdenum cofactor biosynthesis"	"Molybdenum cofactor biosynthesis"	6	6	6	1	0.019723865877712	10	10	3	1	0	0
"Multifunctional anion exchangers"	"Multifunctional anion exchangers"	6	6	6	1	0.0473372781065089	24	24	6	1	0	0
"N-Glycan antennae elongation"	"N-Glycan antennae elongation"	15	15	15	1	0.0670611439842209	34	40	6	1	0	0
"N-glycan antennae elongation in the medial/trans-Golgi"	"N-glycan antennae elongation in the medial/trans-Golgi"	20	20	20	1	0.0927021696252465	47	56	6	1	0	0
"N-glycan trimming and elongation in the cis-Golgi"	"N-glycan trimming and elongation in the cis-Golgi"	5	5	5	1	0.0157790927021696	8	8	2	1	0	0
"NADPH regeneration"	"NADPH regeneration"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"NFG and proNGF binds to p75NTR"	"NFG and proNGF binds to p75NTR"	3	3	3	1	0.0453648915187377	23	23	21	1	0	0
"NGF processing"	"NGF processing"	4	4	4	1	0.0256410256410256	13	15	10	1	0	0
"NGF-independant TRKA activation"	"NGF-independant TRKA activation"	5	5	5	1	0.0276134122287968	14	15	5	2	0	0
"NICD traffics to nucleus"	"NICD traffics to nucleus"	13	13	13	1	0.256410256410256	130	155	66	1	0	0
"NOSIP mediated eNOS trafficking"	"NOSIP mediated eNOS trafficking"	2	2	2	1	0.0118343195266272	6	6	3	3	0	0
"Na+/Cl- dependent neurotransmitter transporters"	"Na+/Cl- dependent neurotransmitter transporters"	19	19	19	1	0.120315581854043	61	69	10	1	0	0
"Nephrin interactions"	"Nephrin interactions"	22	22	22	1	0.355029585798817	180	231	85	1	0	0
"Neurofascin interactions"	"Neurofascin interactions"	7	7	7	1	0.0749506903353057	38	43	9	2	0	0
"Neurophilin interactions with VEGF and VEGFR"	"Neurophilin interactions with VEGF and VEGFR"	4	4	4	1	0.0571992110453649	29	33	12	4	0	0
"Nicotinamide salvaging"	"Nicotinamide salvaging"	5	5	5	1	0.0414201183431953	21	22	7	1	0	0
"Nonhomologous End-joining (NHEJ)"	"Nonhomologous End-joining (NHEJ)"	6	6	6	1	0.0788954635108481	40	43	23	2	0	0
"Notch-HLH transcription pathway"	"Notch-HLH transcription pathway"	13	13	13	1	0.256410256410256	130	155	66	1	0	0
"NrCAM interactions"	"NrCAM interactions"	7	7	7	1	0.0749506903353057	38	42	9	3	0	0
"Organic anion transport"	"Organic anion transport"	5	5	5	1	0.0276134122287968	14	18	5	2	0	0
"Organic anion transporters"	"Organic anion transporters"	8	8	8	1	0.0591715976331361	30	31	7	1	0	0
"Organic cation transport"	"Organic cation transport"	8	8	8	1	0.0414201183431953	21	21	7	1	0	0
"Organic cation/anion/zwitterion transport"	"Organic cation/anion/zwitterion transport"	13	13	13	1	0.0650887573964497	33	39	7	1	0	0
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	3	3	3	1	0.0256410256410256	13	14	8	3	0	0
"PDE3B signalling"	"PDE3B signalling"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"PI and PC transport between ER and Golgi membranes"	"PI and PC transport between ER and Golgi membranes"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"PLC-mediated hydrolysis of PIP2"	"PLC-mediated hydrolysis of PIP2"	1	1	1	1	0.0157790927021696	8	8	8	8	0	0
"Peptide hormone biosynthesis"	"Peptide hormone biosynthesis"	12	12	12	1	0.0433925049309665	22	22	2	1	0	0
"Plasmalogen biosynthesis"	"Plasmalogen biosynthesis"	4	4	4	1	0.0276134122287968	14	15	4	3	0	0
"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	19	19	19	1	0.21301775147929	108	139	18	2	0	0
"Post-transcriptional silencing by small RNAs"	"Post-transcriptional silencing by small RNAs"	7	7	7	1	0.0887573964497041	45	50	10	4	0	0
"Potassium transport channels"	"Potassium transport channels"	3	3	3	1	0.0216962524654832	11	11	6	2	0	0
"Pregnenolone biosynthesis"	"Pregnenolone biosynthesis"	9	9	9	1	0.0236686390532544	12	15	3	1	0	0
"Processing of DNA ends prior to end rejoining"	"Processing of DNA ends prior to end rejoining"	4	4	4	1	0.0611439842209073	31	33	23	2	0	0
"Processing of Intronless Pre-mRNAs"	"Processing of Intronless Pre-mRNAs"	14	14	14	1	0.0650887573964497	33	37	5	1	0	0
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2"	"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2"	3	3	3	1	0.00788954635108481	4	4	2	1	0	0
"Proton-coupled neutral amino acid transporters"	"Proton-coupled neutral amino acid transporters"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"Proton/oligonucleotide cotransporters"	"Proton/oligonucleotide cotransporters"	4	4	4	1	0.019723865877712	10	10	4	1	0	0
"RAF activation"	"RAF activation"	5	5	5	1	0.0631163708086785	32	32	28	1	0	0
"RAF phosphorylates MEK"	"RAF phosphorylates MEK"	7	7	7	1	0.0769230769230769	39	41	28	1	0	0
"RSK activation"	"RSK activation"	6	6	6	1	0.0532544378698225	27	29	8	1	0	0
"Ras activation uopn Ca2+ infux through NMDA receptor"	"Ras activation uopn Ca2+ infux through NMDA receptor"	17	17	17	1	0.230769230769231	117	150	28	1	0	0
"Reactions specific to the complex N-glycan synthesis pathway"	"Reactions specific to the complex N-glycan synthesis pathway"	4	4	4	1	0.0256410256410256	13	13	5	2	0	0
"Reactions specific to the hybrid N-glycan synthesis pathway"	"Reactions specific to the hybrid N-glycan synthesis pathway"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	14	14	14	1	0.238658777120316	121	137	66	1	0	0
"Recruitment of NuMA to mitotic centrosomes"	"Recruitment of NuMA to mitotic centrosomes"	11	11	11	1	0.0927021696252465	47	51	13	1	0	0
"Recycling of bile acids and salts"	"Recycling of bile acids and salts"	15	15	15	1	0.116370808678501	59	73	10	1	0	0
"Recycling of eIF2:GDP"	"Recycling of eIF2:GDP"	8	8	8	1	0.0374753451676529	19	21	5	1	0	0
"Reduction of cytosolic Ca++ levels"	"Reduction of cytosolic Ca++ levels"	10	10	10	1	0.128205128205128	65	77	15	4	0	0
"Regulation by TREX1"	"Regulation by TREX1"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Regulation of Commissural axon pathfinding by Slit and Robo"	"Regulation of Commissural axon pathfinding by Slit and Robo"	4	4	4	1	0.0907297830374754	46	51	23	4	0	0
"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	2	1	0.0177514792899408	9	9	5	4	0	0
"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	5	5	5	1	0.0256410256410256	13	13	6	1	0	0
"Regulation of the Fanconi anemia pathway"	"Regulation of the Fanconi anemia pathway"	10	10	10	1	0.102564102564103	52	60	20	1	0	0
"Release of eIF4E"	"Release of eIF4E"	6	6	6	1	0.0335305719921105	17	18	9	1	0	0
"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	9	9	9	1	0.0532544378698225	27	29	10	1	0	0
"Reuptake of GABA"	"Reuptake of GABA"	4	4	4	1	0.0236686390532544	12	12	4	2	0	0
