"Number of paths"	"Path names"
"BMP1"	1	"Collagen biosynthesis and modifying enzymes"
"COL7A1"	1	"Collagen biosynthesis and modifying enzymes"
"LAMA3"	1	"Laminin interactions"
"LAMB3"	1	"Laminin interactions"
"LAMC2"	1	"Laminin interactions"
"TLL1"	1	"Collagen biosynthesis and modifying enzymes"
"TLL2"	1	"Collagen biosynthesis and modifying enzymes"
"ALOX12"	1	"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"
"PTGS1"	1	"COX reactions"
"MGAT3"	1	"Reactions specific to the hybrid N-glycan synthesis pathway"
"COL10A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL11A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL11A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL15A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL1A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL1A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL24A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL27A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL2A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL3A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A4"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A5"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A6"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A5"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A6"	1	"Collagen biosynthesis and modifying enzymes"
"COL8A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL8A2"	1	"Collagen biosynthesis and modifying enzymes"
"ITGA6"	1	"Laminin interactions"
"ITGB4"	1	"Laminin interactions"
"PCOLCE"	1	"Collagen biosynthesis and modifying enzymes"
"SERPINH1"	1	"Collagen biosynthesis and modifying enzymes"
"CD72"	1	"Other semaphorin interactions"
"COL9A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL9A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL9A3"	1	"Collagen biosynthesis and modifying enzymes"
"ITGA2"	1	"Laminin interactions"
"LAMA1"	1	"Laminin interactions"
"LAMB1"	1	"Laminin interactions"
"LAMC1"	1	"Laminin interactions"
"PLXNA1"	1	"Other semaphorin interactions"
"PLXNA2"	1	"Other semaphorin interactions"
"PLXNA4"	1	"Other semaphorin interactions"
"PLXNB3"	1	"Other semaphorin interactions"
"PLXNC1"	1	"Other semaphorin interactions"
"PLXND1"	1	"Other semaphorin interactions"
"SEMA3E"	1	"Other semaphorin interactions"
"SEMA4A"	1	"Other semaphorin interactions"
"SEMA4D"	1	"Other semaphorin interactions"
"SEMA6A"	1	"Other semaphorin interactions"
"SEMA6D"	1	"Other semaphorin interactions"
"SEMA7A"	1	"Other semaphorin interactions"
"TREM2"	1	"Other semaphorin interactions"
"TRPC3"	1	"Platelet calcium homeostasis"
"TRPC6"	1	"Platelet calcium homeostasis"
"TRPC7"	1	"Platelet calcium homeostasis"
"ITGA3"	1	"Laminin interactions"
"NAPEPLD"	1	"Biosynthesis of A2E, implicated in retinal degradation"
"COL17A1"	1	"Collagen biosynthesis and modifying enzymes"
"P4HB"	1	"Collagen biosynthesis and modifying enzymes"
"OCRL"	1	"Synthesis of IP3 and IP4 in the cytosol"
"COL12A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL13A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL14A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL16A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL19A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL20A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL21A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL22A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL23A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL25A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL26A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL28A1"	1	"Collagen biosynthesis and modifying enzymes"
"COLGALT1"	1	"Collagen biosynthesis and modifying enzymes"
"COLGALT2"	1	"Collagen biosynthesis and modifying enzymes"
"CRTAP"	1	"Collagen biosynthesis and modifying enzymes"
"P3H1"	1	"Collagen biosynthesis and modifying enzymes"
"P3H2"	1	"Collagen biosynthesis and modifying enzymes"
"P3H3"	1	"Collagen biosynthesis and modifying enzymes"
"PCOLCE2"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD1"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD2"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD3"	1	"Collagen biosynthesis and modifying enzymes"
"PPIB"	1	"Collagen biosynthesis and modifying enzymes"
"INPPL1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"TREX1"	1	"Regulation by TREX1"
"POLH"	1	"Translesion synthesis by Pol eta"
"HAS1"	1	"Hyaluronan biosynthesis and export"
"HAS2"	1	"Hyaluronan biosynthesis and export"
"HAS3"	1	"Hyaluronan biosynthesis and export"
"ADAMTS1"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS16"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS18"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS4"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS5"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS8"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS9"	1	"O-glycosylation of TSR domain-containing proteins"
"LAMA5"	1	"Laminin interactions"
"NID1"	1	"Laminin interactions"
"NOS3"	1	"NOSIP mediated eNOS trafficking"
"ITGA7"	1	"Laminin interactions"
"LAMA2"	1	"Laminin interactions"
"LAMA4"	1	"Laminin interactions"
"LAMB2"	1	"Laminin interactions"
"P2RX1"	1	"Platelet calcium homeostasis"
"LAMC3"	1	"Laminin interactions"
"NID2"	1	"Laminin interactions"
"THBS1"	1	"O-glycosylation of TSR domain-containing proteins"
"ITPK1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLD4"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCB4"	1	"Synthesis of IP3 and IP4 in the cytosol"
"GAD1"	1	"GABA synthesis"
"GAD2"	1	"GABA synthesis"
"LBP"	1	"Transfer of LPS from LBP carrier to CD14"
"INPP5B"	1	"Synthesis of IP3 and IP4 in the cytosol"
"INPP5J"	1	"Synthesis of IP3 and IP4 in the cytosol"
"ITPKA"	1	"Synthesis of IP3 and IP4 in the cytosol"
"ITPKB"	1	"Synthesis of IP3 and IP4 in the cytosol"
"ITPKC"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCD1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCD3"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCE1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCH1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCH2"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCZ1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"SYNJ1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"NOSIP"	1	"NOSIP mediated eNOS trafficking"
"ADAMTS10"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS12"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS13"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS15"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS17"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS19"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS20"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS6"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTS7"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTSL1"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTSL2"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTSL3"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTSL4"	1	"O-glycosylation of TSR domain-containing proteins"
"ADAMTSL5"	1	"O-glycosylation of TSR domain-containing proteins"
"B3GALTL"	1	"O-glycosylation of TSR domain-containing proteins"
"CFP"	1	"O-glycosylation of TSR domain-containing proteins"
"POFUT2"	1	"O-glycosylation of TSR domain-containing proteins"
"SBSPON"	1	"O-glycosylation of TSR domain-containing proteins"
"SEMA5B"	1	"O-glycosylation of TSR domain-containing proteins"
"SPON1"	1	"O-glycosylation of TSR domain-containing proteins"
"SPON2"	1	"O-glycosylation of TSR domain-containing proteins"
"SSPO"	1	"O-glycosylation of TSR domain-containing proteins"
"THBS2"	1	"O-glycosylation of TSR domain-containing proteins"
"THSD1"	1	"O-glycosylation of TSR domain-containing proteins"
"THSD4"	1	"O-glycosylation of TSR domain-containing proteins"
"THSD7A"	1	"O-glycosylation of TSR domain-containing proteins"
"THSD7B"	1	"O-glycosylation of TSR domain-containing proteins"
