"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"NOSIP mediated eNOS trafficking"	"NOSIP mediated eNOS trafficking"	2	2	2	1	0.0169491525423729	2	2	1	1	0	0
"Neurophilin interactions with VEGF and VEGFR"	"Neurophilin interactions with VEGF and VEGFR"	4	4	4	1	0.0593220338983051	7	7	4	1	0	0
"PDE3B signalling"	"PDE3B signalling"	2	2	2	1	0.0254237288135593	3	3	2	1	0	0
"PLC-mediated hydrolysis of PIP2"	"PLC-mediated hydrolysis of PIP2"	1	1	1	1	0.0169491525423729	2	2	2	2	0	0
"Reactions specific to the hybrid N-glycan synthesis pathway"	"Reactions specific to the hybrid N-glycan synthesis pathway"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Regulation by TREX1"	"Regulation by TREX1"	1	1	1	1	0.0169491525423729	2	2	2	2	0	0
"Signaling by FGFR1 amplification mutants"	"Signaling by FGFR1 amplification mutants"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Signaling by FGFR2 amplification mutants"	"Signaling by FGFR2 amplification mutants"	1	1	1	1	0.0169491525423729	2	2	2	2	0	0
"Signaling by FGFR4 mutants"	"Signaling by FGFR4 mutants"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Transfer of LPS from LBP carrier to CD14"	"Transfer of LPS from LBP carrier to CD14"	2	2	2	1	0.0169491525423729	2	3	2	1	0	0
"Translesion synthesis by Pol eta"	"Translesion synthesis by Pol eta"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"mRNA Editing: A to I Conversion"	"mRNA Editing: A to I Conversion"	2	2	2	1	0.0169491525423729	2	2	1	1	0	0
"t(4;14) translocations of FGFR3"	"t(4;14) translocations of FGFR3"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Caspase-mediated cleavage of cytoskeletal proteins"	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	11	0.916666666666667	0.279661016949153	33	38	12	0	2.39927992891076e-05	0.00677975859538808
"Reduction of cytosolic Ca++ levels"	"Reduction of cytosolic Ca++ levels"	10	10	9	0.9	0.127118644067797	15	16	4	0	0.000141540392621708	0.0332040081865669
"CHL1 interactions"	"CHL1 interactions"	9	9	8	0.888888888888889	0.110169491525424	13	13	4	0	0.000343682979472071	0.0763055247980293
"Amino Acid conjugation"	"Amino Acid conjugation"	8	8	7	0.875	0.110169491525424	13	15	6	0	0.000834361577234377	0.160916288803071
"Conjugation of carboxylic acids"	"Conjugation of carboxylic acids"	8	8	7	0.875	0.110169491525424	13	15	6	0	0.000834361577234377	0.160916288803071
"Conjugation of salicylate with glycine"	"Conjugation of salicylate with glycine"	7	7	6	0.857142857142857	0.101694915254237	12	14	6	0	0.00202520619701851	0.318733815953704
"Post-transcriptional silencing by small RNAs"	"Post-transcriptional silencing by small RNAs"	7	7	6	0.857142857142857	0.110169491525424	13	13	4	0	0.00202520619701851	0.318733815953704
"Terminal pathway of complement"	"Terminal pathway of complement"	7	7	6	0.857142857142857	0.0932203389830508	11	13	4	0	0.00202520619701851	0.318733815953704
"Vitamin D (calciferol) metabolism"	"Vitamin D (calciferol) metabolism"	7	7	6	0.857142857142857	0.211864406779661	25	29	12	0	0.00202520619701851	0.318733815953704
"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	19	19	16	0.842105263157895	0.220338983050847	26	30	4	0	1.81191237165201e-05	0.00523907626697025
"Adherens junctions interactions"	"Adherens junctions interactions"	30	30	25	0.833333333333333	0.372881355932203	44	58	10	0	3.47258990784916e-07	0.000119932526845693
"Pre-NOTCH Processing in the Endoplasmic Reticulum"	"Pre-NOTCH Processing in the Endoplasmic Reticulum"	6	6	5	0.833333333333333	0.271186440677966	32	34	23	0	0.00491476678939096	0.587564517899901
"Transport of organic anions"	"Transport of organic anions"	11	11	9	0.818181818181818	0.0932203389830508	11	12	3	0	0.000974141862406963	0.182258591824738
"ATM mediated phosphorylation of repair proteins"	"ATM mediated phosphorylation of repair proteins"	5	5	4	0.8	0.0508474576271186	6	6	2	0	0.0119249161743226	1
"ATM mediated response to DNA double-strand break"	"ATM mediated response to DNA double-strand break"	5	5	4	0.8	0.0508474576271186	6	6	2	0	0.0119249161743226	1
"Adenylate cyclase activating pathway"	"Adenylate cyclase activating pathway"	10	10	8	0.8	0.152542372881356	18	20	7	0	0.00216296626112555	0.331076919786898
"Cohesin Loading onto Chromatin"	"Cohesin Loading onto Chromatin"	10	10	8	0.8	0.152542372881356	18	19	7	0	0.00216296626112555	0.331076919786898
"Dopamine receptors"	"Dopamine receptors"	5	5	4	0.8	0.0423728813559322	5	5	2	0	0.0119249161743226	1
"GRB7 events in ERBB2 signaling"	"GRB7 events in ERBB2 signaling"	5	5	4	0.8	0.0338983050847458	4	4	1	0	0.0119249161743226	1
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	5	5	4	0.8	0.127118644067797	15	17	7	0	0.0119249161743226	1
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	5	5	4	0.8	0.245762711864407	29	32	23	0	0.0119249161743226	1
"NGF-independant TRKA activation"	"NGF-independant TRKA activation"	5	5	4	0.8	0.0338983050847458	4	4	1	0	0.0119249161743226	1
"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	5	5	4	0.8	0.0423728813559322	5	5	2	0	0.0119249161743226	1
"S6K1 signalling"	"S6K1 signalling"	5	5	4	0.8	0.0508474576271186	6	6	3	0	0.0119249161743226	1
"Synthesis of IP3 and IP4 in the cytosol"	"Synthesis of IP3 and IP4 in the cytosol"	25	25	20	0.8	0.228813559322034	27	35	3	0	1.40156509735867e-05	0.00414906242789349
"p130Cas linkage to MAPK signaling for integrins"	"p130Cas linkage to MAPK signaling for integrins"	15	15	12	0.8	0.203389830508475	24	28	6	0	0.000396607883668687	0.0865112272503199
"Other semaphorin interactions"	"Other semaphorin interactions"	19	19	15	0.789473684210526	0.245762711864407	29	37	7	0	0.000154077126553021	0.0354756528642773
"Adenylate cyclase inhibitory pathway"	"Adenylate cyclase inhibitory pathway"	14	14	11	0.785714285714286	0.169491525423729	20	23	7	0	0.000841254458008422	0.160916288803071
"Inhibition of adenylate cyclase pathway"	"Inhibition of adenylate cyclase pathway"	14	14	11	0.785714285714286	0.169491525423729	20	23	7	0	0.000841254458008422	0.160916288803071
"Laminin interactions"	"Laminin interactions"	23	23	18	0.782608695652174	0.279661016949153	33	48	10	0	5.8796082816448e-05	0.0155538003822078
"Elevation of cytosolic Ca2+ levels"	"Elevation of cytosolic Ca2+ levels"	9	9	7	0.777777777777778	0.110169491525424	13	14	4	0	0.00475979035933283	0.58241287523799
"Sodium/Calcium exchangers"	"Sodium/Calcium exchangers"	9	9	7	0.777777777777778	0.101694915254237	12	12	4	0	0.00475979035933283	0.58241287523799
"Nephrin interactions"	"Nephrin interactions"	22	22	17	0.772727272727273	0.338983050847458	40	51	20	0	0.000118997468092186	0.0284524954965598
"NICD traffics to nucleus"	"NICD traffics to nucleus"	13	13	10	0.769230769230769	0.347457627118644	41	48	23	0	0.00176667172384359	0.299912946881152
"Notch-HLH transcription pathway"	"Notch-HLH transcription pathway"	13	13	10	0.769230769230769	0.347457627118644	41	48	23	0	0.00176667172384359	0.299912946881152
"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	29	29	22	0.758620689655172	0.389830508474576	46	68	9	0	3.25479352601965e-05	0.0087973444721372
"AKT-mediated inactivation of FOXO1A"	"AKT-mediated inactivation of FOXO1A"	4	4	3	0.75	0.0423728813559322	5	5	2	0	0.0289285418770859	1
"ATP sensitive Potassium channels"	"ATP sensitive Potassium channels"	4	4	3	0.75	0.0677966101694915	8	8	4	0	0.0289285418770859	1
"Activation of AMPA receptors"	"Activation of AMPA receptors"	4	4	3	0.75	0.0677966101694915	8	8	3	0	0.0289285418770859	1
"Activation, myristolyation of BID and translocation to mitochondria"	"Activation, myristolyation of BID and translocation to mitochondria"	4	4	3	0.75	0.11864406779661	14	14	12	0	0.0289285418770859	1
"Class II GLUTs"	"Class II GLUTs"	4	4	3	0.75	0.0254237288135593	3	3	1	0	0.0289285418770859	1
"Organic anion transporters"	"Organic anion transporters"	8	8	6	0.75	0.0847457627118644	10	10	3	0	0.0103611185355075	0.998626112165871
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	4	4	3	0.75	0.0338983050847458	4	4	2	0	0.0289285418770859	1
"Processing of DNA ends prior to end rejoining"	"Processing of DNA ends prior to end rejoining"	4	4	3	0.75	0.0677966101694915	8	8	5	0	0.0289285418770859	1
"Recruitment of repair and signaling proteins to double-strand breaks"	"Recruitment of repair and signaling proteins to double-strand breaks"	8	8	6	0.75	0.0847457627118644	10	11	4	0	0.0103611185355075	0.998626112165871
"Regulation of Commissural axon pathfinding by Slit and Robo"	"Regulation of Commissural axon pathfinding by Slit and Robo"	4	4	3	0.75	0.110169491525424	13	15	8	0	0.0289285418770859	1
"Reuptake of GABA"	"Reuptake of GABA"	4	4	3	0.75	0.0338983050847458	4	4	2	0	0.0289285418770859	1
"Scavenging by Class H Receptors"	"Scavenging by Class H Receptors"	4	4	3	0.75	0.11864406779661	14	15	6	0	0.0289285418770859	1
"Sema3A PAK dependent Axon repulsion"	"Sema3A PAK dependent Axon repulsion"	16	16	12	0.75	0.203389830508475	24	28	6	0	0.00131205671319168	0.234247623127175
"mRNA Editing"	"mRNA Editing"	4	4	3	0.75	0.0338983050847458	4	4	2	0	0.0289285418770859	1
"O-glycosylation of TSR domain-containing proteins"	"O-glycosylation of TSR domain-containing proteins"	39	39	29	0.743589743589744	0.440677966101695	52	81	9	0	6.07871723379283e-06	0.00188946101744766
"Apoptotic cleavage of cellular proteins"	"Apoptotic cleavage of cellular proteins"	38	38	28	0.736842105263158	0.389830508474576	46	62	12	0	1.14730223665926e-05	0.00347920460449755
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	11	0.733333333333333	0.194915254237288	23	26	6	0	0.00261984075536725	0.370150386908225
"Apoptotic cleavage of cell adhesion  proteins"	"Apoptotic cleavage of cell adhesion  proteins"	11	11	8	0.727272727272727	0.0847457627118644	10	11	2	0	0.00751267605535899	0.798352678550258
"Facilitative Na+-independent glucose transporters"	"Facilitative Na+-independent glucose transporters"	11	11	8	0.727272727272727	0.0932203389830508	11	11	3	0	0.00751267605535899	0.798352678550258
"Pre-NOTCH Processing in Golgi"	"Pre-NOTCH Processing in Golgi"	18	18	13	0.722222222222222	0.313559322033898	37	43	23	0	0.00180913298356911	0.299912946881152
"CREB phosphorylation"	"CREB phosphorylation"	7	7	5	0.714285714285714	0.0423728813559322	5	5	1	0	0.0222521303436256	1
"Cation-coupled Chloride cotransporters"	"Cation-coupled Chloride cotransporters"	7	7	5	0.714285714285714	0.0847457627118644	10	10	4	0	0.0222521303436256	1
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	7	7	5	0.714285714285714	0.23728813559322	28	28	23	0	0.0222521303436256	1
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	5	0.714285714285714	0.0677966101694915	8	9	3	0	0.0222521303436256	1
"Inositol transporters"	"Inositol transporters"	7	7	5	0.714285714285714	0.0593220338983051	7	8	3	0	0.0222521303436256	1
"Mitotic Telophase/Cytokinesis"	"Mitotic Telophase/Cytokinesis"	14	14	10	0.714285714285714	0.177966101694915	21	22	7	0	0.00515986836523907	0.60522762537091
"Nectin/Necl  trans heterodimerization"	"Nectin/Necl  trans heterodimerization"	7	7	5	0.714285714285714	0.0423728813559322	5	5	1	0	0.0222521303436256	1
"PP2A-mediated dephosphorylation of key metabolic factors"	"PP2A-mediated dephosphorylation of key metabolic factors"	7	7	5	0.714285714285714	0.0423728813559322	5	5	1	0	0.0222521303436256	1
"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	14	14	10	0.714285714285714	0.322033898305085	38	41	23	0	0.00515986836523907	0.60522762537091
"ABCA transporters in lipid homeostasis"	"ABCA transporters in lipid homeostasis"	17	17	12	0.705882352941177	0.161016949152542	19	22	5	0	0.00346633682153719	0.461072484657208
"Netrin mediated repulsion signals"	"Netrin mediated repulsion signals"	10	10	7	0.7	0.152542372881356	18	20	8	0	0.0151470867521617	1
"Role of DCC in regulating apoptosis"	"Role of DCC in regulating apoptosis"	10	10	7	0.7	0.11864406779661	14	14	8	0	0.0151470867521617	1
"GABA A receptor activation"	"GABA A receptor activation"	13	13	9	0.692307692307692	0.161016949152542	19	22	5	0	0.0100042026397618	0.979410475783588
"Platelet Adhesion to exposed collagen"	"Platelet Adhesion to exposed collagen"	13	13	9	0.692307692307692	0.101694915254237	12	14	3	0	0.0100042026397618	0.979410475783588
"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	64	64	44	0.6875	0.508474576271186	60	108	9	0	2.23946122868135e-06	0.000713945280184895
"Signaling by FGFR1 fusion mutants"	"Signaling by FGFR1 fusion mutants"	19	19	13	0.684210526315789	0.347457627118644	41	44	20	0	0.00426587835534209	0.54104126804688
"Stimuli-sensing channels"	"Stimuli-sensing channels"	98	98	66	0.673469387755102	0.559322033898305	66	128	13	0	4.47976020723218e-08	1.68782266180716e-05
"ECM proteoglycans"	"ECM proteoglycans"	55	55	37	0.672727272727273	0.440677966101695	52	84	10	0	2.62557298631449e-05	0.00725433433886876
"L1CAM interactions"	"L1CAM interactions"	97	97	65	0.670103092783505	0.644067796610169	76	142	10	0	7.53649553875135e-08	2.75598287888695e-05
"5-Phosphoribose 1-diphosphate biosynthesis"	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"Activation of TRKA receptors"	"Activation of TRKA receptors"	6	6	4	0.666666666666667	0.0338983050847458	4	4	1	0	0.0469756630989804	1
"Arachidonate production from DAG"	"Arachidonate production from DAG"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"Beta oxidation of butanoyl-CoA to acetyl-CoA"	"Beta oxidation of butanoyl-CoA to acetyl-CoA"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"Breakdown of the nuclear lamina"	"Breakdown of the nuclear lamina"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"DNA Damage Reversal"	"DNA Damage Reversal"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"GABA A (rho) receptor activation"	"GABA A (rho) receptor activation"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"Inactivation of Cdc42 and Rac"	"Inactivation of Cdc42 and Rac"	9	9	6	0.666666666666667	0.161016949152542	19	21	8	0	0.029965767152119	1
"Klotho-mediated ligand binding"	"Klotho-mediated ligand binding"	6	6	4	0.666666666666667	0.0508474576271186	6	6	2	0	0.0469756630989804	1
"Mitochondrial Uncoupling Proteins"	"Mitochondrial Uncoupling Proteins"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"Nef and signal transduction"	"Nef and signal transduction"	9	9	6	0.666666666666667	0.144067796610169	17	18	6	0	0.029965767152119	1
"Nonhomologous End-joining (NHEJ)"	"Nonhomologous End-joining (NHEJ)"	6	6	4	0.666666666666667	0.076271186440678	9	9	5	0	0.0469756630989804	1
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"PECAM1 interactions"	"PECAM1 interactions"	12	12	8	0.666666666666667	0.076271186440678	9	10	2	0	0.0190477830311928	1
"Potassium transport channels"	"Potassium transport channels"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"RSK activation"	"RSK activation"	6	6	4	0.666666666666667	0.0338983050847458	4	4	1	0	0.0469756630989804	1
"Recycling of bile acids and salts"	"Recycling of bile acids and salts"	15	15	10	0.666666666666667	0.101694915254237	12	12	2	0	0.0121449442923864	1
"Regulation of gene expression by Hypoxia-inducible Factor"	"Regulation of gene expression by Hypoxia-inducible Factor"	9	9	6	0.666666666666667	0.144067796610169	17	18	7	0	0.029965767152119	1
"S6K1-mediated signalling"	"S6K1-mediated signalling"	9	9	6	0.666666666666667	0.0847457627118644	10	10	3	0	0.029965767152119	1
"Signalling to STAT3"	"Signalling to STAT3"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"Synthesis of PIPs at the ER membrane"	"Synthesis of PIPs at the ER membrane"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"TWIK related potassium channel (TREK)"	"TWIK related potassium channel (TREK)"	3	3	2	0.666666666666667	0.0169491525423729	2	2	1	0	0.0701643616656317	1
"The fatty acid cycling model"	"The fatty acid cycling model"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"The proton buffering model"	"The proton buffering model"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"Trafficking of dietary sterols"	"Trafficking of dietary sterols"	3	3	2	0.666666666666667	0.0254237288135593	3	3	2	0	0.0701643616656317	1
"Type I hemidesmosome assembly"	"Type I hemidesmosome assembly"	9	9	6	0.666666666666667	0.169491525423729	20	24	10	0	0.029965767152119	1
"Vitamins"	"Vitamins"	6	6	4	0.666666666666667	0.0423728813559322	5	5	2	0	0.0469756630989804	1
"Chondroitin sulfate biosynthesis"	"Chondroitin sulfate biosynthesis"	20	20	13	0.65	0.203389830508475	24	26	6	0	0.00884252947027431	0.879533708820505
"Syndecan interactions"	"Syndecan interactions"	20	20	13	0.65	0.11864406779661	14	17	4	0	0.00884252947027431	0.879533708820505
"Acetylcholine Neurotransmitter Release Cycle"	"Acetylcholine Neurotransmitter Release Cycle"	17	17	11	0.647058823529412	0.177966101694915	21	27	5	0	0.0139276474267511	1
"PKA activation in glucagon signalling"	"PKA activation in glucagon signalling"	17	17	11	0.647058823529412	0.186440677966102	22	24	7	0	0.0139276474267511	1
"NRAGE signals death through JNK"	"NRAGE signals death through JNK"	45	45	29	0.644444444444444	0.330508474576271	39	60	6	0	0.000491712548494228	0.100223010167481
"Activation of Rac"	"Activation of Rac"	14	14	9	0.642857142857143	0.211864406779661	25	29	8	0	0.0221150383260682	1
"CS/DS degradation"	"CS/DS degradation"	14	14	9	0.642857142857143	0.169491525423729	20	21	6	0	0.0221150383260682	1
"DCC mediated attractive signaling"	"DCC mediated attractive signaling"	14	14	9	0.642857142857143	0.161016949152542	19	21	8	0	0.0221150383260682	1
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	14	14	9	0.642857142857143	0.186440677966102	22	27	6	0	0.0221150383260682	1
"Ion channel transport"	"Ion channel transport"	167	167	107	0.640718562874252	0.694915254237288	82	208	13	0	5.91829252272191e-10	2.37367206768451e-07
"Effects of PIP2 hydrolysis"	"Effects of PIP2 hydrolysis"	25	25	16	0.64	0.23728813559322	28	31	4	0	0.00621942863979941	0.69042809020217
"TRP channels"	"TRP channels"	25	25	16	0.64	0.23728813559322	28	33	5	0	0.00621942863979941	0.69042809020217
"ABC-family proteins mediated transport"	"ABC-family proteins mediated transport"	36	36	23	0.638888888888889	0.296610169491525	35	45	5	0	0.00179469193344572	0.299912946881152
"Biotin transport and metabolism"	"Biotin transport and metabolism"	11	11	7	0.636363636363636	0.152542372881356	18	19	6	0	0.0355055152769685	1
"Dermatan sulfate biosynthesis"	"Dermatan sulfate biosynthesis"	11	11	7	0.636363636363636	0.169491525423729	20	21	6	0	0.0355055152769685	1
"EGFR interacts with phospholipase C-gamma"	"EGFR interacts with phospholipase C-gamma"	33	33	21	0.636363636363636	0.322033898305085	38	45	7	0	0.00277622826702795	0.387838707702472
"Establishment of Sister Chromatid Cohesion"	"Establishment of Sister Chromatid Cohesion"	11	11	7	0.636363636363636	0.0932203389830508	11	12	3	0	0.0355055152769685	1
"Synthesis of IP2, IP, and Ins in the cytosol"	"Synthesis of IP2, IP, and Ins in the cytosol"	11	11	7	0.636363636363636	0.0677966101694915	8	9	2	0	0.0355055152769685	1
"Tryptophan catabolism"	"Tryptophan catabolism"	11	11	7	0.636363636363636	0.0847457627118644	10	10	3	0	0.0355055152769685	1
"Unwinding of DNA"	"Unwinding of DNA"	11	11	7	0.636363636363636	0.076271186440678	9	9	2	0	0.0355055152769685	1
"mTORC1-mediated signalling"	"mTORC1-mediated signalling"	11	11	7	0.636363636363636	0.0932203389830508	11	11	3	0	0.0355055152769685	1
"Molecules associated with elastic fibres"	"Molecules associated with elastic fibres"	30	30	19	0.633333333333333	0.220338983050847	26	29	5	0	0.00430803874941177	0.54104126804688
"Integrin alphaIIb beta3 signaling"	"Integrin alphaIIb beta3 signaling"	27	27	17	0.62962962962963	0.254237288135593	30	37	6	0	0.00671053614326123	0.738354221450017
"PLC beta mediated events"	"PLC beta mediated events"	43	43	27	0.627906976744186	0.338983050847458	40	50	7	0	0.00131882523027804	0.234247623127175
"ChREBP activates metabolic gene expression"	"ChREBP activates metabolic gene expression"	8	8	5	0.625	0.0932203389830508	11	12	6	0	0.0579251657679802	1
"Digestion of dietary carbohydrate"	"Digestion of dietary carbohydrate"	8	8	5	0.625	0.203389830508475	24	29	12	0	0.0579251657679802	1
"PKA activation"	"PKA activation"	16	16	10	0.625	0.169491525423729	20	22	7	0	0.0244687973954694	1
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	8	8	5	0.625	0.0593220338983051	7	7	2	0	0.0579251657679802	1
"Trafficking of GluR2-containing AMPA receptors"	"Trafficking of GluR2-containing AMPA receptors"	16	16	10	0.625	0.127118644067797	15	16	3	0	0.0244687973954694	1
"Vitamin C (ascorbate) metabolism"	"Vitamin C (ascorbate) metabolism"	8	8	5	0.625	0.0508474576271186	6	6	2	0	0.0579251657679802	1
"VxPx cargo-targeting to cilium"	"VxPx cargo-targeting to cilium"	21	21	13	0.619047619047619	0.203389830508475	24	28	6	0	0.0165342790213197	1
"EPHA-mediated growth cone collapse"	"EPHA-mediated growth cone collapse"	34	34	21	0.617647058823529	0.38135593220339	45	63	8	0	0.00482483211306817	0.58241287523799
"PLCG1 events in ERBB2 signaling"	"PLCG1 events in ERBB2 signaling"	34	34	21	0.617647058823529	0.322033898305085	38	45	7	0	0.00482483211306817	0.58241287523799
"Apoptotic execution  phase"	"Apoptotic execution  phase"	52	52	32	0.615384615384615	0.423728813559322	50	69	12	0	0.000982147752776941	0.182258591824738
"Downregulation of ERBB2:ERBB3 signaling"	"Downregulation of ERBB2:ERBB3 signaling"	13	13	8	0.615384615384615	0.101694915254237	12	12	2	0	0.039395838911913	1
"G-protein mediated events"	"G-protein mediated events"	44	44	27	0.613636363636364	0.338983050847458	40	50	7	0	0.00221014624849569	0.331076919786898
"Inositol phosphate metabolism"	"Inositol phosphate metabolism"	44	44	27	0.613636363636364	0.288135593220339	34	46	3	0	0.00221014624849569	0.331076919786898
"DAG and IP3 signaling"	"DAG and IP3 signaling"	31	31	19	0.612903225806452	0.288135593220339	34	40	7	0	0.00747203393241636	0.798352678550258
"Activation of SMO"	"Activation of SMO"	18	18	11	0.611111111111111	0.127118644067797	15	16	2	0	0.026232808679745	1
"Assembly of collagen fibrils and other multimeric structures"	"Assembly of collagen fibrils and other multimeric structures"	54	54	33	0.611111111111111	0.466101694915254	55	89	10	0	0.00101454610951568	0.185502113899601
"Synthesis of PIPs at the Golgi membrane"	"Synthesis of PIPs at the Golgi membrane"	18	18	11	0.611111111111111	0.135593220338983	16	18	5	0	0.026232808679745	1
"Tie2 Signaling"	"Tie2 Signaling"	18	18	11	0.611111111111111	0.296610169491525	35	39	20	0	0.026232808679745	1
"EPHB-mediated forward signaling"	"EPHB-mediated forward signaling"	41	41	25	0.609756097560976	0.347457627118644	41	52	7	0	0.00338521010312465	0.457492297893412
"Double-Strand Break Repair"	"Double-Strand Break Repair"	23	23	14	0.608695652173913	0.186440677966102	22	26	5	0	0.0174346066012245	1
