"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Acetylcholine Binding And Downstream Events"	"CHRNA1 CHRNA2 CHRNA3 CHRNA5 CHRNA6 CHRNA7 CHRNA9 CHRNB2 CHRNB3 CHRNB4 CHRND CHRNG"
"Acetylcholine Neurotransmitter Release Cycle"	"BZRAP1 CHAT CPLX1 PPFIA1 PPFIA2 PPFIA3 PPFIA4 RAB3A RIMS1 SLC18A3 SLC5A7 SNAP25 STX1A STXBP1 SYT1 UNC13B"
"Acetylcholine regulates insulin secretion"	"GNA11 GNA14 GNA15 GNAQ CHRM3 MARCKS PLCB1 PLCB3 PRKCA"
"Activated NOTCH1 Transmits Signal to the Nucleus"	"RPS27A UBA52 APH1A NCSTN NOTCH1 PSEN2 PSENEN UBB UBC ARRB1 CNTN1 DLK1 DLL1 DNER DTX2 DTX4 ITCH JAG1 JAG2 MIB1 MIB2 NEURL1B NUMB"
"Activated TLR4 signalling"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC UBE2D1 CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BIRC2 BIRC3 BTK CASP8 CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FADD FOS HMGB1 IKBKB IKBKE IKBKG IRAK1 IRAK2 IRAK3 IRAK4 IRF3 IRF7 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK1 RIPK2 RIPK3 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SARM1 SIGIRR SOCS1 TAB3 TANK TBK1 TICAM1 TICAM2 TIRAP TLR1 TLR2 TLR3 TLR4 TLR6 TRAF3 TRAF6 UBE2D2 UBE2V1"
"Activated point mutants of FGFR2"	"FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2"
"Activation and oligomerization of BAK protein"	"BAK1 BID"
"Activation of AMPA receptors"	"GRIA1 GRIA2 GRIA3 GRIA4"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBE2C UBE2D1 UBE2E1 CCNA1 CCNA2 CCNB1 CDK1 PLK1 PTTG1"
"Activation of ATR in response to replication stress"	"CDK2 ATR ATRIP CDC25A CDC25C CDC45 CDC6 CDC7 CHEK1 CLSPN DBF4 HUS1 MCM10 MCM2 MCM3 MCM4 MCM5 MCM7 MCM8 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 RAD1 RAD17 RAD9A RAD9B RFC2 RFC3 RFC4 RFC5 RPA3"
"Activation of BAD and translocation to mitochondria"	"AKT1 AKT2 AKT3 BAD YWHAB BID BCL2 PPP3CC PPP3R1 YWHAG YWHAH YWHAZ"
"Activation of BH3-only proteins"	"AKT1 AKT2 AKT3 BAD YWHAB MAPK8 BID BCL2 PPP3CC PPP3R1 YWHAG YWHAH YWHAZ BCL2L11 DYNLL1 DYNLL2 E2F1 PMAIP1 TFDP1 TP53"
"Activation of BIM and translocation to mitochondria"	"MAPK8 BCL2L11 DYNLL1"
"Activation of BMF and translocation to mitochondria"	"MAPK8 DYNLL2"
"Activation of C3 and C5"	"C2 C3 C4A C4B C5 CFB"
"Activation of Ca-permeable Kainate Receptor"	"CALM1 DLG1 DLG3 GRIK2 GRIK3 GRIK4 NCALD"
"Activation of CaMK IV"	"CALM1 CAMK4"
"Activation of DNA fragmentation factor"	"HMGB1 CASP3 DFFA DFFB HIST1H1A HIST1H1B HIST1H1C HIST1H1D HIST1H1E HMGB2 KPNA1 KPNB1"
"Activation of G protein gated Potassium channels"	"GNB1 GNB2 GNB3 GNG10 GNG12 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ16 KCNJ2 KCNJ3 KCNJ5 KCNJ6 KCNJ9"
"Activation of GABAB receptors"	"GNB1 GNB2 GNB3 GNG10 GNG12 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 GNAI3 GNAT3 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ16 KCNJ2 KCNJ3 KCNJ5 KCNJ6 KCNJ9 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL"
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	"RPS27A UBA52 UBB UBC CD14 IKBKE IRF3 IRF7 LY96 SARM1 TANK TBK1 TICAM1 TICAM2 TLR3 TLR4 TRAF3"
"Activation of Kainate Receptors upon glutamate binding"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 PLCB1 PLCB3 CALM1 DLG1 DLG3 GRIK2 GRIK3 GRIK4 NCALD"
"Activation of Matrix Metalloproteinases"	"CMA1 COL18A1 CTRB1 CTRB2 CTSG CTSK ELANE FURIN KLK2 KLKB1 MMP1 MMP10 MMP11 MMP13 MMP14 MMP15 MMP16 MMP2 MMP24 MMP25 MMP3 MMP7 MMP8 MMP9 PLG PRSS1 PRSS2 TIMP1 TIMP2 TPSAB1"
"Activation of NF-kappaB in B cells"	"RPS27A UBA52 CHUK CUL1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC IKBKB IKBKG MAP3K7 NFKBIA NFKBIB RELA BCL10 CARD11 FBXW11 MALT1 NFKBIE PRKCB REL"
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	"CCNB1 CDK1 PLK1 NEK6 NEK7 NEK9"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"CREB1 BRAF HRAS MAPK1 RAF1 RPS6KA2 RPS6KA3 GRIA1 GRIA2 GRIA3 GRIA4 CALM1 CAMK4 ADCY1 ADCY3 ADCY8 ACTN2 AKAP9 CAMK2A CAMK2B CAMK2G GRIN1 GRIN2A GRIN2B GRIN2C NEFL PDPK1 PRKACA PRKACB PRKACG RASGRF1 RASGRF2 RPS6KA6 RRAS"
"Activation of NOXA and translocation to mitochondria"	"E2F1 PMAIP1 TFDP1 TP53"
"Activation of Na-permeable Kainate Receptors"	"GRIK2"
"Activation of Nicotinic Acetylcholine Receptors"	"CHRNA1 CHRNA2 CHRNA3 CHRNA5 CHRNA6 CHRNA7 CHRNA9 CHRNB2 CHRNB3 CHRNB4 CHRND CHRNG"
"Activation of PKB"	"AKT2 PDPK1 THEM4 TRIB3"
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"MAPK14 PRKAA2 PRKAB2 PRKAG2 PPARGC1A PRKAB1 PRKAG3"
"Activation of PUMA and translocation to mitochondria"	"E2F1 TFDP1 TP53"
"Activation of RAS in B cells"	"HRAS KRAS NRAS RASGRP3"
"Activation of Rac"	"GPC1 NCK1 NCK2 PAK1 PAK2 PAK3 PAK4 PAK7 RAC1 ROBO1 SLIT2 SOS1 SOS2"
"Activation of SMO"	"CSNK1A1 ARRB1 ADRBK1 BOC CDON DHH EFCAB7 EVC EVC2 GAS1 GAS8 IHH IQCE KIF3A PTCH1 SHH SMO"
"Activation of TRKA receptors"	"NGF NTRK1 ADCYAP1 ADCYAP1R1 ADORA2A NTRK2"
"Activation of caspases through apoptosome-mediated cleavage"	"CASP9 CASP3 CASP7 CYCS"
"Activation of gene expression by SREBF (SREBP)"	"NFYA NFYC ACACA ACACB CARM1 CHD9 CREBBP CYP51A1 DHCR7 FASN FDFT1 FDPS GGPS1 GPAM HMGCR HMGCS1 IDI1 LSS MED1 MVD MVK NCOA1 NCOA2 NCOA6 PMVK PPARA RXRA SC5D SMARCD3 SP1 SQLE SREBF1 TBL1X TBL1XR1 TGS1 TM7SF2"
"Activation of the AP-1 family of transcription factors"	"MAPK14 MAPK1 MAPK3 ATF2 FOS JUN MAPK10 MAPK8 MAPK9"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	"EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF3B EIF3C EIF3D EIF3E EIF3F EIF3G EIF3H EIF3I EIF3K EIF4A1 EIF4A2 EIF4B EIF4G1 EIF4H FAU PABPC1 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA EIF4EBP1"
"Activation of the phototransduction cascade"	"GNB1 GNGT1 CNGA1 CNGB1 GNAT1 PDE6A PDE6B PDE6G RHO SAG"
"Activation of the pre-replicative complex"	"CDK2 CDC45 CDC6 CDC7 DBF4 MCM10 MCM2 MCM3 MCM4 MCM5 MCM7 MCM8 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 RPA3 CDT1 POLA1 POLA2 POLE2 PRIM1 PRIM2 RPA4"
"Activation, myristolyation of BID and translocation to mitochondria"	"CASP8 BID GZMB NMT1"
"Activation, translocation and oligomerization of BAX"	"BID BAX"
"Acyl chain remodeling of CL"	"PLA2G4A HADHA HADHB LCLAT1 TAZ"
"Acyl chain remodeling of DAG and TAG"	"DGAT1 DGAT2 MGLL PNPLA2"
"Acyl chain remodelling of PC"	"PLA2G4A LPCAT1 LPCAT2 LPCAT3 LPCAT4 MBOAT2 PLA2G10 PLA2G16 PLA2G1B PLA2G3 PLA2G4C PLA2G4E PLB1 PLBD1 PNPLA8"
"Acyl chain remodelling of PE"	"PLA2G4A LPCAT3 LPCAT4 MBOAT2 PLA2G10 PLA2G16 PLA2G1B PLA2G3 PLA2G4C PLA2G4E PLBD1 PNPLA8 MBOAT1"
"Acyl chain remodelling of PG"	"PLA2G4A LPCAT1 LPCAT4 PLA2G10 PLA2G1B PLA2G3 CRLS1 LPGAT1"
"Acyl chain remodelling of PI"	"PLA2G4A PLA2G10 PLA2G16 PLA2G1B PLA2G4C PLA2G4E PLBD1 MBOAT7"
"Acyl chain remodelling of PS"	"PLA2G4A LPCAT3 LPCAT4 PLA2G10 PLA2G16 PLA2G1B PLA2G4E MBOAT1"
