"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Biosynthesis of A2E, implicated in retinal degradation"	"Biosynthesis of A2E, implicated in retinal degradation"	1	1	1	1	0.0540540540540541	16	16	16	16	0	0
"Biotin transport and metabolism"	"Biotin transport and metabolism"	11	11	11	1	0.293918918918919	87	128	60	1	0	0
"C6 deamination of adenosine"	"C6 deamination of adenosine"	2	2	2	1	0.0202702702702703	6	6	5	1	0	0
"CD28 dependent PI3K/Akt signaling"	"CD28 dependent PI3K/Akt signaling"	21	21	21	1	0.344594594594595	102	150	60	1	0	0
"CHL1 interactions"	"CHL1 interactions"	9	9	9	1	0.0945945945945946	28	41	13	2	0	0
"COX reactions"	"COX reactions"	1	1	1	1	0.0236486486486486	7	7	7	7	0	0
"CREB phosphorylation through the activation of Adenylate Cyclase"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	7	1	0.155405405405405	46	50	31	1	0	0
"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	16	16	16	1	0.192567567567568	57	82	10	1	0	0
"Ca-dependent events"	"Ca-dependent events"	28	28	28	1	0.385135135135135	114	175	31	1	0	0
"CaM pathway"	"CaM pathway"	26	26	26	1	0.371621621621622	110	163	31	1	0	0
"CaMK IV-mediated phosphorylation of CREB"	"CaMK IV-mediated phosphorylation of CREB"	3	3	3	1	0.0472972972972973	14	14	6	3	0	0
"Calmodulin induced events"	"Calmodulin induced events"	26	26	26	1	0.371621621621622	110	163	31	1	0	0
"Cam-PDE 1 activation"	"Cam-PDE 1 activation"	4	4	4	1	0.0641891891891892	19	19	7	2	0	0
"Carnitine synthesis"	"Carnitine synthesis"	4	4	4	1	0.0641891891891892	19	19	10	1	0	0
"Catecholamine biosynthesis"	"Catecholamine biosynthesis"	4	4	4	1	0.0777027027027027	23	24	9	2	0	0
"Cation-coupled Chloride cotransporters"	"Cation-coupled Chloride cotransporters"	7	7	7	1	0.114864864864865	34	37	26	1	0	0
"Ceramide signalling"	"Ceramide signalling"	3	3	3	1	0.0439189189189189	13	13	9	1	0	0
"ChREBP activates metabolic gene expression"	"ChREBP activates metabolic gene expression"	8	8	8	1	0.0608108108108108	18	25	6	1	0	0
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	5	5	5	1	0.0304054054054054	9	11	6	1	0	0
"Cholesterol biosynthesis"	"Cholesterol biosynthesis"	22	22	22	1	0.435810810810811	129	206	54	1	0	0
"Class II GLUTs"	"Class II GLUTs"	4	4	4	1	0.0337837837837838	10	11	5	1	0	0
"Clearance of Nuclear Envelope Membranes from Chromatin"	"Clearance of Nuclear Envelope Membranes from Chromatin"	7	7	7	1	0.165540540540541	49	53	16	1	0	0
"Cleavage of the damaged purine"	"Cleavage of the damaged purine"	3	3	3	1	0.0202702702702703	6	6	3	1	0	0
"Cobalamin (Cbl, vitamin B12) transport and metabolism"	"Cobalamin (Cbl, vitamin B12) transport and metabolism"	20	20	20	1	0.219594594594595	65	84	21	1	0	0
"Conjugation of benzoate with glycine"	"Conjugation of benzoate with glycine"	5	5	5	1	0.0202702702702703	6	15	5	1	0	0
"Conjugation of carboxylic acids"	"Conjugation of carboxylic acids"	8	8	8	1	0.0405405405405405	12	23	6	1	0	0
"Conjugation of phenylacetate with glutamine"	"Conjugation of phenylacetate with glutamine"	2	2	2	1	0.00337837837837838	1	2	1	1	0	0
"Conjugation of salicylate with glycine"	"Conjugation of salicylate with glycine"	7	7	7	1	0.0405405405405405	12	22	6	1	0	0
"Cross-presentation of particulate exogenous antigens (phagosomes)"	"Cross-presentation of particulate exogenous antigens (phagosomes)"	8	8	8	1	0.165540540540541	49	60	13	1	0	0
"Cysteine formation from homocysteine"	"Cysteine formation from homocysteine"	2	2	2	1	0.0101351351351351	3	3	2	1	0	0
"DAG and IP3 signaling"	"DAG and IP3 signaling"	31	31	31	1	0.388513513513513	115	179	31	1	0	0
"DNA Damage Bypass"	"DNA Damage Bypass"	4	4	4	1	0.0439189189189189	13	13	6	1	0	0
"DNA Damage Recognition in GG-NER"	"DNA Damage Recognition in GG-NER"	2	2	2	1	0.027027027027027	8	8	6	2	0	0
"DNA Damage Reversal"	"DNA Damage Reversal"	3	3	3	1	0.0371621621621622	11	11	8	1	0	0
"Degradation of GABA"	"Degradation of GABA"	2	2	2	1	0.0168918918918919	5	5	3	2	0	0
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	12	12	12	1	0.10472972972973	31	39	10	1	0	0
"Depurination"	"Depurination"	3	3	3	1	0.0202702702702703	6	6	3	1	0	0
"Digestion of dietary lipid"	"Digestion of dietary lipid"	5	5	5	1	0.0304054054054054	9	13	5	2	0	0
"Dimerization of procaspase-8"	"Dimerization of procaspase-8"	11	11	11	1	0.452702702702703	134	195	85	2	0	0
"Disinhibition of SNARE formation"	"Disinhibition of SNARE formation"	5	5	5	1	0.027027027027027	8	9	3	1	0	0
"Dopamine clearance from the synaptic cleft"	"Dopamine clearance from the synaptic cleft"	3	3	3	1	0.14527027027027	43	46	26	5	0	0
"Dopamine receptors"	"Dopamine receptors"	5	5	5	1	0.0675675675675676	20	22	10	1	0	0
"E2F-enabled inhibition of pre-replication complex formation"	"E2F-enabled inhibition of pre-replication complex formation"	10	10	10	1	0.118243243243243	35	38	14	1	0	0
"EGFR Transactivation by Gastrin"	"EGFR Transactivation by Gastrin"	9	9	9	1	0.236486486486486	70	79	32	1	0	0
"ERKs are inactivated"	"ERKs are inactivated"	12	12	12	1	0.155405405405405	46	60	15	1	0	0
"Eicosanoids"	"Eicosanoids"	12	12	12	1	0.0506756756756757	15	33	6	1	0	0
"Electron transport from NADPH to Ferredoxin"	"Electron transport from NADPH to Ferredoxin"	3	3	3	1	0.0439189189189189	13	13	7	1	0	0
"Enzymatic degradation of Dopamine by monoamine oxidase"	"Enzymatic degradation of Dopamine by monoamine oxidase"	2	2	2	1	0.0608108108108108	18	20	15	5	0	0
"Enzymatic degradation of dopamine by COMT"	"Enzymatic degradation of dopamine by COMT"	2	2	2	1	0.0608108108108108	18	20	15	5	0	0
"Erythrocytes take up carbon dioxide and release oxygen"	"Erythrocytes take up carbon dioxide and release oxygen"	8	8	8	1	0.0945945945945946	28	42	13	1	0	0
"Erythrocytes take up oxygen and release carbon dioxide"	"Erythrocytes take up oxygen and release carbon dioxide"	8	8	8	1	0.0945945945945946	28	42	13	1	0	0
"Estrogen biosynthesis"	"Estrogen biosynthesis"	2	2	2	1	0.0101351351351351	3	3	2	1	0	0
"FGFR1b ligand binding and activation"	"FGFR1b ligand binding and activation"	5	5	5	1	0.324324324324324	96	106	82	1	0	0
"FGFR1c and Klotho ligand binding and activation"	"FGFR1c and Klotho ligand binding and activation"	3	3	3	1	0.128378378378378	38	41	32	1	0	0
"FGFR2b ligand binding and activation"	"FGFR2b ligand binding and activation"	6	6	6	1	0.317567567567568	94	107	82	1	0	0
"FMO oxidises nucleophiles"	"FMO oxidises nucleophiles"	3	3	3	1	0.0135135135135135	4	12	4	4	0	0
"Fanconi Anemia pathway"	"Fanconi Anemia pathway"	24	24	24	1	0.297297297297297	88	130	35	1	0	0
"FasL/ CD95L signaling"	"FasL/ CD95L signaling"	5	5	5	1	0.317567567567568	94	108	85	2	0	0
"Formation of annular gap junctions"	"Formation of annular gap junctions"	9	9	9	1	0.327702702702703	97	109	58	1	0	0
"Formation of editosomes by ADAR proteins"	"Formation of editosomes by ADAR proteins"	2	2	2	1	0.0202702702702703	6	6	5	1	0	0
"Formation of the Editosome"	"Formation of the Editosome"	2	2	2	1	0.0304054054054054	9	9	6	3	0	0
"Fructose catabolism"	"Fructose catabolism"	2	2	2	1	0.0202702702702703	6	6	4	2	0	0
"G0 and Early G1"	"G0 and Early G1"	25	25	25	1	0.320945945945946	95	138	34	1	0	0
"G2 Phase"	"G2 Phase"	5	5	5	1	0.0777027027027027	23	23	13	1	0	0
"G2/M DNA damage checkpoint"	"G2/M DNA damage checkpoint"	9	9	9	1	0.168918918918919	50	58	35	1	0	0
"GABA A (rho) receptor activation"	"GABA A (rho) receptor activation"	3	3	3	1	0.0304054054054054	9	11	7	2	0	0
"GABA A receptor activation"	"GABA A receptor activation"	13	13	13	1	0.0641891891891892	19	39	9	1	0	0
"GABA synthesis"	"GABA synthesis"	2	2	2	1	0.0304054054054054	9	9	6	3	0	0
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	7	1	0.0743243243243243	22	26	10	1	0	0
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	15	1	0.300675675675676	89	113	34	1	0	0
"GRB7 events in ERBB2 signaling"	"GRB7 events in ERBB2 signaling"	5	5	5	1	0.0844594594594595	25	35	15	1	0	0
"Gap junction assembly"	"Gap junction assembly"	19	19	19	1	0.0945945945945946	28	53	6	1	0	0
"Gap junction degradation"	"Gap junction degradation"	10	10	10	1	0.327702702702703	97	110	58	1	0	0
"Gap junction trafficking"	"Gap junction trafficking"	28	28	28	1	0.364864864864865	108	160	58	1	0	0
"Gap junction trafficking and regulation"	"Gap junction trafficking and regulation"	30	30	30	1	0.371621621621622	110	166	58	1	0	0
"Glycogen breakdown (glycogenolysis)"	"Glycogen breakdown (glycogenolysis)"	14	14	14	1	0.341216216216216	101	134	42	1	0	0
"Glycoprotein hormones"	"Glycoprotein hormones"	10	10	10	1	0.0844594594594595	25	31	9	1	0	0
"Glyoxylate metabolism"	"Glyoxylate metabolism"	5	5	5	1	0.111486486486486	33	35	14	1	0	0
"HDL-mediated lipid transport"	"HDL-mediated lipid transport"	15	15	15	1	0.141891891891892	42	59	11	1	0	0
"Heme degradation"	"Heme degradation"	6	6	6	1	0.0439189189189189	13	16	4	1	0	0
"Hormone ligand-binding receptors"	"Hormone ligand-binding receptors"	11	11	11	1	0.111486486486486	33	42	9	1	0	0
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	4	1	0.280405405405405	83	89	60	1	0	0
"Hydrolysis of LPE"	"Hydrolysis of LPE"	2	2	2	1	0.0135135135135135	4	4	3	1	0	0
"IRF3 mediated activation of type 1 IFN"	"IRF3 mediated activation of type 1 IFN"	6	6	6	1	0.0608108108108108	18	20	9	1	0	0
"IRS activation"	"IRS activation"	6	6	6	1	0.0709459459459459	21	24	8	2	0	0
"Inhibition of HSL"	"Inhibition of HSL"	2	2	2	1	0.0236486486486486	7	7	4	3	0	0
"Inhibition of TSC complex formation by PKB"	"Inhibition of TSC complex formation by PKB"	3	3	3	1	0.0337837837837838	10	10	5	1	0	0
"Inhibition of adenylate cyclase pathway"	"Inhibition of adenylate cyclase pathway"	14	14	14	1	0.253378378378378	75	105	31	1	0	0
"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	12	12	12	1	0.277027027027027	82	105	18	1	0	0
"Insulin effects increased synthesis of Xylulose-5-Phosphate"	"Insulin effects increased synthesis of Xylulose-5-Phosphate"	2	2	2	1	0.00675675675675676	2	3	2	1	0	0
"Insulin receptor recycling"	"Insulin receptor recycling"	26	26	26	1	0.347972972972973	103	163	23	1	0	0
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"	8	8	8	1	0.341216216216216	101	118	55	2	0	0
"Interaction With Cumulus Cells"	"Interaction With Cumulus Cells"	1	1	1	1	0.0135135135135135	4	4	4	4	0	0
"Interaction With The Zona Pellucida"	"Interaction With The Zona Pellucida"	10	10	10	1	0.175675675675676	52	64	20	1	0	0
"Interactions of Tat with host cellular proteins"	"Interactions of Tat with host cellular proteins"	3	3	3	1	0.027027027027027	8	9	5	1	0	0
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	3	3	3	1	0.0810810810810811	24	24	12	5	0	0
"Interconversion of polyamines"	"Interconversion of polyamines"	3	3	3	1	0.0540540540540541	16	17	14	1	0	0
"Interleukin-7 signaling"	"Interleukin-7 signaling"	11	11	11	1	0.141891891891892	42	52	15	1	0	0
"Iron uptake and transport"	"Iron uptake and transport"	43	43	43	1	0.476351351351351	141	332	51	1	0	0
"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	26	26	26	1	0.297297297297297	88	270	60	1	0	0
"Ligand-receptor interactions"	"Ligand-receptor interactions"	8	8	8	1	0.097972972972973	29	36	10	1	0	0
"Linoleic acid (LA) metabolism"	"Linoleic acid (LA) metabolism"	6	6	6	1	0.108108108108108	32	38	11	2	0	0
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	4	4	4	1	0.0168918918918919	5	6	2	1	0	0
"Lysine catabolism"	"Lysine catabolism"	8	8	8	1	0.108108108108108	32	37	10	3	0	0
"Lysosphingolipid and LPA receptors"	"Lysosphingolipid and LPA receptors"	9	9	9	1	0.0777027027027027	23	34	7	1	0	0
"MASTL Facilitates Mitotic Progression"	"MASTL Facilitates Mitotic Progression"	10	10	10	1	0.128378378378378	38	42	15	1	0	0
"MRN complex relocalizes to nuclear foci"	"MRN complex relocalizes to nuclear foci"	4	4	4	1	0.0709459459459459	21	27	12	2	0	0
"Metabolism of folate and pterines"	"Metabolism of folate and pterines"	9	9	9	1	0.141891891891892	42	44	18	1	0	0
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	1	1	1	1	0.0101351351351351	3	3	3	3	0	0
"Mineralocorticoid biosynthesis"	"Mineralocorticoid biosynthesis"	6	6	6	1	0.162162162162162	48	56	33	2	0	0
"Mitochondrial ABC transporters"	"Mitochondrial ABC transporters"	4	4	4	1	0.0608108108108108	18	19	7	3	0	0
"Mitochondrial Uncoupling Proteins"	"Mitochondrial Uncoupling Proteins"	3	3	3	1	0.0540540540540541	16	31	15	1	0	0
"Mitochondrial transcription initiation"	"Mitochondrial transcription initiation"	3	3	3	1	0.0337837837837838	10	10	5	2	0	0
"Molybdenum cofactor biosynthesis"	"Molybdenum cofactor biosynthesis"	6	6	6	1	0.0777027027027027	23	24	7	1	0	0
"Multifunctional anion exchangers"	"Multifunctional anion exchangers"	6	6	6	1	0.118243243243243	35	38	12	1	0	0
"Muscarinic acetylcholine receptors"	"Muscarinic acetylcholine receptors"	5	5	5	1	0.0777027027027027	23	24	8	1	0	0
"NADPH regeneration"	"NADPH regeneration"	1	1	1	1	0.0168918918918919	5	5	5	5	0	0
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	12	12	12	1	0.412162162162162	122	148	85	1	0	0
"NGF processing"	"NGF processing"	4	4	4	1	0.0540540540540541	16	18	9	2	0	0
"NGF-independant TRKA activation"	"NGF-independant TRKA activation"	5	5	5	1	0.101351351351351	30	35	18	3	0	0
"NICD traffics to nucleus"	"NICD traffics to nucleus"	13	13	13	1	0.179054054054054	53	59	11	1	0	0
"NOSIP mediated eNOS trafficking"	"NOSIP mediated eNOS trafficking"	2	2	2	1	0.027027027027027	8	8	7	1	0	0
"NOSTRIN mediated eNOS trafficking"	"NOSTRIN mediated eNOS trafficking"	5	5	5	1	0.0608108108108108	18	25	7	3	0	0
"Nectin/Necl  trans heterodimerization"	"Nectin/Necl  trans heterodimerization"	7	7	7	1	0.0844594594594595	25	36	10	2	0	0
"Negative regulation of the PI3K/AKT network"	"Negative regulation of the PI3K/AKT network"	8	8	8	1	0.125	37	43	13	1	0	0
"Nephrin interactions"	"Nephrin interactions"	22	22	22	1	0.375	111	213	60	1	0	0
"Neurofascin interactions"	"Neurofascin interactions"	7	7	7	1	0.135135135135135	40	46	13	1	0	0
"Neurophilin interactions with VEGF and VEGFR"	"Neurophilin interactions with VEGF and VEGFR"	4	4	4	1	0.0371621621621622	11	11	4	2	0	0
"Neurotransmitter uptake and Metabolism In Glial Cells"	"Neurotransmitter uptake and Metabolism In Glial Cells"	4	4	4	1	0.10472972972973	31	32	15	3	0	0
"Notch-HLH transcription pathway"	"Notch-HLH transcription pathway"	13	13	13	1	0.179054054054054	53	59	11	1	0	0
"O2/CO2 exchange in erythrocytes"	"O2/CO2 exchange in erythrocytes"	8	8	8	1	0.0945945945945946	28	42	13	1	0	0
"Oligomerization of connexins into connexons"	"Oligomerization of connexins into connexons"	3	3	3	1	0.0304054054054054	9	9	3	3	0	0
"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	8	8	8	1	0.0777027027027027	23	25	11	1	0	0
"Organic anion transport"	"Organic anion transport"	5	5	5	1	0.0506756756756757	15	32	8	5	0	0
"Organic anion transporters"	"Organic anion transporters"	8	8	8	1	0.0371621621621622	11	13	3	1	0	0
"Organic cation transport"	"Organic cation transport"	8	8	8	1	0.0540540540540541	16	21	9	1	0	0
"Organic cation/anion/zwitterion transport"	"Organic cation/anion/zwitterion transport"	13	13	13	1	0.10472972972973	31	53	9	1	0	0
"PAOs oxidise polyamines to amines"	"PAOs oxidise polyamines to amines"	2	2	2	1	0.0101351351351351	3	3	2	1	0	0
"PDE3B signalling"	"PDE3B signalling"	2	2	2	1	0.0236486486486486	7	7	4	3	0	0
"PI and PC transport between ER and Golgi membranes"	"PI and PC transport between ER and Golgi membranes"	1	1	1	1	0.00675675675675676	2	2	2	2	0	0
"PKA activation"	"PKA activation"	16	16	16	1	0.290540540540541	86	107	31	1	0	0
"PKA-mediated phosphorylation of CREB"	"PKA-mediated phosphorylation of CREB"	17	17	17	1	0.290540540540541	86	112	31	1	0	0
"PKA-mediated phosphorylation of key metabolic factors"	"PKA-mediated phosphorylation of key metabolic factors"	5	5	5	1	0.0945945945945946	28	29	15	1	0	0
"PLC-gamma1 signalling"	"PLC-gamma1 signalling"	33	33	33	1	0.402027027027027	119	194	31	1	0	0
"PLC-mediated hydrolysis of PIP2"	"PLC-mediated hydrolysis of PIP2"	1	1	1	1	0.00337837837837838	1	1	1	1	0	0
"PP2A-mediated dephosphorylation of key metabolic factors"	"PP2A-mediated dephosphorylation of key metabolic factors"	7	7	7	1	0.162162162162162	48	52	15	1	0	0
"Pentose phosphate pathway (hexose monophosphate shunt)"	"Pentose phosphate pathway (hexose monophosphate shunt)"	7	7	7	1	0.0641891891891892	19	22	11	1	0	0
"Peptide hormone biosynthesis"	"Peptide hormone biosynthesis"	12	12	12	1	0.0945945945945946	28	34	9	1	0	0
"Phosphate bond hydrolysis by NUDT proteins"	"Phosphate bond hydrolysis by NUDT proteins"	6	6	6	1	0.121621621621622	36	38	15	1	0	0
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	4	4	4	1	0.0743243243243243	22	22	11	2	0	0
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	3	3	3	1	0.0202702702702703	6	6	3	1	0	0
"Plasmalogen biosynthesis"	"Plasmalogen biosynthesis"	4	4	4	1	0.101351351351351	30	31	16	3	0	0
"Potassium transport channels"	"Potassium transport channels"	3	3	3	1	0.0439189189189189	13	15	7	2	0	0
"Pre-NOTCH Processing in the Endoplasmic Reticulum"	"Pre-NOTCH Processing in the Endoplasmic Reticulum"	6	6	6	1	0.135135135135135	40	42	10	3	0	0
"Propionyl-CoA catabolism"	"Propionyl-CoA catabolism"	5	5	5	1	0.128378378378378	38	41	28	1	0	0
"Proton-coupled neutral amino acid transporters"	"Proton-coupled neutral amino acid transporters"	2	2	2	1	0.00337837837837838	1	2	1	1	0	0
"Pyrimidine biosynthesis"	"Pyrimidine biosynthesis"	6	6	6	1	0.128378378378378	38	40	17	1	0	0
"RAF activation"	"RAF activation"	5	5	5	1	0.0675675675675676	20	22	9	2	0	0
"Reactions specific to the complex N-glycan synthesis pathway"	"Reactions specific to the complex N-glycan synthesis pathway"	4	4	4	1	0.0472972972972973	14	15	5	2	0	0
"Recognition and association of DNA glycosylase with site containing an affected purine"	"Recognition and association of DNA glycosylase with site containing an affected purine"	3	3	3	1	0.0202702702702703	6	6	3	1	0	0
"Recycling of bile acids and salts"	"Recycling of bile acids and salts"	15	15	15	1	0.131756756756757	39	56	13	1	0	0
"Recycling of eIF2:GDP"	"Recycling of eIF2:GDP"	8	8	8	1	0.297297297297297	88	101	60	2	0	0
