"path_id"	"full_path_length"	"testable_path_length"	"drug_targeted_genes"	"proportion_drug_targeted"
"AKT phosphorylates targets in the cytosol"	"AKT phosphorylates targets in the cytosol"	13	13	7	0.538461538461538
"VEGFR2 mediated cell proliferation"	"VEGFR2 mediated cell proliferation"	32	32	17	0.53125
"EPHA-mediated growth cone collapse"	"EPHA-mediated growth cone collapse"	34	34	18	0.529411764705882
"Signalling to RAS"	"Signalling to RAS"	34	34	18	0.529411764705882
"Ephrin signaling"	"Ephrin signaling"	19	19	10	0.526315789473684
"SOS-mediated signalling"	"SOS-mediated signalling"	21	21	11	0.523809523809524
"ARMS-mediated activation"	"ARMS-mediated activation"	23	23	12	0.521739130434783
"Abacavir transport and metabolism"	"Abacavir transport and metabolism"	10	10	5	0.5
"Activation of CaMK IV"	"Activation of CaMK IV"	2	2	1	0.5
"Activation of PKB"	"Activation of PKB"	4	4	2	0.5
"Adenosine P1 receptors"	"Adenosine P1 receptors"	4	4	2	0.5
"CD28 dependent Vav1 pathway"	"CD28 dependent Vav1 pathway"	12	12	6	0.5
"CREB phosphorylation through the activation of CaMKK"	"CREB phosphorylation through the activation of CaMKK"	4	4	2	0.5
"Enzymatic degradation of Dopamine by monoamine oxidase"	"Enzymatic degradation of Dopamine by monoamine oxidase"	2	2	1	0.5
"Enzymatic degradation of dopamine by COMT"	"Enzymatic degradation of dopamine by COMT"	2	2	1	0.5
"Estrogen biosynthesis"	"Estrogen biosynthesis"	2	2	1	0.5
"Inhibition of HSL"	"Inhibition of HSL"	2	2	1	0.5
"Inhibition of PKR"	"Inhibition of PKR"	2	2	1	0.5
"Inhibition of Signaling by Overexpressed EGFR"	"Inhibition of Signaling by Overexpressed EGFR"	2	2	1	0.5
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	16	16	8	0.5
"MAP kinase activation in TLR cascade"	"MAP kinase activation in TLR cascade"	56	56	28	0.5
"Mitotic Metaphase/Anaphase Transition"	"Mitotic Metaphase/Anaphase Transition"	2	2	1	0.5
"Neurophilin interactions with VEGF and VEGFR"	"Neurophilin interactions with VEGF and VEGFR"	4	4	2	0.5
"Neurotransmitter Clearance In The Synaptic Cleft"	"Neurotransmitter Clearance In The Synaptic Cleft"	8	8	4	0.5
"PDE3B signalling"	"PDE3B signalling"	2	2	1	0.5
"PECAM1 interactions"	"PECAM1 interactions"	12	12	6	0.5
"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	1	0.5
"Regulation of signaling by CBL"	"Regulation of signaling by CBL"	18	18	9	0.5
"Resolution of D-loop structures"	"Resolution of D-loop structures"	2	2	1	0.5
"Resolution of D-loop structures through Holliday junction intermediates"	"Resolution of D-loop structures through Holliday junction intermediates"	2	2	1	0.5
"SHC-mediated signalling"	"SHC-mediated signalling"	22	22	11	0.5
"Stimulation of the cell death response by PAK-2p34"	"Stimulation of the cell death response by PAK-2p34"	2	2	1	0.5
"TRKA activation by NGF"	"TRKA activation by NGF"	2	2	1	0.5
"VEGF binds to VEGFR leading to receptor dimerization"	"VEGF binds to VEGFR leading to receptor dimerization"	8	8	4	0.5
"VEGF ligand-receptor interactions"	"VEGF ligand-receptor interactions"	8	8	4	0.5
"p75NTR negatively regulates cell cycle via SC1"	"p75NTR negatively regulates cell cycle via SC1"	6	6	3	0.5
"phospho-PLA2 pathway"	"phospho-PLA2 pathway"	2	2	1	0.5
"Interleukin-2 signaling"	"Interleukin-2 signaling"	47	47	23	0.48936170212766
"Frs2-mediated activation"	"Frs2-mediated activation"	25	25	12	0.48
"SHC-related events"	"SHC-related events"	25	25	12	0.48
"SHC-related events triggered by IGF1R"	"SHC-related events triggered by IGF1R"	25	25	12	0.48
"Signal transduction by L1"	"Signal transduction by L1"	21	21	10	0.476190476190476
"activated TAK1 mediates p38 MAPK activation"	"activated TAK1 mediates p38 MAPK activation"	17	17	8	0.470588235294118
"CD28 co-stimulation"	"CD28 co-stimulation"	32	32	15	0.46875
"SHC1 events in ERBB2 signaling"	"SHC1 events in ERBB2 signaling"	32	32	15	0.46875
"GRB2 events in ERBB2 signaling"	"GRB2 events in ERBB2 signaling"	30	30	14	0.466666666666667
"MAPK targets/ Nuclear events mediated by MAP kinases"	"MAPK targets/ Nuclear events mediated by MAP kinases"	30	30	14	0.466666666666667
"Recycling of bile acids and salts"	"Recycling of bile acids and salts"	15	15	7	0.466666666666667
"p38MAPK events"	"p38MAPK events"	13	13	6	0.461538461538462
"Post NMDA receptor activation events"	"Post NMDA receptor activation events"	35	35	16	0.457142857142857
"CTLA4 inhibitory signaling"	"CTLA4 inhibitory signaling"	22	22	10	0.454545454545455
"Purine ribonucleoside monophosphate biosynthesis"	"Purine ribonucleoside monophosphate biosynthesis"	11	11	5	0.454545454545455
"CREB phosphorylation through the activation of Ras"	"CREB phosphorylation through the activation of Ras"	27	27	12	0.444444444444444
"EGFR Transactivation by Gastrin"	"EGFR Transactivation by Gastrin"	9	9	4	0.444444444444444
"G2/M DNA damage checkpoint"	"G2/M DNA damage checkpoint"	9	9	4	0.444444444444444
"Nef and signal transduction"	"Nef and signal transduction"	9	9	4	0.444444444444444
"Prolonged ERK activation events"	"Prolonged ERK activation events"	27	27	12	0.444444444444444
"Pyrimidine salvage reactions"	"Pyrimidine salvage reactions"	9	9	4	0.444444444444444
"Sema3A PAK dependent Axon repulsion"	"Sema3A PAK dependent Axon repulsion"	16	16	7	0.4375
"Signalling to ERKs"	"Signalling to ERKs"	44	44	19	0.431818181818182
"ERK/MAPK targets"	"ERK/MAPK targets"	21	21	9	0.428571428571429
"GPVI-mediated activation cascade"	"GPVI-mediated activation cascade"	49	49	21	0.428571428571429
"MEK activation"	"MEK activation"	7	7	3	0.428571428571429
"RAF phosphorylates MEK"	"RAF phosphorylates MEK"	7	7	3	0.428571428571429
"SHC1 events in ERBB4 signaling"	"SHC1 events in ERBB4 signaling"	28	28	12	0.428571428571429
"Uptake and function of anthrax toxins"	"Uptake and function of anthrax toxins"	14	14	6	0.428571428571429
"Signaling by Leptin"	"Signaling by Leptin"	26	26	11	0.423076923076923
"Interleukin-3, 5 and GM-CSF signaling"	"Interleukin-3, 5 and GM-CSF signaling"	45	45	19	0.422222222222222
"Ubiquitin-dependent degradation of Cyclin D"	"Ubiquitin-dependent degradation of Cyclin D"	50	50	21	0.42
"Ubiquitin-dependent degradation of Cyclin D1"	"Ubiquitin-dependent degradation of Cyclin D1"	50	50	21	0.42
"Nuclear Events (kinase and transcription factor activation)"	"Nuclear Events (kinase and transcription factor activation)"	24	24	10	0.416666666666667
"TRAF6 Mediated Induction of proinflammatory cytokines"	"TRAF6 Mediated Induction of proinflammatory cytokines"	75	75	31	0.413333333333333
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	39	39	16	0.41025641025641
"Cross-presentation of soluble exogenous antigens (endosomes)"	"Cross-presentation of soluble exogenous antigens (endosomes)"	49	49	20	0.408163265306122
"Regulation of activated PAK-2p34 by proteasome mediated degradation"	"Regulation of activated PAK-2p34 by proteasome mediated degradation"	49	49	20	0.408163265306122
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	52	52	21	0.403846153846154
"p53-Independent DNA Damage Response"	"p53-Independent DNA Damage Response"	52	52	21	0.403846153846154
"p53-Independent G1/S DNA damage checkpoint"	"p53-Independent G1/S DNA damage checkpoint"	52	52	21	0.403846153846154
"AMPK inhibits chREBP transcriptional activation activity"	"AMPK inhibits chREBP transcriptional activation activity"	5	5	2	0.4
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	10	10	4	0.4
"Activation of caspases through apoptosome-mediated cleavage"	"Activation of caspases through apoptosome-mediated cleavage"	5	5	2	0.4
"CDK-mediated phosphorylation and removal of Cdc6"	"CDK-mediated phosphorylation and removal of Cdc6"	50	50	20	0.4
"Cytochrome c-mediated apoptotic response"	"Cytochrome c-mediated apoptotic response"	5	5	2	0.4
"GRB7 events in ERBB2 signaling"	"GRB7 events in ERBB2 signaling"	5	5	2	0.4
"IRAK1 recruits IKK complex"	"IRAK1 recruits IKK complex"	10	10	4	0.4
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	10	10	4	0.4
"NGF-independant TRKA activation"	"NGF-independant TRKA activation"	5	5	2	0.4
"PKA-mediated phosphorylation of key metabolic factors"	"PKA-mediated phosphorylation of key metabolic factors"	5	5	2	0.4
"Regulation of Apoptosis"	"Regulation of Apoptosis"	50	50	20	0.4
"Role of DCC in regulating apoptosis"	"Role of DCC in regulating apoptosis"	10	10	4	0.4
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	10	10	4	0.4
"VEGFA-VEGFR2 Pathway"	"VEGFA-VEGFR2 Pathway"	105	105	42	0.4
"MyD88 cascade initiated on plasma membrane"	"MyD88 cascade initiated on plasma membrane"	86	86	34	0.395348837209302
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"	"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"	86	86	34	0.395348837209302
"Toll Like Receptor 10 (TLR10) Cascade"	"Toll Like Receptor 10 (TLR10) Cascade"	86	86	34	0.395348837209302
"Toll Like Receptor 5 (TLR5) Cascade"	"Toll Like Receptor 5 (TLR5) Cascade"	86	86	34	0.395348837209302
"Interleukin receptor SHC signaling"	"Interleukin receptor SHC signaling"	28	28	11	0.392857142857143
"Degradation of GLI2 by the proteasome"	"Degradation of GLI2 by the proteasome"	59	59	23	0.389830508474576
"GLI3 is processed to GLI3R by the proteasome"	"GLI3 is processed to GLI3R by the proteasome"	59	59	23	0.389830508474576
"Signaling by VEGF"	"Signaling by VEGF"	113	113	44	0.389380530973451
"NOD1/2 Signaling Pathway"	"NOD1/2 Signaling Pathway"	31	31	12	0.387096774193548
"MyD88 dependent cascade initiated on endosome"	"MyD88 dependent cascade initiated on endosome"	88	88	34	0.386363636363636
"Toll Like Receptor 7/8 (TLR7/8) Cascade"	"Toll Like Receptor 7/8 (TLR7/8) Cascade"	88	88	34	0.386363636363636
"Downregulation of ERBB2:ERBB3 signaling"	"Downregulation of ERBB2:ERBB3 signaling"	13	13	5	0.384615384615385
"VEGFR2 mediated vascular permeability"	"VEGFR2 mediated vascular permeability"	26	26	10	0.384615384615385
"Vpu mediated degradation of CD4"	"Vpu mediated degradation of CD4"	52	52	20	0.384615384615385
"CD28 dependent PI3K/Akt signaling"	"CD28 dependent PI3K/Akt signaling"	21	21	8	0.380952380952381
"Regulation of ornithine decarboxylase (ODC)"	"Regulation of ornithine decarboxylase (ODC)"	50	50	19	0.38
"Signaling by Interleukins"	"Signaling by Interleukins"	109	109	41	0.376146788990826
"EPH-ephrin mediated repulsion of cells"	"EPH-ephrin mediated repulsion of cells"	48	48	18	0.375
"Erythrocytes take up carbon dioxide and release oxygen"	"Erythrocytes take up carbon dioxide and release oxygen"	8	8	3	0.375
"Erythrocytes take up oxygen and release carbon dioxide"	"Erythrocytes take up oxygen and release carbon dioxide"	8	8	3	0.375
"Glucocorticoid biosynthesis"	"Glucocorticoid biosynthesis"	8	8	3	0.375
"MyD88:Mal cascade initiated on plasma membrane"	"MyD88:Mal cascade initiated on plasma membrane"	96	96	36	0.375
"Negative regulation of the PI3K/AKT network"	"Negative regulation of the PI3K/AKT network"	8	8	3	0.375
"O2/CO2 exchange in erythrocytes"	"O2/CO2 exchange in erythrocytes"	8	8	3	0.375
"Organic cation transport"	"Organic cation transport"	8	8	3	0.375
"Spry regulation of FGF signaling"	"Spry regulation of FGF signaling"	16	16	6	0.375
"Toll Like Receptor 2 (TLR2) Cascade"	"Toll Like Receptor 2 (TLR2) Cascade"	96	96	36	0.375
"Toll Like Receptor TLR1:TLR2 Cascade"	"Toll Like Receptor TLR1:TLR2 Cascade"	96	96	36	0.375
"Toll Like Receptor TLR6:TLR2 Cascade"	"Toll Like Receptor TLR6:TLR2 Cascade"	96	96	36	0.375
"WNT mediated activation of DVL"	"WNT mediated activation of DVL"	8	8	3	0.375
"Autodegradation of the E3 ubiquitin ligase COP1"	"Autodegradation of the E3 ubiquitin ligase COP1"	51	51	19	0.372549019607843
"degradation of AXIN"	"degradation of AXIN"	54	54	20	0.37037037037037
"Toll Like Receptor 9 (TLR9) Cascade"	"Toll Like Receptor 9 (TLR9) Cascade"	92	92	34	0.369565217391304
"G1/S DNA Damage Checkpoints"	"G1/S DNA Damage Checkpoints"	60	60	22	0.366666666666667
"EPHB-mediated forward signaling"	"EPHB-mediated forward signaling"	41	41	15	0.365853658536585
"Stabilization of p53"	"Stabilization of p53"	52	52	19	0.365384615384615
"FRS2-mediated cascade"	"FRS2-mediated cascade"	44	44	16	0.363636363636364
"Interleukin-6 signaling"	"Interleukin-6 signaling"	11	11	4	0.363636363636364
"Interleukin-7 signaling"	"Interleukin-7 signaling"	11	11	4	0.363636363636364
"Transport of organic anions"	"Transport of organic anions"	11	11	4	0.363636363636364
"Activation of Rac"	"Activation of Rac"	14	14	5	0.357142857142857
"SCF(Skp2)-mediated degradation of p27/p21"	"SCF(Skp2)-mediated degradation of p27/p21"	56	56	20	0.357142857142857
"Degradation of GLI1 by the proteasome"	"Degradation of GLI1 by the proteasome"	59	59	21	0.355932203389831
"Cyclin E associated events during G1/S transition"	"Cyclin E associated events during G1/S transition"	65	65	23	0.353846153846154
"MyD88-independent cascade"	"MyD88-independent cascade"	99	99	35	0.353535353535354
"TRIF-mediated TLR3/TLR4 signaling"	"TRIF-mediated TLR3/TLR4 signaling"	99	99	35	0.353535353535354
"Toll Like Receptor 3 (TLR3) Cascade"	"Toll Like Receptor 3 (TLR3) Cascade"	99	99	35	0.353535353535354
"G1/S-Specific Transcription"	"G1/S-Specific Transcription"	17	17	6	0.352941176470588
"Nuclear Receptor transcription pathway"	"Nuclear Receptor transcription pathway"	51	51	18	0.352941176470588
"AUF1 (hnRNP D0) destabilizes mRNA"	"AUF1 (hnRNP D0) destabilizes mRNA"	54	54	19	0.351851851851852
"SCF-beta-TrCP mediated degradation of Emi1"	"SCF-beta-TrCP mediated degradation of Emi1"	54	54	19	0.351851851851852
"Vif-mediated degradation of APOBEC3G"	"Vif-mediated degradation of APOBEC3G"	54	54	19	0.351851851851852
"p53-Dependent G1 DNA Damage Response"	"p53-Dependent G1 DNA Damage Response"	57	57	20	0.350877192982456
"p53-Dependent G1/S DNA damage checkpoint"	"p53-Dependent G1/S DNA damage checkpoint"	57	57	20	0.350877192982456
"Activation of NF-kappaB in B cells"	"Activation of NF-kappaB in B cells"	66	66	23	0.348484848484849
"Hh ligand biogenesis disease"	"Hh ligand biogenesis disease"	58	58	20	0.344827586206897
"Signaling by SCF-KIT"	"Signaling by SCF-KIT"	144	144	49	0.340277777777778
"degradation of DVL"	"degradation of DVL"	56	56	19	0.339285714285714
"Activated TLR4 signalling"	"Activated TLR4 signalling"	115	115	39	0.339130434782609
"AKT phosphorylates targets in the nucleus"	"AKT phosphorylates targets in the nucleus"	9	9	3	0.333333333333333
"Activation of BAD and translocation to mitochondria"	"Activation of BAD and translocation to mitochondria"	15	15	5	0.333333333333333
"Activation of BMF and translocation to mitochondria"	"Activation of BMF and translocation to mitochondria"	3	3	1	0.333333333333333
"Activation of TRKA receptors"	"Activation of TRKA receptors"	6	6	2	0.333333333333333
"CaMK IV-mediated phosphorylation of CREB"	"CaMK IV-mediated phosphorylation of CREB"	3	3	1	0.333333333333333
"Cyclin A:Cdk2-associated events at S phase entry"	"Cyclin A:Cdk2-associated events at S phase entry"	66	66	22	0.333333333333333
"DNA replication initiation"	"DNA replication initiation"	6	6	2	0.333333333333333
"Dopamine clearance from the synaptic cleft"	"Dopamine clearance from the synaptic cleft"	3	3	1	0.333333333333333
"FGFR1c and Klotho ligand binding and activation"	"FGFR1c and Klotho ligand binding and activation"	3	3	1	0.333333333333333
"FGFR2b ligand binding and activation"	"FGFR2b ligand binding and activation"	6	6	2	0.333333333333333
"G beta:gamma signalling through PI3Kgamma"	"G beta:gamma signalling through PI3Kgamma"	48	48	16	0.333333333333333
"GABA A (rho) receptor activation"	"GABA A (rho) receptor activation"	3	3	1	0.333333333333333
"Inhibition of TSC complex formation by PKB"	"Inhibition of TSC complex formation by PKB"	3	3	1	0.333333333333333
"Interactions of Tat with host cellular proteins"	"Interactions of Tat with host cellular proteins"	3	3	1	0.333333333333333
"Klotho-mediated ligand binding"	"Klotho-mediated ligand binding"	6	6	2	0.333333333333333
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	3	3	1	0.333333333333333
"Phosphorylation of Emi1"	"Phosphorylation of Emi1"	6	6	2	0.333333333333333
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	3	3	1	0.333333333333333
"Regulation of gap junction activity"	"Regulation of gap junction activity"	3	3	1	0.333333333333333
"Regulation of gene expression by Hypoxia-inducible Factor"	"Regulation of gene expression by Hypoxia-inducible Factor"	9	9	3	0.333333333333333
"STAT6-mediated induction of chemokines"	"STAT6-mediated induction of chemokines"	3	3	1	0.333333333333333
"Signalling to STAT3"	"Signalling to STAT3"	3	3	1	0.333333333333333
"TNF signaling"	"TNF signaling"	3	3	1	0.333333333333333
"Telomere C-strand synthesis initiation"	"Telomere C-strand synthesis initiation"	6	6	2	0.333333333333333
"The NLRP1 inflammasome"	"The NLRP1 inflammasome"	3	3	1	0.333333333333333
"Uptake and function of diphtheria toxin"	"Uptake and function of diphtheria toxin"	6	6	2	0.333333333333333
"betaKlotho-mediated ligand binding"	"betaKlotho-mediated ligand binding"	3	3	1	0.333333333333333
"c-src mediated regulation of Cx43 function and closure of gap junctions"	"c-src mediated regulation of Cx43 function and closure of gap junctions"	3	3	1	0.333333333333333
"TCR signaling"	"TCR signaling"	64	64	21	0.328125
"CDT1 association with the CDC6:ORC:origin complex"	"CDT1 association with the CDC6:ORC:origin complex"	58	58	19	0.327586206896552
"Downstream TCR signaling"	"Downstream TCR signaling"	46	46	15	0.326086956521739
"Constitutive PI3K/AKT Signaling in Cancer"	"Constitutive PI3K/AKT Signaling in Cancer"	86	86	28	0.325581395348837
"Interleukin-1 signaling"	"Interleukin-1 signaling"	40	40	13	0.325
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	69	69	22	0.318840579710145
"Autodegradation of Cdh1 by Cdh1:APC/C"	"Autodegradation of Cdh1 by Cdh1:APC/C"	60	60	19	0.316666666666667
"Toll Like Receptor 4 (TLR4) Cascade"	"Toll Like Receptor 4 (TLR4) Cascade"	124	124	39	0.314516129032258
"G-protein beta:gamma signalling"	"G-protein beta:gamma signalling"	51	51	16	0.313725490196078
"Hedgehog ligand biogenesis"	"Hedgehog ligand biogenesis"	64	64	20	0.3125
"Processing-defective Hh variants abrogate ligand secretion"	"Processing-defective Hh variants abrogate ligand secretion"	64	64	20	0.3125
"p75NTR signals via NF-kB"	"p75NTR signals via NF-kB"	16	16	5	0.3125
"EPH-Ephrin signaling"	"EPH-Ephrin signaling"	94	94	29	0.308510638297872
"Signal regulatory protein (SIRP) family interactions"	"Signal regulatory protein (SIRP) family interactions"	13	13	4	0.307692307692308
"p75NTR recruits signalling complexes"	"p75NTR recruits signalling complexes"	13	13	4	0.307692307692308
"Endogenous sterols"	"Endogenous sterols"	23	23	7	0.304347826086957
"Asymmetric localization of PCP proteins"	"Asymmetric localization of PCP proteins"	63	63	19	0.301587301587302
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	73	73	22	0.301369863013699
"Costimulation by the CD28 family"	"Costimulation by the CD28 family"	73	73	22	0.301369863013699
"APC/C-mediated degradation of cell cycle proteins"	"APC/C-mediated degradation of cell cycle proteins"	83	83	25	0.301204819277108
"Regulation of mitotic cell cycle"	"Regulation of mitotic cell cycle"	83	83	25	0.301204819277108
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	70	70	21	0.3
"Netrin mediated repulsion signals"	"Netrin mediated repulsion signals"	10	10	3	0.3
"Regulation of signaling by NODAL"	"Regulation of signaling by NODAL"	10	10	3	0.3
"FCERI mediated MAPK activation"	"FCERI mediated MAPK activation"	77	77	23	0.298701298701299
"NOTCH1 Intracellular Domain Regulates Transcription"	"NOTCH1 Intracellular Domain Regulates Transcription"	47	47	14	0.297872340425532
"APC/C:Cdc20 mediated degradation of Securin"	"APC/C:Cdc20 mediated degradation of Securin"	64	64	19	0.296875
"ER-Phagosome pathway"	"ER-Phagosome pathway"	64	64	19	0.296875
"Integrin alphaIIb beta3 signaling"	"Integrin alphaIIb beta3 signaling"	27	27	8	0.296296296296296
"Recycling pathway of L1"	"Recycling pathway of L1"	27	27	8	0.296296296296296
"IRS-related events"	"IRS-related events"	88	88	26	0.295454545454545
"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	149	149	44	0.295302013422819
"Signaling by ERBB2"	"Signaling by ERBB2"	163	163	48	0.294478527607362
"Downstream signaling events of B Cell Receptor (BCR)"	"Downstream signaling events of B Cell Receptor (BCR)"	170	170	50	0.294117647058824
"IRS-mediated signalling"	"IRS-mediated signalling"	85	85	25	0.294117647058824
"IRS-related events triggered by IGF1R"	"IRS-related events triggered by IGF1R"	89	89	26	0.292134831460674
"APC/C:Cdc20 mediated degradation of mitotic proteins"	"APC/C:Cdc20 mediated degradation of mitotic proteins"	72	72	21	0.291666666666667
"Regulation of mRNA stability by proteins that bind AU-rich elements"	"Regulation of mRNA stability by proteins that bind AU-rich elements"	86	86	25	0.290697674418605
"Signaling by FGFR"	"Signaling by FGFR"	162	162	47	0.290123456790123
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"	"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"	69	69	20	0.289855072463768
"GAB1 signalosome"	"GAB1 signalosome"	104	104	30	0.288461538461538
"NGF signalling via TRKA from the plasma membrane"	"NGF signalling via TRKA from the plasma membrane"	206	206	59	0.286407766990291
"Apoptotic factor-mediated response"	"Apoptotic factor-mediated response"	7	7	2	0.285714285714286
"CREB phosphorylation through the activation of Adenylate Cyclase"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	2	0.285714285714286
"Downstream signal transduction"	"Downstream signal transduction"	161	161	46	0.285714285714286
"FGFR3b ligand binding and activation"	"FGFR3b ligand binding and activation"	7	7	2	0.285714285714286
"Golgi Cisternae Pericentriolar Stack Reorganization"	"Golgi Cisternae Pericentriolar Stack Reorganization"	14	14	4	0.285714285714286
"Orc1 removal from chromatin"	"Orc1 removal from chromatin"	70	70	20	0.285714285714286
"Regulation of APC/C activators between G1/S and early anaphase"	"Regulation of APC/C activators between G1/S and early anaphase"	77	77	22	0.285714285714286
"Signal attenuation"	"Signal attenuation"	14	14	4	0.285714285714286
"Switching of origins to a post-replicative state"	"Switching of origins to a post-replicative state"	70	70	20	0.285714285714286
"eNOS activation"	"eNOS activation"	7	7	2	0.285714285714286
"Assembly of the pre-replicative complex"	"Assembly of the pre-replicative complex"	67	67	19	0.283582089552239
"IGF1R signaling cascade"	"IGF1R signaling cascade"	92	92	26	0.282608695652174
"Insulin receptor signalling cascade"	"Insulin receptor signalling cascade"	92	92	26	0.282608695652174
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	92	92	26	0.282608695652174
"PI3K/AKT activation"	"PI3K/AKT activation"	103	103	29	0.281553398058252
"DAP12 signaling"	"DAP12 signaling"	164	164	46	0.280487804878049
"Activation of BH3-only proteins"	"Activation of BH3-only proteins"	25	25	7	0.28
"PI-3K cascade"	"PI-3K cascade"	100	100	28	0.28
"PI3K events in ERBB2 signaling"	"PI3K events in ERBB2 signaling"	100	100	28	0.28
"PI3K events in ERBB4 signaling"	"PI3K events in ERBB4 signaling"	100	100	28	0.28
"PI3K/AKT Signaling in Cancer"	"PI3K/AKT Signaling in Cancer"	100	100	28	0.28
"PIP3 activates AKT signaling"	"PIP3 activates AKT signaling"	100	100	28	0.28
"Fc epsilon receptor (FCERI) signaling"	"Fc epsilon receptor (FCERI) signaling"	212	212	59	0.278301886792453
"Removal of licensing factors from origins"	"Removal of licensing factors from origins"	72	72	20	0.277777777777778
"Synthesis and interconversion of nucleotide di- and triphosphates"	"Synthesis and interconversion of nucleotide di- and triphosphates"	18	18	5	0.277777777777778
