"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Activation of BIM and translocation to mitochondria"	"Activation of BIM and translocation to mitochondria"	3	3	3	1	0.0078740157480315	4	4	2	1	0	0
"Activation of Ca-permeable Kainate Receptor"	"Activation of Ca-permeable Kainate Receptor"	10	10	10	1	0.108267716535433	55	61	16	1	0	0
"Activation of Na-permeable Kainate Receptors"	"Activation of Na-permeable Kainate Receptors"	2	2	2	1	0.0433070866141732	22	22	16	6	0	0
"Activation of PKB"	"Activation of PKB"	4	4	4	1	0.0118110236220472	6	6	3	1	0	0
"Activation of RAS in B cells"	"Activation of RAS in B cells"	5	5	5	1	0.0807086614173228	41	44	29	1	0	0
"Activation of TRKA receptors"	"Activation of TRKA receptors"	6	6	6	1	0.031496062992126	16	17	5	1	0	0
"Activation of the AP-1 family of transcription factors"	"Activation of the AP-1 family of transcription factors"	10	10	10	1	0.0590551181102362	30	32	8	1	0	0
"Activation, myristolyation of BID and translocation to mitochondria"	"Activation, myristolyation of BID and translocation to mitochondria"	4	4	4	1	0.116141732283465	59	62	51	2	0	0
"Acyl chain remodeling of CL"	"Acyl chain remodeling of CL"	6	6	6	1	0.0334645669291339	17	19	5	2	0	0
"Adenosine P1 receptors"	"Adenosine P1 receptors"	4	4	4	1	0.015748031496063	8	8	3	1	0	0
"Adenylate cyclase activating pathway"	"Adenylate cyclase activating pathway"	10	10	10	1	0.183070866141732	93	107	26	3	0	0
"Adherens junctions interactions"	"Adherens junctions interactions"	30	30	30	1	0.346456692913386	176	252	29	1	0	0
"Agmatine biosynthesis"	"Agmatine biosynthesis"	2	2	2	1	0.00590551181102362	3	3	2	1	0	0
"Alpha-oxidation of phytanate"	"Alpha-oxidation of phytanate"	4	4	4	1	0.0216535433070866	11	11	5	1	0	0
"Amino Acid conjugation"	"Amino Acid conjugation"	8	8	8	1	0.0826771653543307	42	47	11	2	0	0
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	2	2	2	1	0.0078740157480315	4	4	3	1	0	0
"Amplification of signal from the kinetochores"	"Amplification of signal from the kinetochores"	2	2	2	1	0.0078740157480315	4	4	3	1	0	0
"Anchoring fibril formation"	"Anchoring fibril formation"	7	7	7	1	0.094488188976378	48	56	20	3	0	0
"Antagonism of Activin by Follistatin"	"Antagonism of Activin by Follistatin"	4	4	4	1	0.015748031496063	8	8	3	1	0	0
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	1	1	1	1	0.0078740157480315	4	4	4	4	0	0
"Assembly of the ORC complex at the origin of replication"	"Assembly of the ORC complex at the origin of replication"	6	6	6	1	0.0275590551181102	14	15	4	1	0	0
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	4	4	4	1	0.0295275590551181	15	16	9	1	0	0
"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	4	4	4	1	0.0216535433070866	11	11	4	1	0	0
"Axonal growth inhibition (RHOA activation)"	"Axonal growth inhibition (RHOA activation)"	8	8	8	1	0.078740157480315	40	43	10	1	0	0
"Axonal growth stimulation"	"Axonal growth stimulation"	4	4	4	1	0.0255905511811024	13	13	9	1	0	0
"Beta oxidation of butanoyl-CoA to acetyl-CoA"	"Beta oxidation of butanoyl-CoA to acetyl-CoA"	3	3	3	1	0.0137795275590551	7	7	4	1	0	0
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	5	5	5	1	0.0275590551181102	14	14	4	1	0	0
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	5	5	5	1	0.0255905511811024	13	13	4	1	0	0
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	5	5	5	1	0.0255905511811024	13	14	4	1	0	0
"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	3	3	3	1	0.0177165354330709	9	9	3	3	0	0
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	5	5	5	1	0.0275590551181102	14	14	4	1	0	0
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	3	3	3	1	0.0196850393700787	10	10	4	3	0	0
"Bicarbonate transporters"	"Bicarbonate transporters"	9	9	9	1	0.127952755905512	65	76	23	3	0	0
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	2	2	2	1	0.00393700787401575	2	2	1	1	0	0
"Biosynthesis of A2E, implicated in retinal degradation"	"Biosynthesis of A2E, implicated in retinal degradation"	1	1	1	1	0.00393700787401575	2	2	2	2	0	0
"Biotin transport and metabolism"	"Biotin transport and metabolism"	11	11	11	1	0.116141732283465	59	64	18	1	0	0
"Breakdown of the nuclear lamina"	"Breakdown of the nuclear lamina"	3	3	3	1	0.015748031496063	8	8	5	1	0	0
"C6 deamination of adenosine"	"C6 deamination of adenosine"	2	2	2	1	0.015748031496063	8	8	6	2	0	0
"CD28 dependent PI3K/Akt signaling"	"CD28 dependent PI3K/Akt signaling"	21	21	21	1	0.27755905511811	141	162	86	1	0	0
"CD28 dependent Vav1 pathway"	"CD28 dependent Vav1 pathway"	12	12	12	1	0.0826771653543307	42	47	12	1	0	0
"CHL1 interactions"	"CHL1 interactions"	9	9	9	1	0.133858267716535	68	72	17	4	0	0
"COPI Mediated Transport"	"COPI Mediated Transport"	10	10	10	1	0.0669291338582677	34	39	9	1	0	0
"COX reactions"	"COX reactions"	1	1	1	1	0.0137795275590551	7	7	7	7	0	0
"CREB phosphorylation through the activation of Adenylate Cyclase"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	7	1	0.106299212598425	54	59	24	1	0	0
"CREB phosphorylation through the activation of CaMKII"	"CREB phosphorylation through the activation of CaMKII"	15	15	15	1	0.167322834645669	85	106	29	1	0	0
"CREB phosphorylation through the activation of Ras"	"CREB phosphorylation through the activation of Ras"	27	27	27	1	0.283464566929134	144	200	29	1	0	0
"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	16	16	16	1	0.181102362204724	92	114	19	1	0	0
"CYP2E1 reactions"	"CYP2E1 reactions"	11	11	11	1	0.0748031496062992	38	41	6	1	0	0
"Cam-PDE 1 activation"	"Cam-PDE 1 activation"	4	4	4	1	0.0452755905511811	23	23	13	1	0	0
"Carnitine synthesis"	"Carnitine synthesis"	4	4	4	1	0.0118110236220472	6	6	3	1	0	0
"Caspase-mediated cleavage of cytoskeletal proteins"	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	12	1	0.230314960629921	117	138	51	1	0	0
"Catecholamine biosynthesis"	"Catecholamine biosynthesis"	4	4	4	1	0.0354330708661417	18	18	7	1	0	0
"Cation-coupled Chloride cotransporters"	"Cation-coupled Chloride cotransporters"	7	7	7	1	0.0826771653543307	42	45	9	1	0	0
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	5	5	5	1	0.0196850393700787	10	10	4	1	0	0
"Classical Kir channels"	"Classical Kir channels"	4	4	4	1	0.0295275590551181	15	15	5	3	0	0
"Cohesin Loading onto Chromatin"	"Cohesin Loading onto Chromatin"	10	10	10	1	0.125984251968504	64	71	25	3	0	0
"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	64	64	64	1	0.541338582677165	275	578	41	1	0	0
"Conjugation of benzoate with glycine"	"Conjugation of benzoate with glycine"	5	5	5	1	0.0590551181102362	30	32	11	3	0	0
"Conjugation of carboxylic acids"	"Conjugation of carboxylic acids"	8	8	8	1	0.0826771653543307	42	47	11	2	0	0
"Conjugation of phenylacetate with glutamine"	"Conjugation of phenylacetate with glutamine"	2	2	2	1	0.0334645669291339	17	18	11	7	0	0
"Conjugation of salicylate with glycine"	"Conjugation of salicylate with glycine"	7	7	7	1	0.0708661417322835	36	40	11	2	0	0
"Constitutive Signaling by EGFRvIII"	"Constitutive Signaling by EGFRvIII"	15	15	15	1	0.295275590551181	150	176	86	1	0	0
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	19	19	19	1	0.303149606299213	154	185	86	1	0	0
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	7	7	7	1	0.218503937007874	111	116	86	1	0	0
"Crosslinking of collagen fibrils"	"Crosslinking of collagen fibrils"	9	9	9	1	0.0590551181102362	30	35	8	1	0	0
"DNA Damage Recognition in GG-NER"	"DNA Damage Recognition in GG-NER"	2	2	2	1	0.00393700787401575	2	3	2	1	0	0
"DNA Damage Reversal"	"DNA Damage Reversal"	3	3	3	1	0.0196850393700787	10	10	4	2	0	0
"DSCAM interactions"	"DSCAM interactions"	11	11	11	1	0.161417322834646	82	92	24	1	0	0
"Degradation of GABA"	"Degradation of GABA"	2	2	2	1	0.015748031496063	8	8	6	2	0	0
"Degradation of cysteine and homocysteine"	"Degradation of cysteine and homocysteine"	8	8	8	1	0.0295275590551181	15	16	5	1	0	0
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	12	12	12	1	0.122047244094488	62	75	17	1	0	0
"Dermatan sulfate biosynthesis"	"Dermatan sulfate biosynthesis"	11	11	11	1	0.143700787401575	73	87	28	1	0	0
"Disinhibition of SNARE formation"	"Disinhibition of SNARE formation"	5	5	5	1	0.062992125984252	32	35	11	4	0	0
"Dopamine clearance from the synaptic cleft"	"Dopamine clearance from the synaptic cleft"	3	3	3	1	0.0118110236220472	6	6	4	1	0	0
"Dopamine receptors"	"Dopamine receptors"	5	5	5	1	0.0354330708661417	18	18	6	1	0	0
"Downregulation of ERBB2:ERBB3 signaling"	"Downregulation of ERBB2:ERBB3 signaling"	13	13	13	1	0.108267716535433	55	59	13	1	0	0
"Downregulation of ERBB4 signaling"	"Downregulation of ERBB4 signaling"	8	8	8	1	0.0846456692913386	43	48	22	1	0	0
"E2F-enabled inhibition of pre-replication complex formation"	"E2F-enabled inhibition of pre-replication complex formation"	10	10	10	1	0.0452755905511811	23	25	6	1	0	0
"ER Quality Control Compartment (ERQC)"	"ER Quality Control Compartment (ERQC)"	6	6	6	1	0.0433070866141732	22	23	8	2	0	0
"Eicosanoids"	"Eicosanoids"	12	12	12	1	0.108267716535433	55	59	8	2	0	0
"Electric Transmission Across Gap Junctions"	"Electric Transmission Across Gap Junctions"	5	5	5	1	0.0393700787401575	20	21	10	1	0	0
"Electron transport from NADPH to Ferredoxin"	"Electron transport from NADPH to Ferredoxin"	3	3	3	1	0.0137795275590551	7	7	3	2	0	0
"Elevation of cytosolic Ca2+ levels"	"Elevation of cytosolic Ca2+ levels"	9	9	9	1	0.116141732283465	59	67	20	2	0	0
"Enzymatic degradation of Dopamine by monoamine oxidase"	"Enzymatic degradation of Dopamine by monoamine oxidase"	2	2	2	1	0.00393700787401575	2	2	1	1	0	0
"Enzymatic degradation of dopamine by COMT"	"Enzymatic degradation of dopamine by COMT"	2	2	2	1	0.00393700787401575	2	2	1	1	0	0
"Establishment of Sister Chromatid Cohesion"	"Establishment of Sister Chromatid Cohesion"	11	11	11	1	0.0925196850393701	47	52	9	3	0	0
"FGFR1b ligand binding and activation"	"FGFR1b ligand binding and activation"	5	5	5	1	0.015748031496063	8	9	3	1	0	0
"FGFR1c and Klotho ligand binding and activation"	"FGFR1c and Klotho ligand binding and activation"	3	3	3	1	0.0196850393700787	10	10	5	1	0	0
"FMO oxidises nucleophiles"	"FMO oxidises nucleophiles"	3	3	3	1	0.0295275590551181	15	18	7	5	0	0
"FasL/ CD95L signaling"	"FasL/ CD95L signaling"	5	5	5	1	0.118110236220472	60	61	51	2	0	0
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	8	8	8	1	0.0807086614173228	41	44	21	1	0	0
"Fatty acids"	"Fatty acids"	15	15	15	1	0.108267716535433	55	65	8	2	0	0
"Fibronectin matrix formation"	"Fibronectin matrix formation"	6	6	6	1	0.0649606299212598	33	34	17	1	0	0
"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	5	5	5	1	0.0275590551181102	14	15	7	1	0	0
"Formation of annular gap junctions"	"Formation of annular gap junctions"	9	9	9	1	0.0767716535433071	39	44	13	1	0	0
"Formation of editosomes by ADAR proteins"	"Formation of editosomes by ADAR proteins"	2	2	2	1	0.015748031496063	8	8	6	2	0	0
"Formation of the Editosome"	"Formation of the Editosome"	2	2	2	1	0.0177165354330709	9	9	8	1	0	0
"Formation of the active cofactor, UDP-glucuronate"	"Formation of the active cofactor, UDP-glucuronate"	3	3	3	1	0.0196850393700787	10	10	5	2	0	0
"Free fatty acids regulate insulin secretion"	"Free fatty acids regulate insulin secretion"	8	8	8	1	0.0807086614173228	41	44	21	1	0	0
"Fructose catabolism"	"Fructose catabolism"	2	2	2	1	0.0118110236220472	6	6	4	2	0	0
"G2/M DNA damage checkpoint"	"G2/M DNA damage checkpoint"	9	9	9	1	0.100393700787402	51	55	22	1	0	0
"GABA A (rho) receptor activation"	"GABA A (rho) receptor activation"	3	3	3	1	0.0137795275590551	7	7	4	1	0	0
"GABA A receptor activation"	"GABA A receptor activation"	13	13	13	1	0.137795275590551	70	87	13	3	0	0
"GABA synthesis"	"GABA synthesis"	2	2	2	1	0.015748031496063	8	8	5	3	0	0
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	7	1	0.122047244094488	62	69	14	5	0	0
"GRB7 events in ERBB2 signaling"	"GRB7 events in ERBB2 signaling"	5	5	5	1	0.0511811023622047	26	26	13	1	0	0
"Gamma-carboxylation of protein precursors"	"Gamma-carboxylation of protein precursors"	9	9	9	1	0.0610236220472441	31	34	10	1	0	0
"Gap junction degradation"	"Gap junction degradation"	10	10	10	1	0.0807086614173228	41	46	13	1	0	0
"Glycogen breakdown (glycogenolysis)"	"Glycogen breakdown (glycogenolysis)"	14	14	14	1	0.0925196850393701	47	55	11	1	0	0
"Glycoprotein hormones"	"Glycoprotein hormones"	10	10	10	1	0.0374015748031496	19	19	3	1	0	0
"Glyoxylate metabolism"	"Glyoxylate metabolism"	5	5	5	1	0.0334645669291339	17	17	8	1	0	0
"Golgi to ER Retrograde Transport"	"Golgi to ER Retrograde Transport"	10	10	10	1	0.0669291338582677	34	39	9	1	0	0
"Growth hormone receptor signaling"	"Growth hormone receptor signaling"	24	24	24	1	0.151574803149606	77	87	9	1	0	0
"HCN channels"	"HCN channels"	4	4	4	1	0.0669291338582677	34	35	23	1	0	0
"Highly sodium permeable acetylcholine nicotinic receptors"	"Highly sodium permeable acetylcholine nicotinic receptors"	7	7	7	1	0.0413385826771654	21	22	5	1	0	0
"Histidine catabolism"	"Histidine catabolism"	5	5	5	1	0.0295275590551181	15	16	6	1	0	0
"HuR stabilizes mRNA"	"HuR stabilizes mRNA"	8	8	8	1	0.0688976377952756	35	35	9	1	0	0
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	4	1	0.0531496062992126	27	30	10	3	0	0
"Hydrolysis of LPE"	"Hydrolysis of LPE"	2	2	2	1	0.015748031496063	8	8	7	1	0	0
"Hydroxycarboxylic acid-binding receptors"	"Hydroxycarboxylic acid-binding receptors"	3	3	3	1	0.0216535433070866	11	11	5	3	0	0
"Hypusine synthesis from eIF5A-lysine"	"Hypusine synthesis from eIF5A-lysine"	4	4	4	1	0.00984251968503937	5	5	2	1	0	0
"IRAK2 mediated activation of TAK1 complex"	"IRAK2 mediated activation of TAK1 complex"	10	10	10	1	0.0551181102362205	28	33	6	1	0	0
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	10	1	0.0551181102362205	28	33	6	1	0	0
"Import of palmitoyl-CoA into the mitochondrial matrix"	"Import of palmitoyl-CoA into the mitochondrial matrix"	11	11	11	1	0.118110236220472	60	63	18	1	0	0
"Influenza Virus Induced Apoptosis"	"Influenza Virus Induced Apoptosis"	4	4	4	1	0.031496062992126	16	16	11	1	0	0
"Inhibition of HSL"	"Inhibition of HSL"	2	2	2	1	0.0118110236220472	6	6	3	3	0	0
"Inhibition of Signaling by Overexpressed EGFR"	"Inhibition of Signaling by Overexpressed EGFR"	2	2	2	1	0.0393700787401575	20	21	14	7	0	0
"Inhibition of TSC complex formation by PKB"	"Inhibition of TSC complex formation by PKB"	3	3	3	1	0.0216535433070866	11	11	6	2	0	0
"Inositol transporters"	"Inositol transporters"	7	7	7	1	0.0610236220472441	31	37	8	3	0	0
"Insulin effects increased synthesis of Xylulose-5-Phosphate"	"Insulin effects increased synthesis of Xylulose-5-Phosphate"	2	2	2	1	0.0118110236220472	6	6	4	2	0	0
"Interaction With Cumulus Cells"	"Interaction With Cumulus Cells"	1	1	1	1	0.00393700787401575	2	2	2	2	0	0
"Interaction With The Zona Pellucida"	"Interaction With The Zona Pellucida"	10	10	10	1	0.078740157480315	40	44	8	1	0	0
"Interactions of Tat with host cellular proteins"	"Interactions of Tat with host cellular proteins"	3	3	3	1	0.0177165354330709	9	9	4	2	0	0
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	3	3	3	1	0.0177165354330709	9	9	3	3	0	0
"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	10	10	10	1	0.108267716535433	55	61	16	1	0	0
"Kinesins"	"Kinesins"	27	27	27	1	0.226377952755905	115	142	16	1	0	0
"Klotho-mediated ligand binding"	"Klotho-mediated ligand binding"	6	6	6	1	0.0452755905511811	23	24	6	1	0	0
"Laminin interactions"	"Laminin interactions"	23	23	23	1	0.338582677165354	172	245	37	2	0	0
"Lectin pathway of complement activation"	"Lectin pathway of complement activation"	6	6	6	1	0.0334645669291339	17	19	7	1	0	0
"Leukotriene receptors"	"Leukotriene receptors"	5	5	5	1	0.0275590551181102	14	14	6	1	0	0
"Linoleic acid (LA) metabolism"	"Linoleic acid (LA) metabolism"	6	6	6	1	0.0177165354330709	9	9	2	1	0	0
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	5	5	5	1	0.226377952755905	115	130	86	1	0	0
"Lysosphingolipid and LPA receptors"	"Lysosphingolipid and LPA receptors"	9	9	9	1	0.0413385826771654	21	21	4	1	0	0
"MEK activation"	"MEK activation"	7	7	7	1	0.0807086614173228	41	44	29	1	0	0
"MRN complex relocalizes to nuclear foci"	"MRN complex relocalizes to nuclear foci"	4	4	4	1	0.0295275590551181	15	16	9	1	0	0
"Metabolism of serotonin"	"Metabolism of serotonin"	2	2	2	1	0.00590551181102362	3	3	2	1	0	0
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	1	1	1	1	0.00393700787401575	2	2	2	2	0	0
"Mitochondrial Uncoupling Proteins"	"Mitochondrial Uncoupling Proteins"	3	3	3	1	0.0177165354330709	9	9	6	1	0	0
"Mitochondrial transcription initiation"	"Mitochondrial transcription initiation"	3	3	3	1	0.0137795275590551	7	7	4	1	0	0
"Mitotic Telophase/Cytokinesis"	"Mitotic Telophase/Cytokinesis"	14	14	14	1	0.145669291338583	74	83	25	1	0	0
"Molybdenum cofactor biosynthesis"	"Molybdenum cofactor biosynthesis"	6	6	6	1	0.0236220472440945	12	12	3	1	0	0
"Multifunctional anion exchangers"	"Multifunctional anion exchangers"	6	6	6	1	0.0531496062992126	27	27	8	1	0	0
"N-Glycan antennae elongation"	"N-Glycan antennae elongation"	15	15	15	1	0.0708661417322835	36	45	7	1	0	0
"N-glycan antennae elongation in the medial/trans-Golgi"	"N-glycan antennae elongation in the medial/trans-Golgi"	20	20	20	1	0.094488188976378	48	61	7	1	0	0
"N-glycan trimming and elongation in the cis-Golgi"	"N-glycan trimming and elongation in the cis-Golgi"	5	5	5	1	0.0177165354330709	9	9	3	1	0	0
"NADPH regeneration"	"NADPH regeneration"	1	1	1	1	0.0078740157480315	4	4	4	4	0	0
"NFG and proNGF binds to p75NTR"	"NFG and proNGF binds to p75NTR"	3	3	3	1	0.047244094488189	24	24	22	1	0	0
"NGF processing"	"NGF processing"	4	4	4	1	0.0255905511811024	13	15	10	1	0	0
"NGF-independant TRKA activation"	"NGF-independant TRKA activation"	5	5	5	1	0.0295275590551181	15	16	5	2	0	0
"NICD traffics to nucleus"	"NICD traffics to nucleus"	13	13	13	1	0.307086614173228	156	190	86	1	0	0
"NOSIP mediated eNOS trafficking"	"NOSIP mediated eNOS trafficking"	2	2	2	1	0.0137795275590551	7	7	4	3	0	0
"Na+/Cl- dependent neurotransmitter transporters"	"Na+/Cl- dependent neurotransmitter transporters"	19	19	19	1	0.12007874015748	61	70	10	1	0	0
"Nectin/Necl  trans heterodimerization"	"Nectin/Necl  trans heterodimerization"	7	7	7	1	0.0354330708661417	18	22	6	1	0	0
"Negative regulation of the PI3K/AKT network"	"Negative regulation of the PI3K/AKT network"	8	8	8	1	0.0688976377952756	35	36	14	1	0	0
"Nephrin interactions"	"Nephrin interactions"	22	22	22	1	0.372047244094488	189	244	86	2	0	0
"Neurofascin interactions"	"Neurofascin interactions"	7	7	7	1	0.0826771653543307	42	47	10	2	0	0
"Neurophilin interactions with VEGF and VEGFR"	"Neurophilin interactions with VEGF and VEGFR"	4	4	4	1	0.0610236220472441	31	35	12	4	0	0
"Neurotransmitter Clearance In The Synaptic Cleft"	"Neurotransmitter Clearance In The Synaptic Cleft"	8	8	8	1	0.0413385826771654	21	22	6	1	0	0
"Neurotransmitter uptake and Metabolism In Glial Cells"	"Neurotransmitter uptake and Metabolism In Glial Cells"	4	4	4	1	0.0216535433070866	11	11	4	1	0	0
"Nicotinamide salvaging"	"Nicotinamide salvaging"	5	5	5	1	0.0433070866141732	22	23	7	2	0	0
"Nonhomologous End-joining (NHEJ)"	"Nonhomologous End-joining (NHEJ)"	6	6	6	1	0.0807086614173228	41	45	23	3	0	0
"Notch-HLH transcription pathway"	"Notch-HLH transcription pathway"	13	13	13	1	0.307086614173228	156	190	86	1	0	0
"NrCAM interactions"	"NrCAM interactions"	7	7	7	1	0.0807086614173228	41	45	10	3	0	0
"Organic anion transport"	"Organic anion transport"	5	5	5	1	0.0295275590551181	15	19	5	2	0	0
"Organic anion transporters"	"Organic anion transporters"	8	8	8	1	0.0649606299212598	33	34	7	1	0	0
"Organic cation transport"	"Organic cation transport"	8	8	8	1	0.0452755905511811	23	23	8	1	0	0
"Organic cation/anion/zwitterion transport"	"Organic cation/anion/zwitterion transport"	13	13	13	1	0.0708661417322835	36	42	8	1	0	0
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	3	3	3	1	0.0255905511811024	13	14	8	3	0	0
"PDE3B signalling"	"PDE3B signalling"	2	2	2	1	0.0118110236220472	6	6	3	3	0	0
"PI and PC transport between ER and Golgi membranes"	"PI and PC transport between ER and Golgi membranes"	1	1	1	1	0.00393700787401575	2	2	2	2	0	0
"PKA-mediated phosphorylation of key metabolic factors"	"PKA-mediated phosphorylation of key metabolic factors"	5	5	5	1	0.0255905511811024	13	13	4	1	0	0
"PLC-mediated hydrolysis of PIP2"	"PLC-mediated hydrolysis of PIP2"	1	1	1	1	0.0177165354330709	9	9	9	9	0	0
"Peptide hormone biosynthesis"	"Peptide hormone biosynthesis"	12	12	12	1	0.0452755905511811	23	23	3	1	0	0
"Plasmalogen biosynthesis"	"Plasmalogen biosynthesis"	4	4	4	1	0.031496062992126	16	17	5	3	0	0
"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	19	19	19	1	0.218503937007874	111	145	20	2	0	0
"Post-transcriptional silencing by small RNAs"	"Post-transcriptional silencing by small RNAs"	7	7	7	1	0.094488188976378	48	53	11	4	0	0
