"V1"
"2-LTR circle formation"	"XRCC4"
"AUF1 (hnRNP D0) destabilizes mRNA"	"EIF4G1 RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 HNRNPD"
"AXIN missense mutants destabilize the destruction complex"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"AXIN mutants destabilize the destruction complex, activating WNT signaling"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"Abacavir metabolism"	"ADAL"
"Abacavir transmembrane transport"	"ABCB1 ABCG2"
"Abacavir transport and metabolism"	"ABCB1 ADAL ABCG2"
"Abortive elongation of HIV-1 transcript in the absence of Tat"	"GTF2F1 NELFB POLR2A POLR2B"
"Acetylation"	"NAT1"
"Acetylcholine Binding And Downstream Events"	"CHRNA3 CHRNA4 CHRNB3 CHRND"
"Acetylcholine Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1"
"Acetylcholine regulates insulin secretion"	"GNA15 PLCB1 PLCB2 PRKCA"
"Acrosome Reaction"	"ACR"
"Activated NOTCH1 Transmits Signal to the Nucleus"	"RPS27A APH1A NCSTN NOTCH1 CNTN1 DTX2 DTX4 ITCH JAG2 MIB1 MIB2"
"Activated TLR4 signalling"	"RPS27A PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 APP BTK DHX9 DUSP6 DUSP7 ECSIT FADD FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RIPK1 RPS6KA5 TAB1 TAB3 TLR1 TLR4 TRAF3"
"Activated point mutants of FGFR2"	"FGF17 FGF22"
"Activation and oligomerization of BAK protein"	"BID"
"Activation of AMPA receptors"	"GRIA1 GRIA2 GRIA3"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1"
"Activation of ATR in response to replication stress"	"ATRIP CLSPN MCM2 MCM4 MCM7 ORC6 RAD17"
"Activation of BAD and translocation to mitochondria"	"AKT1 BID SFN"
"Activation of BH3-only proteins"	"AKT1 BID SFN TFDP1 TP53"
"Activation of C3 and C5"	"C4B C5"
"Activation of Ca-permeable Kainate Receptor"	"CALM1 DLG1 GRIK3 GRIK4 GRIK5 NCALD"
"Activation of CaMK IV"	"CALM1"
"Activation of DNA fragmentation factor"	"HIST1H1D KPNA1"
"Activation of G protein gated Potassium channels"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3"
"Activation of GABAB receptors"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9"
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	"RPS27A TLR4 TRAF3"
"Activation of Kainate Receptors upon glutamate binding"	"GNB2 GNB3 GNG8 PLCB1 PLCB2 CALM1 DLG1 GRIK3 GRIK4 GRIK5 NCALD"
"Activation of Matrix Metalloproteinases"	"CMA1 FURIN MMP1 MMP13 MMP15 MMP16 MMP17 PLG"
"Activation of NF-kappaB in B cells"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 MAP3K7 NFKBIA CARD11"
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	"NEK9"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"BRAF MAPK1 GRIA1 GRIA2 GRIA3 CALM1 ADCY1 ADCY3 ADCY8 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D PRKACA PRKACB RASGRF1 RPS6KA6"
"Activation of NOXA and translocation to mitochondria"	"TFDP1 TP53"
"Activation of Nicotinic Acetylcholine Receptors"	"CHRNA3 CHRNA4 CHRNB3 CHRND"
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"MAPK12 PRKAG3"
"Activation of PUMA and translocation to mitochondria"	"TFDP1 TP53"
"Activation of RAS in B cells"	"RASGRP3"
"Activation of Rac"	"NCK1 PAK2 RAC1 ROBO1 SLIT2 SOS1"
"Activation of SMO"	"BOC EVC EVC2 PTCH1"
"Activation of caspases through apoptosome-mediated cleavage"	"APAF1"
"Activation of gene expression by SREBF (SREBP)"	"NFYC ACACB CHD9 CREBBP FASN GPAM HMGCR LSS MVK NCOA2 SMARCD3 TBL1XR1"
"Activation of the AP-1 family of transcription factors"	"MAPK1 FOS"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	"EIF2S1 EIF3D EIF4G1 RPS13 RPS27A"
"Activation of the phototransduction cascade"	"PDE6A RHO"
"Activation of the pre-replicative complex"	"MCM2 MCM4 MCM7 ORC6 POLE"
"Activation, myristolyation of BID and translocation to mitochondria"	"BID"
"Activation, translocation and oligomerization of BAX"	"BID"
"Acyl chain remodeling of CL"	"PLA2G4A LCLAT1"
"Acyl chain remodelling of PC"	"PLA2G4A LPCAT1 PLA2G4D PLA2G4E PNPLA8"
"Acyl chain remodelling of PE"	"PLA2G4A PLA2G4D PLA2G4E PNPLA8"
"Acyl chain remodelling of PG"	"PLA2G4A LPCAT1 PLA2G4D"
"Acyl chain remodelling of PI"	"PLA2G4A PLA2G4D PLA2G4E MBOAT7"
"Acyl chain remodelling of PS"	"PLA2G4A PLA2G4D PLA2G4E"
"Adaptive Immune System"	"RPS27A AKT1 RPS6KB2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 CDC20 CDC27 SKP2 HSPA5 ITCH BTK MAP3K7 NFKBIA FGF17 FGF22 CALM1 CARD11 PRKACA PRKACB RASGRP3 NCK1 PAK2 RAC1 SOS1 AGO1 AGO3 AGO4 AP1G1 AP2A2 ASB17 ASB6 B2M CD226 CD80 CENPE CLTA CYBB DCTN4 DCTN6 DNM2 DYNC1H1 EGF EGFR ERBB2 ERBB3 ERBB4 FBXO17 FBXO44 FBXW7 FCGR1A FCGR3A FGF19 FGFR3 FGFR4 FYN GAB1 GAN HECTD3 HERC2 HLA-A HLA-B HUWE1 ICAM1 ICOS INPP5D IRS2 ITGA4 ITGAL ITPR2 ITPR3 KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C LAT LILRB5 LNPEP LRSAM1 MAP3K14 MAP3K8 MTOR NCF2 NEDD4 NPEPPS PAG1 PDGFRA PHLPP1 PIK3AP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PJA2 PRKCQ PRKG1 PTEN PVR PVRL2 RAPGEF3 RICTOR RNF111 SEC24B SEC24C SH3KBP1 SYK TAP1 TNRC6B TNRC6C TPP2 TRIM21 TRIP12 TRPC1 UBA3 UBA5 UBE2Q1 UBE3A UBE3C UBE4A UBOX5 UBR4 VCAM1 ZBTB16"
"Adenylate cyclase activating pathway"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9"
"Adenylate cyclase inhibitory pathway"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9"
"Adherens junctions interactions"	"PVR PVRL2 CADM2 CDH10 CDH11 CDH13 CDH18 CDH2 CDH24 CDH3 CDH5 CDH9 CTNNA1 CTNND1 MLLT4"
"Adrenaline signalling through Alpha-2 adrenergic receptor"	"ADRA2C"
"Adrenaline,noradrenaline inhibits insulin secretion"	"GNB2 GNB3 GNG8 ADRA2C CACNA1C CACNB3"
"Adrenoceptors"	"ADRA2C ADRA1D"
"Advanced glycosylation endproduct receptor signaling"	"MAPK1 APP CAPZA1 DDOST LGALS3"
"Aflatoxin activation and detoxification"	"AKR7L GGT1 GGT6"
"Alpha-oxidation of phytanate"	"HACL1"
"Amine compound SLC transporters"	"SLC14A1 SLC44A1 SLC44A2 SLC6A14 SLC6A15 SLC6A5"
"Amine ligand-binding receptors"	"ADRA2C ADRA1D DRD2 DRD3 HTR2A"
"Amine-derived hormones"	"ASMT DBH PNMT TH"
"Amino Acid conjugation"	"ACSM2A"
"Amino acid and oligopeptide SLC transporters"	"SLC6A14 SLC6A15 SLC15A3 SLC17A8 SLC1A5 SLC1A6 SLC1A7 SLC3A2 SLC5A8 SLC7A5"
"Amino acid synthesis and interconversion (transamination)"	"ALDH18A1 GLS2"
"Amino acid transport across the plasma membrane"	"SLC6A14 SLC6A15 SLC1A5 SLC3A2 SLC7A5"
"Amyloids"	"APP B2M APCS HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NPPA ODAM TGFBI"
"Anchoring fibril formation"	"LAMA3 LAMC2"
"Anchoring of the basal body to the plasma membrane"	"AKAP9 PRKACA DYNC1H1 ALMS1 CC2D2A CCP110 CEP135 CEP162 CEP290 CKAP5 CLASP1 CNTRL NEDD1 NPHP4 ODF2 PCM1 PCNT SFI1 TCTN2 TMEM67"
"Androgen biosynthesis"	"POMC SRD5A3"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"HSPA5 B2M HLA-A HLA-B SEC24B SEC24C TAP1"
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"BTK CALM1 NCK1 SOS1 FYN ITPR2 ITPR3 PIK3AP1 PIK3CD PIK3R1 SH3KBP1 SYK TRPC1"
"Antigen processing-Cross presentation"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 B2M CYBB FCGR1A HLA-A HLA-B LNPEP NCF2 TAP1"
"Antigen processing: Ubiquitination & Proteasome degradation"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 CDC20 CDC27 SKP2 ITCH ASB17 ASB6 FBXO17 FBXO44 FBXW7 GAN HECTD3 HERC2 HUWE1 LNPEP LRSAM1 NEDD4 NPEPPS PJA2 RNF111 TPP2 TRIM21 TRIP12 UBA3 UBA5 UBE2Q1 UBE3A UBE3C UBE4A UBOX5 UBR4 ZBTB16"
"Antiviral mechanism by IFN-stimulated genes"	"EIF4G1 RPS27A KPNA1 NEDD4 EIF4E2 EIF4G2 EIF4G3 KPNA2 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR"
"Apoptosis"	"RPS27A AKT1 APC PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 FADD RIPK1 BID CLSPN SFN TFDP1 TP53 HIST1H1D KPNA1 PAK2 APAF1 PRKCQ ACIN1 ARHGAP10 BMX DNM1L DSG1 DSG2 DSP FASLG PLEC PTK2 ROCK1 SATB1 SPTAN1 VIM"
"Apoptosis induced DNA fragmentation"	"HIST1H1D KPNA1"
"Apoptotic cleavage of cell adhesion  proteins"	"DSG1 DSG2 DSP"
"Apoptotic cleavage of cellular proteins"	"APC CLSPN PRKCQ ACIN1 BMX DSG1 DSG2 DSP PLEC PTK2 ROCK1 SATB1 SPTAN1 VIM"
"Apoptotic execution  phase"	"APC CLSPN HIST1H1D KPNA1 PAK2 PRKCQ ACIN1 BMX DNM1L DSG1 DSG2 DSP PLEC PTK2 ROCK1 SATB1 SPTAN1 VIM"
"Apoptotic factor-mediated response"	"APAF1"
"Aquaporin-mediated transport"	"GNB2 GNB3 GNG8 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB GNAS PRKAR1A"
"Arachidonate production from DAG"	"DAGLA"
"Arachidonic acid metabolism"	"PLA2G4A GGT1 ALOX15B CYP2C9 CYP4A11 CYP4A22 CYP4F8 EPHX2 GPX1 PTGIS"
"Asparagine N-linked glycosylation"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Assembly Of The HIV Virion"	"RPS27A FURIN"
"Assembly of collagen fibrils and other multimeric structures"	"MMP13 LAMA3 LAMC2 PLEC COL11A1 COL1A2 COL24A1 COL3A1 COL4A1 COL4A3 COL4A4 COL5A1 COL5A2 COL5A3 COL6A2 COL6A3 COL6A6 DST ITGB4 LOXL2"
"Assembly of the ORC complex at the origin of replication"	"ORC6"
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"RAD50"
"Assembly of the pre-replicative complex"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 MCM2 MCM4 MCM7 ORC6"
"Assembly of the primary cilium"	"AKAP9 PRKACA RHO DYNC1H1 KIF3B ALMS1 CC2D2A CCP110 CEP135 CEP162 CEP290 CKAP5 CLASP1 CNTRL NEDD1 NPHP4 ODF2 PCM1 PCNT SFI1 TCTN2 TMEM67 ASAP1 BBS2 BBS4 EXOC1 IFT122 IFT140 IFT172 NPHP3 PKD1 TCP1 TNPO1 TRIP11 TTC21B WDR19"
"Association of TriC/CCT with target proteins during biosynthesis"	"FBXW7 TCP1 AP3M1 ARFGEF2 CCT6A"
"Association of licensing factors with the pre-replicative complex"	"RPS27A"
"Asymmetric localization of PCP proteins"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 FZD3 PRICKLE1 SCRIB"
"Attachment of GPI anchor to uPAR"	"PGAP1"
"Attenuation phase"	"CREBBP CRYBA4 EP300 HSP90AB1 HSPA2 HSPA6"
"Autodegradation of Cdh1 by Cdh1:APC/C"	"RPS27A PSMA1 PSMB10 PSMD2 PSMD4 CDC27"
"Autodegradation of the E3 ubiquitin ligase COP1"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 TP53"
"Axon guidance"	"APH1A NCSTN IL6 JAK2 MAP2K1 MAP2K2 MAPK1 CNTN1 RPS6KA5 DLG1 RPS6KA6 NCK1 PAK2 RAC1 ROBO1 SLIT2 SOS1 AP2A2 CLTA DNM2 EGFR ERBB2 FYN KIF4A KIF4B PRKCQ TRPC1 CACNA1C CACNB3 CLASP1 PTK2 ROCK1 SPTAN1 ST8SIA2 COL4A1 COL4A3 COL4A4 COL6A2 COL6A3 COL6A6 HSP90AB1 ABLIM1 ACTB AGAP2 ANK2 ANK3 ARHGAP35 ARHGEF7 CACNA1G CACNA1H CACNA1I CACNA1S CACNB1 CLASP2 CLTCL1 CNTN2 CNTN6 CSNK2A1 DCX DOCK1 EPHA1 EPHA2 EPHA3 EPHA6 EPHA7 EPHB1 EPHB3 EPHB6 FARP2 GDNF GFRA1 ITGA1 ITGA2 ITGA5 ITGB3 ITSN1 KALRN KIAA1598 LAMA1 LAMC1 LIMK1 MYH10 MYH11 MYH14 MYH9 NFASC NRCAM PLXNA1 PLXNA2 PLXNB1 PLXNB3 RHOA RHOC ROCK2 SCN10A SCN1A SCN2A SCN3A SCN4A SCN5A SCN7A SCN8A SCN9A SEMA3A SEMA4A SEMA4D SEMA5A SPTB SPTBN1 SPTBN4 TIAM1 TLN1 TRIO TRPC5 TRPC6 UNC5A UNC5C UNC5D VAV2 WASL"
"Axonal growth inhibition (RHOA activation)"	"RHOA ARHGEF1 LINGO1 MAG"
"Axonal growth stimulation"	"RHOA"
"BBSome-mediated cargo-targeting to cilium"	"BBS2 BBS4 TCP1"
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	"BID"
"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	"CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 EP300 CLOCK CRY1 NCOR1 NPAS2 RORA"
"Base Excision Repair"	"FEN1 POLB POLD1 POLD3 TDG"
"Base-Excision Repair, AP Site Formation"	"TDG"
"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"POLB TDG"
"Basigin interactions"	"MMP1 SLC3A2 SLC7A5 MAG ATP1B3 PPIL2"
"Beta defensins"	"TLR1 DEFB114 DEFB126"
"Beta oxidation of butanoyl-CoA to acetyl-CoA"	"ACADS"
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	"ACADM"
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	"ACADS"
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	"ACADM"
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"ACADVL"
"Beta-catenin phosphorylation cascade"	"APC PPP2R1B"
"Beta-oxidation of pristanoyl-CoA"	"CROT"
"Bicarbonate transporters"	"SLC4A10 SLC4A4 SLC4A5 SLC4A9"
"Bile acid and bile salt metabolism"	"ABCC3 NCOA2 PTGIS ABCB11 ALB CYP7B1 SLC10A2"
"Bile salt and organic anion SLC transporters"	"SLC13A3 SLC13A5"
"Binding and Uptake of Ligands by Scavenger Receptors"	"HSP90B1 COL1A2 COL3A1 COL4A1 ALB APOB CD163 LRP1 STAB2"
"Biological oxidations"	"NAT1 NCOA2 AKR7L GGT1 GGT6 ACSM2A POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2 GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Biosynthesis of A2E, implicated in retinal degradation"	"NAPEPLD"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	"SRD5A3 ALG10 ALG12 GNPNAT1 NEU2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Biotin transport and metabolism"	"ACACB MCCC1 PC PCCA"
"Branched-chain amino acid catabolism"	"MCCC1 BCKDHB HIBADH"
"Budding"	"BLOC1S6"
"Budding and maturation of HIV virion"	"RPS27A"
"Butyrate Response Factor 1 (BRF1) destabilizes mRNA"	"AKT1 DCP2 EXOSC5 DCP1A XRN1 ZFP36L1"
"CD28 co-stimulation"	"AKT1 PAK2 RAC1 CD80 FYN MAP3K14 MAP3K8 MTOR PIK3CA PIK3R1 PIK3R3 RICTOR"
"CD28 dependent PI3K/Akt signaling"	"AKT1 CD80 FYN MAP3K14 MAP3K8 MTOR PIK3CA PIK3R1 PIK3R3 RICTOR"
"CD28 dependent Vav1 pathway"	"PAK2 RAC1 CD80 FYN"
"CDC6 association with the ORC:origin complex"	"ORC6"
"CDK-mediated phosphorylation and removal of Cdc6"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4"
"CDO in myogenesis"	"MAPK12 BOC CDH2 CTNNA1 MYF5 MYOG SPAG9"
"CDT1 association with the CDC6:ORC:origin complex"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 ORC6"
"CHL1 interactions"	"CNTN6 ITGA1 ITGA2"
"COPI Mediated Transport"	"ARCN1 ARFGAP1 COPA COPB1 COPG1"
"COPII (Coat Protein 2) Mediated Vesicle Transport"	"SEC24B SEC24C"
"CREB phosphorylation"	"RPS6KA5"
"CREB phosphorylation through the activation of Adenylate Cyclase"	"ADCY1 ADCY3 ADCY8 PRKACA PRKACB"
"CREB phosphorylation through the activation of CaMKII"	"CALM1 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D"
"CREB phosphorylation through the activation of CaMKK"	"CALM1"
"CREB phosphorylation through the activation of Ras"	"BRAF MAPK1 CALM1 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D RASGRF1 RPS6KA6"
"CRMPs in Sema3A signaling"	"FYN PLXNA1 PLXNA2 SEMA3A"
"CS/DS degradation"	"BCAN VCAN ARSB HEXA"
"CTLA4 inhibitory signaling"	"AKT1 PPP2R1B CD80 FYN"
"CYP2E1 reactions"	"CYP2C9"
"Ca-dependent events"	"PLA2G4A MAPK1 PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PRKAR1A PDE1C"
"Ca2+ activated K+ channels"	"KCNMB3 KCNMB4"
"Ca2+ pathway"	"GNB2 GNB3 GNG8 AXIN2 PLCB1 PLCB2 PRKCA MAP3K7 CALM1 CAMK2A PDE6A AGO1 AGO3 AGO4 ITPR2 ITPR3 PRKG1 TNRC6B TNRC6C FZD3 GNAT2 NFATC1 NLK"
"CaM pathway"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PRKAR1A PDE1C"
"CaMK IV-mediated phosphorylation of CREB"	"CALM1"
"Calcitonin-like ligand receptors"	"CALCRL"
"Calmodulin induced events"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PRKAR1A PDE1C"
"Calnexin/calreticulin cycle"	"EDEM1 EDEM2 EDEM3"
"Cam-PDE 1 activation"	"CALM1 PDE1C"
"Cap-dependent Translation Initiation"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A EIF2B5"
"Cargo trafficking to the periciliary membrane"	"RHO ASAP1 BBS2 BBS4 EXOC1 NPHP3 PKD1 TCP1"
"Caspase-8 activation by cleavage"	"FADD RIPK1 FASLG"
"Caspase-mediated cleavage of cytoskeletal proteins"	"PLEC SPTAN1 VIM"
"Catecholamine biosynthesis"	"DBH PNMT TH"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1"
"Cell Cycle"	"RPS27A CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1 SKP2 MAPK1 BRCA1 PRKCA ATRIP CLSPN MCM2 MCM4 MCM7 ORC6 RAD17 TFDP1 TP53 NEK9 AKAP9 PRKACA POLE CENPE DYNC1H1 KIF18A KIF23 KIF2C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR RAD50 EP300 HSPA2 CLASP2 CSNK2A1 FEN1 POLD1 POLD3 AHCTF1 ANKLE2 BRCA2 CASC5 CDCA5 CENPI CENPO CKS1B CLIP1 DIDO1 DYRK1A ESPL1 FOXM1 GINS1 LIN37 LIN52 LIN54 LPIN3 MASTL MAU2 MIS12 MND1 MSH4 NCAPD2 NCAPH NCAPH2 NIPBL NSL1 NUMA1 PKMYT1 POT1 PPP1R12B PPP2R3B RAB1A RAB2A RAD21 RB1 RBBP8 RBL1 RCC2 SGOL2 SMARCA5 SMC2 SMC3 SMC4 SPC24 SPDL1 STAG3 SYCE2 SYCP2 SYNE1 SYNE2 TINF2 TOP2A TUBG2 TUBGCP6 WAPAL"
"Cell Cycle Checkpoints"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 ATRIP CLSPN MCM2 MCM4 MCM7 ORC6 RAD17 TP53 PKMYT1"
"Cell Cycle, Mitotic"	"RPS27A CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1 SKP2 MAPK1 PRKCA MCM2 MCM4 MCM7 ORC6 TFDP1 NEK9 AKAP9 PRKACA POLE CENPE DYNC1H1 KIF18A KIF23 KIF2C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR EP300 CLASP2 CSNK2A1 FEN1 POLD1 POLD3 AHCTF1 ANKLE2 CASC5 CDCA5 CENPI CENPO CKS1B CLIP1 DYRK1A ESPL1 FOXM1 GINS1 LIN37 LIN52 LIN54 LPIN3 MASTL MAU2 MIS12 NCAPD2 NCAPH NCAPH2 NIPBL NSL1 NUMA1 PKMYT1 PPP1R12B PPP2R3B RAB1A RAB2A RAD21 RB1 RBL1 RCC2 SGOL2 SMC2 SMC3 SMC4 SPC24 SPDL1 TOP2A TUBG2 TUBGCP6 WAPAL"
"Cell death signalling via NRAGE, NRIF and NADE"	"RPS27A APH1A NCSTN RAC1 SOS1 ARHGEF7 ITSN1 KALRN TIAM1 TRIO VAV2 ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2"
