"path number"	"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"91"	91	"Recruitment of NuMA to mitotic centrosomes"	11	11	2	0.181818181818182	11	11	11	1	0.0984251968503937	50	55	16	1	0	0
"92"	92	"Developmental Biology"	519	519	87	0.167630057803468	519	519	461	0.888246628131021	0.948818897637795	482	2978	86	0	3.89885591121075e-05	0.00161360503214158
"93"	93	"Nonhomologous End-joining (NHEJ)"	6	6	1	0.166666666666667	6	6	6	1	0.0807086614173228	41	45	23	3	0	0
"94"	94	"Release of eIF4E"	6	6	1	0.166666666666667	6	6	6	1	0.0334645669291339	17	18	9	1	0	0
"95"	95	"Synthesis of 15-eicosatetraenoic acid derivatives"	6	6	1	0.166666666666667	6	6	6	1	0.031496062992126	16	16	6	1	0	0
"96"	96	"Anchoring of the basal body to the plasma membrane"	89	89	14	0.157303370786517	89	89	83	0.932584269662921	0.484251968503937	246	439	29	0	0.00114305087790934	0.0408443146284268
"97"	97	"Syndecan interactions"	20	20	3	0.15	20	20	20	1	0.124015748031496	63	78	11	1	0	0
"98"	98	"Glycogen breakdown (glycogenolysis)"	14	14	2	0.142857142857143	14	14	14	1	0.0925196850393701	47	55	11	1	0	0
"99"	99	"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"100"	100	"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"101"	101	"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"102"	102	"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"103"	103	"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"104"	104	"Defective CYP1B1 causes Glaucoma"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"105"	105	"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"106"	106	"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"107"	107	"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"108"	108	"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"109"	109	"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"110"	110	"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"111"	111	"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"112"	112	"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"113"	113	"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"114"	114	"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"115"	115	"Defective FMO3 causes Trimethylaminuria (TMAU)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"116"	116	"Defective MAOA causes Brunner syndrome (BRUNS)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"117"	117	"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"118"	118	"Phase 1 - Functionalization of compounds"	78	78	11	0.141025641025641	78	78	73	0.935897435897436	0.356299212598425	181	269	8	0	0.00145790578993799	0.0487640581104277
"119"	119	"Fatty acids"	15	15	2	0.133333333333333	15	15	15	1	0.108267716535433	55	65	8	2	0	0
"120"	120	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	140	140	18	0.128571428571429	140	140	128	0.914285714285714	0.647637795275591	329	742	29	0	0.00117502759491417	0.0418725238354548
"121"	121	"Downregulation of ERBB4 signaling"	8	8	1	0.125	8	8	8	1	0.0846456692913386	43	48	22	1	0	0
"122"	122	"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	8	8	1	0.125	8	8	8	1	0.0748031496062992	38	39	7	2	0	0
"123"	123	"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	8	8	1	0.125	8	8	8	1	0.0531496062992126	27	29	10	1	0	0
"124"	124	"Non-integrin membrane-ECM interactions"	42	42	5	0.119047619047619	42	42	41	0.976190476190476	0.427165354330709	217	349	43	0	0.000373033860340821	0.0139388629177747
"125"	125	"Gamma-carboxylation of protein precursors"	9	9	1	0.111111111111111	9	9	9	1	0.0610236220472441	31	34	10	1	0	0
"126"	126	"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	9	9	1	0.111111111111111	9	9	9	1	0.0551181102362205	28	30	10	1	0	0
"127"	127	"Transmission across Chemical Synapses"	201	201	22	0.109452736318408	201	201	187	0.930348258706468	0.72244094488189	367	1027	29	0	5.93947890825675e-06	0.000251383634996002
"128"	128	"Na+/Cl- dependent neurotransmitter transporters"	19	19	2	0.105263157894737	19	19	19	1	0.12007874015748	61	70	10	1	0	0
"129"	129	"Acetylcholine regulates insulin secretion"	10	10	1	0.1	10	10	10	1	0.104330708661417	53	59	21	1	0	0
"130"	130	"E2F-enabled inhibition of pre-replication complex formation"	10	10	1	0.1	10	10	10	1	0.0452755905511811	23	25	6	1	0	0
"131"	131	"IRAK2 mediated activation of TAK1 complex"	10	10	1	0.1	10	10	10	1	0.0551181102362205	28	33	6	1	0	0
"132"	132	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	1	0.1	10	10	10	1	0.0551181102362205	28	33	6	1	0	0
"133"	133	"Tryptophan catabolism"	11	11	1	0.0909090909090909	11	11	11	1	0.0728346456692913	37	39	8	1	0	0
"134"	134	"Neuronal System"	280	280	24	0.0857142857142857	280	280	262	0.935714285714286	0.818897637795276	416	1452	29	0	2.21951559353784e-08	9.45511818903479e-07
"135"	135	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	1	0.0833333333333333	12	12	12	1	0.230314960629921	117	138	51	1	0	0
"136"	136	"Mitotic Telophase/Cytokinesis"	14	14	1	0.0714285714285714	14	14	14	1	0.145669291338583	74	83	25	1	0	0
"137"	137	"repression of WNT target genes"	14	14	1	0.0714285714285714	14	14	14	1	0.0846456692913386	43	48	10	1	0	0
"138"	138	"Generic Transcription Pathway"	483	483	26	0.0538302277432712	483	483	433	0.89648033126294	0.860236220472441	437	2051	86	0	6.3301648870473e-06	0.000267054847500511
"139"	139	"Extracellular matrix organization"	266	266	14	0.0526315789473684	266	266	252	0.947368421052632	0.846456692913386	430	1775	43	0	8.64222915453183e-10	3.69361383327582e-08
"140"	140	"Transmembrane transport of small molecules"	618	618	32	0.0517799352750809	618	618	548	0.886731391585761	0.940944881889764	478	2781	53	0	1.26181727844177e-05	0.000528918810806033
"141"	141	"Chromatin modifying enzymes"	208	208	9	0.0432692307692308	208	208	188	0.903846153846154	0.751968503937008	382	1120	79	0	0.000694056419344058	0.0254257455278898
"142"	142	"Chromatin organization"	208	208	9	0.0432692307692308	208	208	188	0.903846153846154	0.751968503937008	382	1120	79	0	0.000694056419344058	0.0254257455278898
"143"	143	"TRP channels"	25	25	1	0.04	25	25	25	1	0.251968503937008	128	173	18	2	0	0
"144"	144	"SLC-mediated transmembrane transport"	259	259	10	0.0386100386100386	259	259	239	0.922779922779923	0.714566929133858	363	962	23	0	2.69158796917246e-06	0.000114289148940517
"145"	145	"Kinesins"	27	27	1	0.037037037037037	27	27	27	1	0.226377952755905	115	142	16	1	0	0
"146"	146	"ECM proteoglycans"	55	55	2	0.0363636363636364	55	55	53	0.963636363636364	0.484251968503937	246	449	37	0	0.000398998101874604	0.0148665723926186
"147"	147	"Adherens junctions interactions"	30	30	1	0.0333333333333333	30	30	30	1	0.346456692913386	176	252	29	1	0	0
"148"	148	"Stimuli-sensing channels"	98	98	3	0.0306122448979592	98	98	93	0.948979591836735	0.602362204724409	306	642	53	0	7.91260264521032e-05	0.0032644290312751
"149"	149	"Integrin cell surface interactions"	66	66	2	0.0303030303030303	66	66	63	0.954545454545455	0.454724409448819	231	376	20	0	0.000431985990944961	0.0160499667284483
"150"	150	"Ion channel transport"	167	167	5	0.029940119760479	167	167	156	0.934131736526946	0.716535433070866	364	1020	53	0	1.50704890016229e-05	0.000629694853211032
"151"	151	"Elastic fibre formation"	41	41	1	0.024390243902439	41	41	40	0.975609756097561	0.307086614173228	156	212	21	0	0.000450417912820078	0.016687377291986
"152"	152	"Collagen formation"	86	86	2	0.0232558139534884	86	86	83	0.965116279069767	0.606299212598425	308	726	41	0	1.61810584314859e-05	0.000673944936798332
"153"	153	"Amino acid and oligopeptide SLC transporters"	49	49	1	0.0204081632653061	49	49	47	0.959183673469388	0.206692913385827	105	143	7	0	0.0011133604769521	0.0398923915102734
"154"	154	"Glycogen storage diseases"	257	257	5	0.0194552529182879	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"155"	155	"Metabolism of carbohydrates"	257	257	5	0.0194552529182879	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"156"	156	"Myoclonic epilepsy of Lafora"	257	257	5	0.0194552529182879	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"157"	157	"Transport of inorganic cations/anions and amino acids/oligopeptides"	94	94	1	0.0106382978723404	94	94	90	0.957446808510638	0.468503937007874	238	387	23	0	2.85166291771333e-05	0.00118395384213442
"158"	158	"Rho GTPase cycle"	121	121	1	0.00826446280991736	121	121	113	0.933884297520661	0.584645669291339	297	661	34	0	0.000179956308532514	0.00735468766943915
"159"	159	"Signaling by Rho GTPases"	121	121	1	0.00826446280991736	121	121	113	0.933884297520661	0.584645669291339	297	661	34	0	0.000179956308532514	0.00735468766943915
