"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	64	64	64	1	0.520710059171598	264	540	38	1	0	0
"Conjugation of benzoate with glycine"	"Conjugation of benzoate with glycine"	5	5	5	1	0.0591715976331361	30	32	11	3	0	0
"Conjugation of carboxylic acids"	"Conjugation of carboxylic acids"	8	8	8	1	0.0788954635108481	40	44	11	1	0	0
"Conjugation of phenylacetate with glutamine"	"Conjugation of phenylacetate with glutamine"	2	2	2	1	0.0335305719921105	17	18	11	7	0	0
"Conjugation of salicylate with glycine"	"Conjugation of salicylate with glycine"	7	7	7	1	0.0670611439842209	34	37	11	1	0	0
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	7	7	7	1	0.173570019723866	88	92	66	1	0	0
"Crosslinking of collagen fibrils"	"Crosslinking of collagen fibrils"	9	9	9	1	0.0571992110453649	29	34	7	1	0	0
"DNA Damage Recognition in GG-NER"	"DNA Damage Recognition in GG-NER"	2	2	2	1	0.00394477317554241	2	3	2	1	0	0
"DNA Damage Reversal"	"DNA Damage Reversal"	3	3	3	1	0.0177514792899408	9	9	4	2	0	0
"Degradation of GABA"	"Degradation of GABA"	2	2	2	1	0.0138067061143984	7	7	6	1	0	0
"Degradation of cysteine and homocysteine"	"Degradation of cysteine and homocysteine"	8	8	8	1	0.0276134122287968	14	15	5	1	0	0
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	12	12	12	1	0.108481262327416	55	68	16	1	0	0
"Dermatan sulfate biosynthesis"	"Dermatan sulfate biosynthesis"	11	11	11	1	0.136094674556213	69	82	26	1	0	0
"Dopamine receptors"	"Dopamine receptors"	5	5	5	1	0.0355029585798817	18	18	6	1	0	0
"ER Quality Control Compartment (ERQC)"	"ER Quality Control Compartment (ERQC)"	6	6	6	1	0.0433925049309665	22	23	8	2	0	0
"Eicosanoids"	"Eicosanoids"	12	12	12	1	0.102564102564103	52	55	8	2	0	0
"Electric Transmission Across Gap Junctions"	"Electric Transmission Across Gap Junctions"	5	5	5	1	0.0355029585798817	18	19	9	1	0	0
"Electron transport from NADPH to Ferredoxin"	"Electron transport from NADPH to Ferredoxin"	3	3	3	1	0.0138067061143984	7	7	3	2	0	0
"Elevation of cytosolic Ca2+ levels"	"Elevation of cytosolic Ca2+ levels"	9	9	9	1	0.108481262327416	55	62	18	2	0	0
"Establishment of Sister Chromatid Cohesion"	"Establishment of Sister Chromatid Cohesion"	11	11	11	1	0.0848126232741617	43	48	8	2	0	0
"FMO oxidises nucleophiles"	"FMO oxidises nucleophiles"	3	3	3	1	0.029585798816568	15	17	7	4	0	0
"FasL/ CD95L signaling"	"FasL/ CD95L signaling"	5	5	5	1	0.0986193293885602	50	51	42	1	0	0
"Fibronectin matrix formation"	"Fibronectin matrix formation"	6	6	6	1	0.0611439842209073	31	32	17	1	0	0
"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	5	5	5	1	0.0256410256410256	13	14	6	1	0	0
"Formation of annular gap junctions"	"Formation of annular gap junctions"	9	9	9	1	0.0670611439842209	34	38	10	1	0	0
"Formation of editosomes by ADAR proteins"	"Formation of editosomes by ADAR proteins"	2	2	2	1	0.0157790927021696	8	8	6	2	0	0
"Formation of the Editosome"	"Formation of the Editosome"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"Formation of the active cofactor, UDP-glucuronate"	"Formation of the active cofactor, UDP-glucuronate"	3	3	3	1	0.0177514792899408	9	9	5	2	0	0
"Fructose catabolism"	"Fructose catabolism"	2	2	2	1	0.0118343195266272	6	6	4	2	0	0
"GABA A receptor activation"	"GABA A receptor activation"	13	13	13	1	0.134122287968442	68	85	12	3	0	0
"GABA synthesis"	"GABA synthesis"	2	2	2	1	0.0138067061143984	7	7	5	2	0	0
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	7	1	0.110453648915187	56	62	13	5	0	0
"Gap junction degradation"	"Gap junction degradation"	10	10	10	1	0.0710059171597633	36	40	10	1	0	0
"Glycoprotein hormones"	"Glycoprotein hormones"	10	10	10	1	0.0355029585798817	18	18	2	1	0	0
"Glyoxylate metabolism"	"Glyoxylate metabolism"	5	5	5	1	0.029585798816568	15	15	8	1	0	0
"Golgi to ER Retrograde Transport"	"Golgi to ER Retrograde Transport"	10	10	10	1	0.0631163708086785	32	36	9	1	0	0
"HCN channels"	"HCN channels"	4	4	4	1	0.0631163708086785	32	33	21	1	0	0
"Highly sodium permeable acetylcholine nicotinic receptors"	"Highly sodium permeable acetylcholine nicotinic receptors"	7	7	7	1	0.0414201183431953	21	22	5	1	0	0
"Histidine catabolism"	"Histidine catabolism"	5	5	5	1	0.0256410256410256	13	14	5	1	0	0
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	4	1	0.0453648915187377	23	25	8	3	0	0
"Hydrolysis of LPE"	"Hydrolysis of LPE"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"Hydroxycarboxylic acid-binding receptors"	"Hydroxycarboxylic acid-binding receptors"	3	3	3	1	0.0216962524654832	11	11	5	3	0	0
"Hypusine synthesis from eIF5A-lysine"	"Hypusine synthesis from eIF5A-lysine"	4	4	4	1	0.00986193293885602	5	5	2	1	0	0
"Influenza Virus Induced Apoptosis"	"Influenza Virus Induced Apoptosis"	4	4	4	1	0.0256410256410256	13	13	9	1	0	0
"Inositol transporters"	"Inositol transporters"	7	7	7	1	0.0552268244575937	28	32	7	2	0	0
"Insulin effects increased synthesis of Xylulose-5-Phosphate"	"Insulin effects increased synthesis of Xylulose-5-Phosphate"	2	2	2	1	0.00986193293885602	5	5	4	1	0	0
"Interaction With Cumulus Cells"	"Interaction With Cumulus Cells"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Interaction With The Zona Pellucida"	"Interaction With The Zona Pellucida"	10	10	10	1	0.0769230769230769	39	42	7	1	0	0
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	3	3	3	1	0.0157790927021696	8	8	3	2	0	0
"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	10	10	10	1	0.100591715976331	51	57	14	1	0	0
"Laminin interactions"	"Laminin interactions"	23	23	23	1	0.32741617357002	166	225	36	2	0	0
"Lectin pathway of complement activation"	"Lectin pathway of complement activation"	6	6	6	1	0.029585798816568	15	17	6	1	0	0
"Leukotriene receptors"	"Leukotriene receptors"	5	5	5	1	0.0216962524654832	11	11	5	1	0	0
"Linoleic acid (LA) metabolism"	"Linoleic acid (LA) metabolism"	6	6	6	1	0.0138067061143984	7	7	2	1	0	0
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	5	5	5	1	0.177514792899408	90	103	66	1	0	0
"Lysosphingolipid and LPA receptors"	"Lysosphingolipid and LPA receptors"	9	9	9	1	0.0374753451676529	19	19	4	1	0	0
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Mitochondrial Uncoupling Proteins"	"Mitochondrial Uncoupling Proteins"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"Mitochondrial transcription initiation"	"Mitochondrial transcription initiation"	3	3	3	1	0.0138067061143984	7	7	4	1	0	0
"Molybdenum cofactor biosynthesis"	"Molybdenum cofactor biosynthesis"	6	6	6	1	0.019723865877712	10	10	3	1	0	0
"Multifunctional anion exchangers"	"Multifunctional anion exchangers"	6	6	6	1	0.0473372781065089	24	24	6	1	0	0
"N-Glycan antennae elongation"	"N-Glycan antennae elongation"	15	15	15	1	0.0670611439842209	34	40	6	1	0	0
"N-glycan antennae elongation in the medial/trans-Golgi"	"N-glycan antennae elongation in the medial/trans-Golgi"	20	20	20	1	0.0927021696252465	47	56	6	1	0	0
"N-glycan trimming and elongation in the cis-Golgi"	"N-glycan trimming and elongation in the cis-Golgi"	5	5	5	1	0.0157790927021696	8	8	2	1	0	0
"NADPH regeneration"	"NADPH regeneration"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"NFG and proNGF binds to p75NTR"	"NFG and proNGF binds to p75NTR"	3	3	3	1	0.0453648915187377	23	23	21	1	0	0
"NGF processing"	"NGF processing"	4	4	4	1	0.0256410256410256	13	15	10	1	0	0
"NICD traffics to nucleus"	"NICD traffics to nucleus"	13	13	13	1	0.256410256410256	130	155	66	1	0	0
"NOSIP mediated eNOS trafficking"	"NOSIP mediated eNOS trafficking"	2	2	2	1	0.0118343195266272	6	6	3	3	0	0
"Neurofascin interactions"	"Neurofascin interactions"	7	7	7	1	0.0749506903353057	38	43	9	2	0	0
"Notch-HLH transcription pathway"	"Notch-HLH transcription pathway"	13	13	13	1	0.256410256410256	130	155	66	1	0	0
"NrCAM interactions"	"NrCAM interactions"	7	7	7	1	0.0749506903353057	38	42	9	3	0	0
"Organic anion transport"	"Organic anion transport"	5	5	5	1	0.0276134122287968	14	18	5	2	0	0
"Organic anion transporters"	"Organic anion transporters"	8	8	8	1	0.0591715976331361	30	31	7	1	0	0
"PI and PC transport between ER and Golgi membranes"	"PI and PC transport between ER and Golgi membranes"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"PLC-mediated hydrolysis of PIP2"	"PLC-mediated hydrolysis of PIP2"	1	1	1	1	0.0157790927021696	8	8	8	8	0	0
"Peptide hormone biosynthesis"	"Peptide hormone biosynthesis"	12	12	12	1	0.0433925049309665	22	22	2	1	0	0
"Plasmalogen biosynthesis"	"Plasmalogen biosynthesis"	4	4	4	1	0.0276134122287968	14	15	4	3	0	0
"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	19	19	19	1	0.21301775147929	108	139	18	2	0	0
"Post-transcriptional silencing by small RNAs"	"Post-transcriptional silencing by small RNAs"	7	7	7	1	0.0887573964497041	45	50	10	4	0	0
"Potassium transport channels"	"Potassium transport channels"	3	3	3	1	0.0216962524654832	11	11	6	2	0	0
"Pregnenolone biosynthesis"	"Pregnenolone biosynthesis"	9	9	9	1	0.0236686390532544	12	15	3	1	0	0
"Processing of Intronless Pre-mRNAs"	"Processing of Intronless Pre-mRNAs"	14	14	14	1	0.0650887573964497	33	37	5	1	0	0
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2"	"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2"	3	3	3	1	0.00788954635108481	4	4	2	1	0	0
"Proton-coupled neutral amino acid transporters"	"Proton-coupled neutral amino acid transporters"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"Reactions specific to the complex N-glycan synthesis pathway"	"Reactions specific to the complex N-glycan synthesis pathway"	4	4	4	1	0.0256410256410256	13	13	5	2	0	0
"Reactions specific to the hybrid N-glycan synthesis pathway"	"Reactions specific to the hybrid N-glycan synthesis pathway"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	14	14	14	1	0.238658777120316	121	137	66	1	0	0
"Recycling of eIF2:GDP"	"Recycling of eIF2:GDP"	8	8	8	1	0.0374753451676529	19	21	5	1	0	0
"Reduction of cytosolic Ca++ levels"	"Reduction of cytosolic Ca++ levels"	10	10	10	1	0.128205128205128	65	77	15	4	0	0
"Regulation by TREX1"	"Regulation by TREX1"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Regulation of Commissural axon pathfinding by Slit and Robo"	"Regulation of Commissural axon pathfinding by Slit and Robo"	4	4	4	1	0.0907297830374754	46	51	23	4	0	0
"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"	5	5	5	1	0.0256410256410256	13	13	6	1	0	0
"Regulation of the Fanconi anemia pathway"	"Regulation of the Fanconi anemia pathway"	10	10	10	1	0.102564102564103	52	60	20	1	0	0
"Reuptake of GABA"	"Reuptake of GABA"	4	4	4	1	0.0236686390532544	12	12	4	2	0	0
"Reversal of Alkylation Damage By DNA Dioxygenases"	"Reversal of Alkylation Damage By DNA Dioxygenases"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"Serotonin and melatonin biosynthesis"	"Serotonin and melatonin biosynthesis"	5	5	5	1	0.0355029585798817	18	18	7	1	0	0
"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	5	5	5	1	0.0355029585798817	18	20	9	1	0	0
"Sodium/Calcium exchangers"	"Sodium/Calcium exchangers"	9	9	9	1	0.0828402366863905	42	46	15	1	0	0
"Sperm Motility And Taxes"	"Sperm Motility And Taxes"	9	9	9	1	0.0769230769230769	39	45	10	1	0	0
"Sterols are 12-hydroxylated by CYP8B1"	"Sterols are 12-hydroxylated by CYP8B1"	2	2	2	1	0.0236686390532544	12	12	7	5	0	0
"Sulfide oxidation to sulfate"	"Sulfide oxidation to sulfate"	5	5	5	1	0.019723865877712	10	10	5	1	0	0
"Synthesis of CL"	"Synthesis of CL"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Synthesis of IP2, IP, and Ins in the cytosol"	"Synthesis of IP2, IP, and Ins in the cytosol"	11	11	11	1	0.0946745562130177	48	50	11	1	0	0
"Synthesis of IPs in the ER lumen"	"Synthesis of IPs in the ER lumen"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Synthesis of PI"	"Synthesis of PI"	2	2	2	1	0.00591715976331361	3	3	2	1	0	0
"Synthesis of PIPs at the late endosome membrane"	"Synthesis of PIPs at the late endosome membrane"	10	10	10	1	0.0887573964497041	45	49	9	1	0	0
"Synthesis of PS"	"Synthesis of PS"	2	2	2	1	0.0138067061143984	7	7	5	2	0	0
"Synthesis of UDP-N-acetyl-glucosamine"	"Synthesis of UDP-N-acetyl-glucosamine"	5	5	5	1	0.0276134122287968	14	14	5	1	0	0
"Synthesis of dolichyl-phosphate-glucose"	"Synthesis of dolichyl-phosphate-glucose"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"TET1,2,3 and TDG demethylate DNA"	"TET1,2,3 and TDG demethylate DNA"	4	4	4	1	0.0394477317554241	20	22	7	3	0	0
"TRAIL  signaling"	"TRAIL  signaling"	7	7	7	1	0.100591715976331	51	53	42	1	0	0
"TWIK related potassium channel (TREK)"	"TWIK related potassium channel (TREK)"	3	3	3	1	0.0177514792899408	9	9	3	3	0	0
"TWIK-related alkaline pH activated K+ channel (TALK)"	"TWIK-related alkaline pH activated K+ channel (TALK)"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"TWIK-related spinal cord K+ channel (TRESK)"	"TWIK-related spinal cord K+ channel (TRESK)"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)"	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)"	3	3	3	1	0.00986193293885602	5	5	2	1	0	0
"Tandem pore domain halothane-inhibited K+ channel (THIK)"	"Tandem pore domain halothane-inhibited K+ channel (THIK)"	1	1	1	1	0.0157790927021696	8	8	8	8	0	0
"Terminal pathway of complement"	"Terminal pathway of complement"	7	7	7	1	0.108481262327416	55	65	18	1	0	0
"The AIM2 inflammasome"	"The AIM2 inflammasome"	3	3	3	1	0.00591715976331361	3	3	1	1	0	0
"The activation of arylsulfatases"	"The activation of arylsulfatases"	13	13	13	1	0.0631163708086785	32	36	6	1	0	0
"The fatty acid cycling model"	"The fatty acid cycling model"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"The proton buffering model"	"The proton buffering model"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"Toxicity of botulinum toxin type C (BoNT/C)"	"Toxicity of botulinum toxin type C (BoNT/C)"	3	3	3	1	0.0177514792899408	9	9	5	1	0	0
"Transfer of LPS from LBP carrier to CD14"	"Transfer of LPS from LBP carrier to CD14"	2	2	2	1	0.0118343195266272	6	7	6	1	0	0
"Translesion synthesis by HREV1"	"Translesion synthesis by HREV1"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Translesion synthesis by Pol eta"	"Translesion synthesis by Pol eta"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Transmission across Electrical Synapses"	"Transmission across Electrical Synapses"	5	5	5	1	0.0355029585798817	18	19	9	1	0	0
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	7	7	7	1	0.0256410256410256	13	15	3	1	0	0
"Type II Na+/Pi cotransporters"	"Type II Na+/Pi cotransporters"	3	3	3	1	0.019723865877712	10	11	5	3	0	0
"Vitamin D (calciferol) metabolism"	"Vitamin D (calciferol) metabolism"	7	7	7	1	0.16370808678501	83	90	36	1	0	0
"Vitamins"	"Vitamins"	6	6	6	1	0.0394477317554241	20	20	7	1	0	0
"binding of TCF/LEF:CTNNB1 to target gene promoters"	"binding of TCF/LEF:CTNNB1 to target gene promoters"	7	7	7	1	0.0473372781065089	24	24	6	1	0	0
"mRNA Editing"	"mRNA Editing"	4	4	4	1	0.0315581854043393	16	16	7	1	0	0
"mRNA Editing: A to I Conversion"	"mRNA Editing: A to I Conversion"	2	2	2	1	0.0157790927021696	8	8	6	2	0	0
"mRNA Editing: C to U Conversion"	"mRNA Editing: C to U Conversion"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	8	8	8	1	0.0374753451676529	19	20	3	1	0	0
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	6	6	6	1	0.0236686390532544	12	14	3	1	0	0
"p75NTR regulates axonogenesis"	"p75NTR regulates axonogenesis"	9	9	9	1	0.0710059171597633	36	39	9	1	0	0
"regulation of FZD by ubiquitination"	"regulation of FZD by ubiquitination"	21	21	21	1	0.134122287968442	68	87	14	1	0	0
"O-glycosylation of TSR domain-containing proteins"	"O-glycosylation of TSR domain-containing proteins"	39	39	38	0.974358974358974	0.380670611439842	193	318	29	0	0.000287820809768302	0.0119795750997062
"Defective B3GAT3 causes JDSSDHD"	"Defective B3GAT3 causes JDSSDHD"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"	"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective B4GALT7 causes EDS, progeroid type"	"Defective B4GALT7 causes EDS, progeroid type"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective CHST14 causes EDS, musculocontractural type"	"Defective CHST14 causes EDS, musculocontractural type"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective CHST3 causes SEDCJD"	"Defective CHST3 causes SEDCJD"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective CHST6 causes MCDC1"	"Defective CHST6 causes MCDC1"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective CHSY1 causes TPBS"	"Defective CHSY1 causes TPBS"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"	"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective EXT2 causes exostoses 2"	"Defective EXT2 causes exostoses 2"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Defective PAPSS2 causes SEMD-PA"	"Defective PAPSS2 causes SEMD-PA"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
