cytoband	9p21.3	8p23.2	4q35.2	11q23.1	2q22.1	7q36.1	18q23	19p13.3	1p13.2	2q36.2	9p24.1	5q11.2	13q12.11	Xp21.3	10p11.21	16q23.3	13q14.2	10q23.31	1p36.13	2q21.2	6p25.3	17q25.3	5q35.2	Xp11.3	3p12.2	14q32.32	14q11.2	9q34.3	3p14.2	4q22.1	4p15.31	19q13.43	11p15.4	18q21.2	15q15.1	7q31.1	3p24.1	16q12.1	10p15.3	9p13.1	
				IL18		SMARCD3	SALL3	GPX4	CASQ2	hsa-mir-548f-2			IL17D	hsa-mir-222			FOXO1		CORT						ZNF654	BDKRB2	DAD1				ADRA2C	ZNF135	RHOG		hsa-mir-211			CYLD	IL2RA	FOXD4L3	
				NCAM1		XRCC2	TIMM21	GZMM	CD2	hsa-mir-1302-4			MPHOSPH8	hsa-mir-548f-5			MLNR		DFFA						ARL13B	CALM1	FOXG1				ATP5I	ZNF154	ARNTL		hsa-mir-1268			GNAO1	IL15RA	IGFBPL1	
				NNMT		ZNF212	ZNF407	PALM	CD58	hsa-mir-2355			PSPC1	ABCB7			GTF2F2		EPHA2						CADM2	SERPINA6	GZMH				NKX3-2	UBE2M	ART1		hsa-mir-3118-6			GOT2	ITIH2	FOXD4L4	
				POU2AF1		ZNF282	CNDP2	POLR2E	FCGR1A	hsa-mir-3130-4			XPO4	NR0B1			GUCY1B2		ENO1						C3orf38	FOXN3	GZMB				BST1	ZNF264	ASCL2		hsa-mir-3118-4			KIFC3	PFKFB3	AQP7P1	
				PPP2R1B		CUL1	RBFA	POLRMT	FCGR1B	AAMP			MRP63	ALAS2			HTR2A		MTOR						VGLL3	CHGA	HNRNPC				CCKAR	TRIM28	CALCA		ACTC1			MMP2	PFKP	KGFLP1	
				PTS		ACCN3	PQLC1	PRTN3	FMO5	ACADL			TPTE2	AR			KPNA3		HTR6						LOC401074	CKB	MMP14				CD38	ZNF256	CALCB		ADAM10			MMP15	PRKCQ	FAM75A6	
				RDX		PDIA4	NETO1	PTBP1	GJA5	AGXT			N6AMT2	ARAF			LCP1		TNFRSF9						STX19	CRIP1	MYH6				CRMP1	ZNF211	CARS		ANXA2			MT1A	AKR1C3	MGC21881	
				SDHD		ABCF2	PARD6G	STK11	GJA8	ALPI			SKA3	ARR3			MAB21L1		MFAP2						LOC440970	CRIP2	MYH7				CTBP1	TRAPPC2P1	CCKBR		APBA2			MT1B	NET1	FAM74A1	
				ZBTB16		FASTK	CNDP1	MADCAM1	HMGCS2	ALPP			EFHA1	ATP7A			SMAD9		MTHFR						FLJ20518	DIO3	NEDD8				DGKQ	ZNF274	CD81		AQP9			MT1E	PITRM1	FAM74A4	
				ZNF259		ABCB8	FAM69C	PPAP2C	HSD3B1	ALPPL2			ZDHHC20	ATRX			NEK3		NBL1						FAM86DP	DYNC1H1	NFATC4				DHX15	ZNF460	CD151		B2M			MT1F	ZMYND11	ZNF658B	
				HTR3B		SSPO	CBLN2	MED16	HSD3B2	ATIC			PHF2P1	BCYRN1			PCDH8		NPPA						ZNF717	EIF5	NOVA1				DRD5	SLC27A5	CDKN1C		NBEAP1			MT1G	WDR37	LOC440896	
				ZW10		GIMAP2	FBXO15	FSTL3	IGSF3	KIF1A			ANKRD20A9P	CACNA1F			RB1		NPPB						FRG2C	ELK2AP	PNP				EVC	ZIM2	TPP1		BNIP2			MT1H	KIN	ANKRD20A3	
				RBM7		ZNF777	ZADH2	ABCA7	MOV10	BARD1			LINC00442	CDX4			RFC3		PAX7						MIR1324	EML1	NRL				FGFR3	ZNF324	CNGA4		BUB1B			MT1JP	DIP2C	ANKRD20A2	
				SIK2		TMEM176B	C18orf62	SBNO2	NGF	BCS1L			BASP1P1	CHM			RFXAP		PEX14						MIR4273	GALC	OXA1L				GAK	CHMP2A	COPB1		CAPN3			MT1M	LARP4B	AQP7P3	
				CADM1		REPIN1	LOC284276	HMHA1	NHLH2	BOK			ANKRD26P3	CLCN5			TPT1		PGD						MIR4795	BRF1	PCK2				GRK4	ZNF544	CTSD		CHRM5			MT1L	GTPBP4	LOC442421	
				REXO2		PRKAG2	LOC339298	SHC2	NOTCH2	CHRND			LINC00421	COX7B			TRPC4		PIK3CD							HSP90AA1	PRKD1				HTT	ZNF586	DRD4		CHRNA7			MT1X	CALML5	CBWD3	
				TIMM8B		NUB1	ATP9B	FGF22	NRAS	CHRNG			MIR4499	CYBB			TNFSF11		PLOD1							IFI27	PSMB5				HGFAC	ZNF416	DUSP8		CKMT1B			MT2A	ANKRD16	FAM27A	
				C11orf71		CHPF2	LOC400655	THEG	PDZK1	COL4A3				CYLC1			SUCLA2		EXOSC10							ITPK1	PSME1				HMX1	ZNF446	EIF4G2		CYP19A1			MT3	FAM208B	LOC572558	
				BTG4		GIMAP4	LOC400657	MIER2	PRKAB2	COL4A4				DDX3X			DLEU2		RSC1A1							JAG2	PSME2				IDUA	VN1R1	GTF2H1		DUT			PHKB	IDI2-AS1	PGM5P2	
				FAM55D		GIMAP5	HSBP1L1	RNF126	PTGFRN	COL6A3				DIAPH2			TSC22D1		SDHB							KLC1	RABGGTA				RBPJ	ZNF304	HBB		EPB42			POLR2C	SFMBT2	LOC642236	
				TTC12		TMEM176A	C18orf63	WDR18	SLC16A1	CPS1				DLG3			CCNA1		SLC2A5							MARK3	RNASE1				LETM1	USP29	HBBP1		FBN1			RBL2	ASB13	FAM75A2	
				C11orf57		ACTR3B	LOC100130522	LPPR3	SYCP1	CREB1				DMD			DCLK1		SRM							ATXN3	RNASE2				LRPAP1	ZSCAN18	HBD		FGF7			SALL1	TUBAL3	FAM75A4	
				TEX12		ZNF398	LOC100131655	OR4F17	TBX15	CRYBA2				EDA			ITM2B		TNFRSF1B							NDUFB1	RNASE3				MSX1	MGC2752	HBE1		GABPB1			CCL17	ITIH5	LOC642929	
				ARHGAP20		MLL3	LOC100505776	KISS1R	TSHB	CRYGA				EFNB1			MTRF1		ZBTB17							SERPINA5	RNASE4				MYL5	ZNF329	HBG1		GABRA5			CCL22	AKR1E2	LOC643648	
				USP28		GALNT11	LOC100505817	MIDN	WNT2B	CRYGB				ELK1			UTP14C		PRDM2							SERPINA1	RNASE6				PCDH7	ZNF419	HBG2		GABRB3			CX3CL1	TAF3	CBWD6	
				C11orf1		LRRC61		R3HDM4	CSDE1	CRYGC				FGD1			LPAR6		AKR7A2							SERPINA4	SALL2				PDE6B	ZNF552	HPX		GABRG3			SIAH1	FBXO18	FAM75A1	
				ALG9		ZNF767		C19orf6	HIST2H2AA3	CRYGD				GAGE1			SLC25A15		ALDH4A1							PPP2R5C	TEP1				PPP2R2C	ZNF671	HRAS		GALK2			SLC6A2	RBM17	FAM74A2	
				TMPRSS5		TMUB1		TPGS1	HIST2H2AC	CYP27A1				GAGE2C			LHFP		PER3							LGMN	TGM1				QDPR	ZNF606	IGF2		GANC			SLC12A3	IDI2	FOXD4L6	
				BCO2		KRBA1		GRIN3B	HIST2H2BE	DES				GAGE4			TRIM13		DHRS3							PSMC1	PABPN1				RGS12	ZBTB45	ILK		GATM			GPR56	UCN3	FOXD4L5	
				BUD13		C7orf29		C19orf21	HIST2H4A	DTYMK				GAGE5			MRPS31		VAMP3							MOK	AP1G2				RNF4	ZNF587	INS		GCHFR			N4BP1	LOC282980	LOC653501	
				DIXDC1		AGAP3		C2CD4C	TTF2	EEF1B2				GAGE6			DLEU1		H6PD							TNFAIP2	SLC7A7				S100P	ZNF551	IRF7		PDIA3			NUP93	LOC338588	KGFLP2	
				ZC3H12C		ZNF786		CIRBP-AS1	ITGA10	EPHA4				GAGE7			OLFM4		CROCC							TRAF3	CPNE6				SH3BP2	ZNF835	KCNC1		GTF2A2			HERPUD1	AKR1CL1	FAM75A3	
				FDXACB1		ASB10		C19orf26	PEX11B	ERBB4				GATA1			POSTN		MFN2							VRK1	TOX4				SOD3	ZIM3	KCNJ11		HDC			IRX5	TUBB8	FAM75A5	
				C11orf52		GIMAP8		ODF3L2	CD101	ACSL3				GJB1			SUGT1		ANGPTL7							WARS	REC8				WFS1	ZNF837	KCNQ1		ONECUT1			DNAJA2	tAKR	FAM74A3	
				APOA5		CRYGN		WASH5P	SEC22B	FN1				GK			LECT1		UBE4B							XRCC3	PARP2				WHSC1	ZNF543	LDHA		IPW			KATNB1	LINC00200	CNTNAP3B	
				C11orf93		ZNF425		FLJ45445	CHD1L	GBX2				CXCR3			WBP4		MAD2L2							YY1	DHRS2				WHSC2	C19orf18	LDHC		ITPKA			ZNF267	LOC399708	ANKRD20A4	
				PIH1D2		LOC155060		PRSS57	PDE4DIP	GPC1				LPAR4			AKAP11		PDPN							GPR68	EFS				ZNF141	ZNF418	LMO1		IVD			NUDT21	LOC399715	FOXD4L2	
				FAM55A		ZNF746		FAM138F	LRIG2	GPR1				GPR34			EXOSC8		MASP2							TCL1A	IRF9				SLBP	ZNF417	LSP1		LIPC			CNOT1	FLJ45983	LOC100132352	
				FAM55B		ATP6V0E2		FAM138A	RBM8A	GPR35				HSD17B10			FNDC3A		UTS2							GPR65	PRMT5				ACOX3	ZNF548	MUC2		LTK			ZNF423	C10orf108	FAM27C	
				LAYN		GALNTL5		MIR3187	TSPAN2	HDLBP				ERAS			KIAA0564		MST1P2							ADAM6	TM9SF1				CPZ	ZNF497	MUC6		MAP1A			RPGRIP1L	LOC439949	FAM95B1	
				ANKK1		GIMAP7		MIR4745	BCAS2	AGFG1				IGBP1			ZC3H13		MST1P9							DLK1	EDDM3A				NOP14	ZNF550	MYOD1		MEIS2			ARL2BP	ADARB2-AS1	FAM27B	
				LOC283143		ZNF467			WARS2	DNAJB2				IL2RG			SPG20		PADI2							CCNK	DHRS4				FAM193A	ZNF584	NAP1L4		MFAP1			ORC6	LOC100216001	LOC100133920	
				C11orf53		GIMAP1			PIAS3	HTR2B				KCND1			LRCH1		PARK7							MTA1	RIPK3				PROM1	ZSCAN4	NUCB2		TRPM1			TP53TG3	MIR3155A		
				C11orf34		C7orf33			POLR3C	IDH1				PRICKLE3			INTS6		CTRC							RPS6KA5	SUPT16H				LDB2	ZNF549	NUP98		MYO1E			DKFZP434H168	LOC100507034		
				C11orf87		FABP5P3			TXNIP	SP110				MAGEB1			CKAP2		CLSTN1							TRIP11	ACIN1				SLIT2	ZNF547	SLC22A18		MYO5A			TOX3	LOC100507127		
				C11orf92		ZNF775			AP4B1	IGFBP2				MAGEB2			NUFIP1		AKR7A3							BAG5	KHNYN				RAB28	ZIK1	SLC22A18AS		NDN			CCDC113	MIR3155B		
				C11orf88		LOC285972			PHTF1	IGFBP5				MAGEB3			NBEA		SPEN							C14orf2	SLC7A8				KIAA0232	ZNF776	PDE3B		NEDD4			C16orf80			
				MIR34B		ATG9B			WDR3	IHH				MAGEB4			PCDH17		KIAA0090							CDC42BPB	NGDN				WDR1	ZSCAN1	PIK3C2A		OCA2			BRD7			
				MIR34C		WDR86			MAN1A2	CXCR1				MAOA			C13orf15		KIF1B							TCL1B	LRP10				HS3ST1	ZSCAN22	POLR2L		PLCB2			PLLP			
				CLDN25		LOC401431			ADAM30	CXCR2				MAOB			MED4		PLEKHM2							KIAA0125	TINF2				FGFBP1	ZNF530	PSMA1		MAPK6			CES1P1			
				LOC100132078		GIMAP6			CD160	CXCR2P1				FOXO4			DNAJC15		KAZN							TECPR2	OR10G3				C4orf6	ZNF773	PSMD13		RAB27A			LPCAT2			
				LOC100288346		ZNF862			NBPF14	INHA				CITED1			ALG5		DNAJC16							GOLGA5	OR10G2				MFSD10	ZNF749	PTH		RAD51			HEATR3			
				MIR4301		ACTR3C			PTPN22	INPP5D				MSN			VPS36		UBR4							FBLN5	OR4E2				MAEA	ZNF324B	RNH1		RORA			SLC38A7			
				HSPB2-C11orf52		LOC728743			PHGDH	IRS1				NAP1L2			PHF11		ATP13A2							SIVA1	CIDEB				PCGF3	ZNF805	MRPL23		RYR3			OGFOD1			
				MIR4491		MIR671			RNF115	KCNJ13				NAP1L3			UFM1		TARDBP							CYP46A1	CHMP4A				SPON2	ZNF772	RPL27A		SCG5			DOK4			
						LOC100128822			BOLA1	MAP2				NDP			SOHLH2		PADI4							PAPOLA	STXBP6				TACC3	A1BG-AS1	RPLP2		SLC12A1			VPS35			
						LOC100131176			HAO2	MYL1				NONO			ENOX1		C1orf144							PTPN21	SLC39A2				SLC34A2	DUXA	RPS13		SNRPN			COQ9			
						ZNF783			ACP6	NCL				TBC1D25			RCBTB1		FBXO2							RCOR1	FAM158A				MXD4	LOC646862	RRM1		SORD			CIAPIN1			
						MIR3907			GPR89B	NDUFA10				OPHN1			NUDT15		FBXO6							PACS2	ZNF219				CPLX1	ZNF814	SAA1		SPINT1			ZNF319			
						LOC100505483			TRIM33	NDUFS1				OTC			KIAA1704		HSPB7							PPP1R13B	GMPR2				SLC26A1	MIMT1	SAA2		SRP14			NOD2			
						GIMAP1-GIMAP5			RSBN1	SEPT2				P2RY4			FAM48A		UBIAD1							DICER1	SLC22A17				PPARGC1A	LOC100128398	SAA3P		TCF12			PAPD5			
									GDAP2	NEU2				CDK16			THSD1		PADI1							FLRT2	HAUS4				SEL1L3	LOC100131691	SAA4		THBS1			AKTIP			
									FAM46C	NPPC				CFP			CYSLTR2		SLC45A1							KIF26A	C14orf119				MAN2B2	PEG3-AS1	SCT		TJP1			GINS3			
									ST7L	PAX3				PFKFB1			SPRYD7		CELA2B							C14orf109	RNF31				FBXL5	ZNF587B	SMPD1		TP53BP1			NDRG4			
									SLC22A15	PDCD1				PGK1			COG6		MRTO4							TCL6	RBM23				D4S234E	MIR4754	TRIM21		TYRO3			FTO			
									CTTNBP2NL	PDE6D				PHKA1			NAA16		PADI3							PRO1768	C14orf167				FAM184B		ST5		UBE3A			IRX6			
									OLFML3	SERPINE2				PIN4			RNASEH2B		ERRFI1							GPR132	G2E3				GPR78		STIM1		MKRN3			IRX3			
									FAM91A2	PPP1R7				PLP2			DHRS12		FBXO42							SERPINA10	OSGEP				ZCCHC4		ABCC8		SLC30A4			C16orf57			
									DCLRE1B	PSMD1				POU3F4			KIAA0226L		RNF186							GLRX5	ARHGEF40				ANAPC4		TAF10		PAR5			SHCBP1			
									VTCN1	PTH2R				PRRG1			PROSER1		FBLIM1							EVL	METTL3				LAP3		TALDO1		EIF3J			SETD6			
									SIKE1	PTMA				RBM3			CDADC1		PQLC2							C14orf129	LTB4R2				SEPSECS		TEAD1		JMJD7-PLA2G4B			FAM192A			
									TRIM45	PTPRN				RP2			CAB39L		CASZ1							CINP	SDR39U1				STX18		TH		SNAP23			CHD9			
									VANGL1	SNORD20				RPGR			CCDC70		TMEM51							ASB2	RPGRIP1				FGFRL1		TSPAN4		ALDH1A2			ITFG1			
									REG4	RPE				RPS4X			COG3		ARHGEF10L							CPSF2	NDRG2				CYTL1		TNNI2		HERC2			NETO2			
									POLR3GL	RPL37A				SH3BGRL			SETDB2		VPS13D							KCNK10	NYNRIN				SH3TC1		TNNT3		SNURF			LONP2			
									ATP1A1OS	SAG				SLC16A2			KBTBD7		NBPF1							CDCA4	HOMEZ				PIGG		TPH1		USP8			NLRC5			
									ZNF697	CCL20				SSX1			EBPL		NECAP2							C14orf102	CHD8				DCAF16		TRPC2		CCNB2			CCDC135			
									GNRHR2	SLC4A3				SSX2			KBTBD6		RCC2							ATG2B	CCNB1IP1				LGI2		TSG101		SLC28A2			CAPNS2			
									MAB21L3	SLC11A1				SSX5			STARD13		CTNNBIP1							UBR7	C14orf93				TBC1D19		PHLDA2		CCPG1			MT4			
									HIST2H3C	SP100				SSX4			EPSTI1		AGTRAP							MEG3	ABHD4				PI4K2B		TUB		GCNT3			GPT2			
									LIX1L	SPP2				SUV39H1			ARL11		PTCHD2							SMEK1	EDDM3B				CNO		WEE1		COPS2			ABCC11			
									HSD3BP4	TNP1				SYN1			WDFY2		MIIP							BTBD7	CDH24				STK32B		ZNF143		TGM5			NKD1			
									SYT6	TNS1				SYP			LINC00284		CELA2A							TDP1	METTL17				LYAR		ZNF195		PIGB			RSPRY1			
									HFE2	TUBA4A				TAF1			CSNK1A1L		NMNAT1							ZNF839	IL25				SLC2A9		ZNF214		PPIP5K1			MYLK3			
									ANKRD35	VIL1				DYNLT3			PRR20A		PRAMEF1							SPATA7	THTPA				TBC1D14		ZNF215		AQR			CCDC102A			
									DENND2C	WNT6				TFE3			FAM216B		PRAMEF2							KCNK13	OR4K5				SORCS2		RASSF7		SECISBP2L			ABCC12			
									PPIAL4A	XRCC5				TIMP1			LACC1		EFHD2							C14orf132	OR11H2				CC2D2A		CSRP3		ARHGAP11A			C16orf78			
									PDIA3P	ZNF142				TSPAN7			LINC00330		RSG1							DDX24	OR4K1				STIM2		PPFIBP2		LCMT2			ANKRD26P1			
									NBPF11	FZD5				TRO			HNRNPA1L2		AGMAT							UNC79	IPO4				KIAA1530		IFITM1		SLC12A6			SNX20			
									NUDT17	SCG2				UBA1			ST13P4		GPR157							BEGAIN	DCAF11				ZFYVE28		OR6A2		BCL2L10			LOC146481			
									SPAG17	CUL3				SLC35A2			DGKH		SPSB1							PPP4R4	OR4K15				GBA3		DCHS1		RASGRP1			CPNE2			
									HIPK1	DGKD				KDM6A			CCDC122		TAS1R2							MOAP1	JPH4				AFAP1		EIF3F		SERF2			GPR114			
									AKR7A2P1	STK16				WAS			STOML3		ACTL8							DIO3OS	RNASE7				NCAPG		BRSK2		GNB5			PRSS54			
									MAGI3	KLF7				XIST			FAM194B		SLC25A33							INF2	RAB2B				TNIP2		MICAL2		ARPP19			CES5A			
									FAM19A3	ADAM23				XK			SPERT		DDI2							BCL11B	AJUBA				HAUS3		CTR9		SLC27A2			GPR97			
									NBPF15	PER2				ZNF711			DLEU7		LZIC							OTUB2	ZFHX2				ABCA11P		TRIM66		GPR176			CNEP1R1			
									ANKRD34A	CDK5R2				ZNF182			FAM124A		CROCCP2							ZFYVE21	RPPH1				GRPEL1		TSPAN32		CHP			LOC283856			
									HIST2H2AB	RQCD1				ZNF41			TPTE2P3		IGSF21							MEG8	LRRC16B				MED28		TSSC4		OIP5			LOC283914			
									PPM1J	LRRFIP1				ZNF157			CTAGE10P		KIAA2013							WDR25	PPP1R3E				KCNIP4		USH1C		BAHD1			MT1DP			
									HIST2H3A	GPR55				ZXDA			SLC25A30		C1orf158							LINC00341	TMEM55B				FGFBP2		MRVI1		FAN1			TEPP			
									HIST2H2BC	TRIP12				USP11			SUGT1P3		FBXO44							CLMN	TTC5				MFSD7		TRIM22		CEP152			SLC6A10P			
									HIST2H2BA	ECEL1				USP9X			SIAH3		CROCCP3							CATSPERB	DHRS1				TMEM175		IFITM3		MAPKBP1			C16orf87			
									NBPF7	EIF4E2				RBM10			KCNRG		FHAD1							ZC3H14	CMTM5				ABLIM2		SPON1		GOLGA8A			LOC388276			
									LOC375010	TTLL4				KDM5C			LINC00282		RBP7							RIN3	RNASE11				AFAP1-AS1		DEAF1		RTF1			LOC390705			
									NOTCH2NL	HDAC4				SMC1A			FREM2		LRRC38							C14orf159	TPPP2				TMEM128		IPO7		CYFIP1			CES1P2			
									FLJ39739	FARP2				SRPX			NEK5		AADACL3							TMEM121	RNASE8				ZNF518B		IFITM2		MGA			FLJ26245			
									LOC388692	FARSB				UXT			THSD1P1		IFFO2							AMN	MRPL52				CCDC149		TRIM3		DMXL2			MIR138-2			
									NBPF9	ABCB6				OGT			KCTD4		KLHDC7A							IFI27L2	PSMB11				C4orf42		OR7E14P		VPS39			HERC2P4			
									BCL2L15	ARPC2				INE1			NHLRC3		ARHGEF19							SETD3	OR4K14				TMEM129		OR7E12P		FAM189A1			UBE2MP1			
									HIST2H2BF	ARL4C				CASK			SERP2		C1orf127							APOPT1	OR4L1				MRFAP1		LYVE1		AP4E1			LOC643714			
									HIST2H4B	RAMP1				PAGE1			SERTM1		C1orf64							HHIPL1	OR11H6				LOC93622		C11orf58		CCNDBP1			LOC643802			
									LOC643441	SPEG				FGF16			LINC00547		SLC2A7							C14orf142	KLHL33				TADA2B		KCNQ1OT1		EID1			CRNDE			
									LOC644242	LANCL1				AKAP4			LINC00548		TMEM201							FAM181A	MDP1				HTRA3		PKP3		C15orf2			MT1IP			
									PPIAL4G	NMUR1				RGN			MIR15A		C1orf126							BTBD6	FITM1				C1QTNF7		HPS5		C15orf63			LOC644649			
									PPIAL4D	STK25				ZMYM3			MIR16-1		AKR7L							EFCAB11	REM2				MRFAP1L1		RRAS2		TMEM87A			LINC00273			
									LOC645166	COPS8				BMP15			ALG11		TMCO4							EXOC3L4	C14orf21				CLNK		SWAP70		RPAP1			TP53TG3C			
									EMBP1	CAPN10				MED14			TSC22D1-AS1		SLC25A34							WDR20	ADCY4				CPEB2		DENND5A		DKFZP434L187			SNORA46			
									SRGAP2P2	SP140				TSIX			TTL		ESPNP							AHNAK2	LOC283624				EVC2		RRP8		PYGO1			SNORA50			
									PPIAL4B	IKZF2				ITM2A			SERPINE3		AADACL4							TRMT61A	TSSK4				PACRGL		SIRT3		PLDN			LOC729264			
									LOC653513	FASTKD2				MAGED1			SNORA31		PRAMEF5							TDRD9	DHRS4L2				OTOP1		OR52A1		GREM1			TP53TG3B			
									GPR89A	PASK				XAGE2			MIR621		HNRNPCL1							ANKRD9	SNORD8				ZNF595		ARFIP2		FOXB1			LOC100130700			
									PPIAL4C	ATG4B				XAGE1D			CCDC169		PRAMEF9							AK7	RNASE10				LOC152742		SERGEF		RPUSD2			MIR3935			
