Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-BA-4074-01A-01D-1432-01	13	38824549	114987458	44506	0.000000
TCGA-BA-4074-01A-01D-1432-01	14	20501368	105988038	49467	0.000000
TCGA-BA-4074-01A-01D-1432-01	15	23687685	24850305	486	0.000000
TCGA-BA-4074-01A-01D-1432-01	15	24850702	24901966	33	0.470489
TCGA-BA-4074-01A-01D-1432-01	15	24905646	27087604	1442	0.000000
TCGA-BA-4074-01A-01D-1432-01	15	27089067	28462896	714	0.403295
TCGA-BA-4074-01A-01D-1432-01	15	28463472	77598664	27588	0.000000
TCGA-BA-4074-01A-01D-1432-01	15	77599597	77682858	32	-1.027075
TCGA-BA-4074-01A-01D-1432-01	15	77690116	92493874	8512	0.000000
TCGA-BA-4074-01A-01D-1432-01	15	92501072	92581615	79	-1.157178
TCGA-BA-4074-01A-01D-1432-01	15	92583187	101884307	5662	0.000000
TCGA-BA-4074-01A-01D-1432-01	16	653459	89379936	40811	0.000000
TCGA-BA-4074-01A-01D-1432-01	17	987221	80917016	36997	0.000000
TCGA-BA-4074-01A-01D-1432-01	18	329586	7600227	3781	0.000000
TCGA-BA-4074-01A-01D-1432-01	18	7602103	14648457	4434	-0.469021
TCGA-BA-4074-01A-01D-1432-01	18	14653028	18723636	13	0.000000
TCGA-BA-4074-01A-01D-1432-01	18	18727169	18925921	88	0.470369
TCGA-BA-4074-01A-01D-1432-01	18	18926318	19351161	153	0.000000
TCGA-BA-4074-01A-01D-1432-01	18	19351344	19800029	228	0.387284
TCGA-BA-4074-01A-01D-1432-01	18	19800151	19824829	16	1.262574
TCGA-BA-4074-01A-01D-1432-01	18	19826723	20658245	463	2.227434
TCGA-BA-4074-01A-01D-1432-01	18	20662282	23100817	1602	1.439376
TCGA-BA-4074-01A-01D-1432-01	18	23105225	25482787	1564	0.585178
TCGA-BA-4074-01A-01D-1432-01	18	25487420	77107934	30338	0.000000
TCGA-BA-4074-01A-01D-1432-01	19	284018	58878226	23957	0.000000
TCGA-BA-4074-01A-01D-1432-01	20	455764	62219837	37299	0.000000
TCGA-BA-4074-01A-01D-1432-01	21	15347621	47678774	20591	0.000000
TCGA-BA-4074-01A-01D-1432-01	22	17423930	49331012	16937	0.000000
TCGA-BA-4074-01A-01D-1432-01	X	3157107	141773327	57895	0.000000
TCGA-BA-4074-01A-01D-1432-01	X	141773893	142543608	358	-0.159834
TCGA-BA-4074-01A-01D-1432-01	X	142544589	154905589	5560	0.000000
TCGA-BA-4075-01A-01D-1432-01	1	3218610	43287001	21172	0.000000
TCGA-BA-4075-01A-01D-1432-01	1	43290176	43471613	141	0.512285
TCGA-BA-4075-01A-01D-1432-01	1	43474545	54222571	5506	0.000000
TCGA-BA-4075-01A-01D-1432-01	1	54222732	54396406	91	-0.743555
TCGA-BA-4075-01A-01D-1432-01	1	54397071	64125072	6911	0.000000
TCGA-BA-4075-01A-01D-1432-01	1	64125234	64126450	6	-1.087989
TCGA-BA-4075-01A-01D-1432-01	1	64127004	177710814	50999	0.000000
TCGA-BA-4075-01A-01D-1432-01	1	177717567	219742744	26721	0.154004
TCGA-BA-4075-01A-01D-1432-01	1	219742768	219748818	7	-0.847359
TCGA-BA-4075-01A-01D-1432-01	1	219751221	247813706	17643	0.151884
TCGA-BA-4075-01A-01D-1432-01	2	484222	15297412	9279	0.000000
TCGA-BA-4075-01A-01D-1432-01	2	15299363	15306710	9	-0.809987
TCGA-BA-4075-01A-01D-1432-01	2	15307038	190390768	91870	0.000000
TCGA-BA-4075-01A-01D-1432-01	2	190393351	191229803	513	0.766082
TCGA-BA-4075-01A-01D-1432-01	2	191231458	191253588	13	1.637280
TCGA-BA-4075-01A-01D-1432-01	2	191255883	191672930	220	3.115302
TCGA-BA-4075-01A-01D-1432-01	2	191673290	192641709	654	2.120289
TCGA-BA-4075-01A-01D-1432-01	2	192645629	195123998	955	-0.170295
TCGA-BA-4075-01A-01D-1432-01	2	195126370	195136304	9	0.867637
TCGA-BA-4075-01A-01D-1432-01	2	195138406	223936781	16803	-0.175249
TCGA-BA-4075-01A-01D-1432-01	2	223936899	224030230	70	-0.794079
TCGA-BA-4075-01A-01D-1432-01	2	224033573	242476062	10953	-0.175249
TCGA-BA-4075-01A-01D-1432-01	3	2212571	134821273	74334	0.000000
TCGA-BA-4075-01A-01D-1432-01	3	134824225	134860100	23	1.184319
TCGA-BA-4075-01A-01D-1432-01	3	134860822	174099504	20101	0.000000
TCGA-BA-4075-01A-01D-1432-01	3	174100408	174108695	9	-0.381677
TCGA-BA-4075-01A-01D-1432-01	3	174114128	197538677	11954	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	1053934	1832728	245	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	1834422	1885565	16	-0.589786
TCGA-BA-4075-01A-01D-1432-01	4	1887071	7034028	2963	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	7038349	7140918	70	0.440708
TCGA-BA-4075-01A-01D-1432-01	4	7142970	21515317	9343	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	21515807	21575225	58	-0.946660
TCGA-BA-4075-01A-01D-1432-01	4	21580435	106657418	45735	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	106658098	106755996	49	-0.587669
TCGA-BA-4075-01A-01D-1432-01	4	106758614	108891280	1180	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	108891445	108975595	61	-0.623001
TCGA-BA-4075-01A-01D-1432-01	4	108975912	108991375	13	-0.979548
TCGA-BA-4075-01A-01D-1432-01	4	108991836	113256962	2446	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	113261668	113332296	53	-0.687991
TCGA-BA-4075-01A-01D-1432-01	4	113337560	122232386	5148	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	122233970	122238324	7	-0.819243
TCGA-BA-4075-01A-01D-1432-01	4	122241609	129767172	3999	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	129937878	130041532	42	-0.625714
TCGA-BA-4075-01A-01D-1432-01	4	130041895	149154915	10311	0.000000
TCGA-BA-4075-01A-01D-1432-01	4	149155218	149157085	5	-0.961971
TCGA-BA-4075-01A-01D-1432-01	4	149170058	188762240	21038	0.000000
TCGA-BA-4075-01A-01D-1432-01	5	914233	60239411	32259	0.000000
TCGA-BA-4075-01A-01D-1432-01	5	60281975	60442913	76	-0.596704
TCGA-BA-4075-01A-01D-1432-01	5	60446071	67452950	3988	0.000000
TCGA-BA-4075-01A-01D-1432-01	5	67453288	67464499	8	-0.658170
TCGA-BA-4075-01A-01D-1432-01	5	67465803	105810994	19102	0.000000
TCGA-BA-4075-01A-01D-1432-01	5	105813197	105823634	9	-0.713540
TCGA-BA-4075-01A-01D-1432-01	5	105828667	112141290	3900	0.000000
TCGA-BA-4075-01A-01D-1432-01	5	112141492	112141853	7	1.382055
TCGA-BA-4075-01A-01D-1432-01	5	112142099	180360469	41199	0.000000
TCGA-BA-4075-01A-01D-1432-01	6	1014281	15555357	10259	0.000000
TCGA-BA-4075-01A-01D-1432-01	6	15555426	15568515	7	-0.247396
TCGA-BA-4075-01A-01D-1432-01	6	15570180	63218367	24040	0.000000
TCGA-BA-4075-01A-01D-1432-01	6	63219021	65292620	1023	0.662955
TCGA-BA-4075-01A-01D-1432-01	6	65295066	66147670	431	0.000000
TCGA-BA-4075-01A-01D-1432-01	6	66157091	67523815	809	0.729705
TCGA-BA-4075-01A-01D-1432-01	6	67524758	67567885	34	1.649116
TCGA-BA-4075-01A-01D-1432-01	6	67568118	68121264	401	0.729705
TCGA-BA-4075-01A-01D-1432-01	6	68125706	69383809	649	2.021770
TCGA-BA-4075-01A-01D-1432-01	6	69384396	69488409	70	1.313326
TCGA-BA-4075-01A-01D-1432-01	6	69489493	69826699	224	2.293051
TCGA-BA-4075-01A-01D-1432-01	6	69830694	170903919	58585	0.000000
TCGA-BA-4075-01A-01D-1432-01	7	705284	3005180	733	0.000000
TCGA-BA-4075-01A-01D-1432-01	7	3005573	3033865	19	1.243425
TCGA-BA-4075-01A-01D-1432-01	7	3034038	158385118	80603	0.000000
TCGA-BA-4075-01A-01D-1432-01	8	617667	28835774	16789	0.000000
TCGA-BA-4075-01A-01D-1432-01	8	28836547	29013879	81	-0.570114
TCGA-BA-4075-01A-01D-1432-01	8	29015398	35729585	4017	0.000000
TCGA-BA-4075-01A-01D-1432-01	8	35732519	42922990	3878	0.521817
TCGA-BA-4075-01A-01D-1432-01	8	42923417	141059415	55941	0.000000
TCGA-BA-4075-01A-01D-1432-01	8	141059823	145232496	870	0.122049
TCGA-BA-4075-01A-01D-1432-01	9	789932	7580951	4053	0.000000
TCGA-BA-4075-01A-01D-1432-01	9	7582441	7589134	6	-1.187502
TCGA-BA-4075-01A-01D-1432-01	9	7591099	9744830	1409	0.000000
TCGA-BA-4075-01A-01D-1432-01	9	9745020	9985544	84	-0.388840
TCGA-BA-4075-01A-01D-1432-01	9	9986152	109298040	42870	0.000000
TCGA-BA-4075-01A-01D-1432-01	9	109298615	119675769	7436	0.200156
TCGA-BA-4075-01A-01D-1432-01	9	119677255	119678393	5	-1.259216
TCGA-BA-4075-01A-01D-1432-01	9	119678532	140489637	11996	0.332588
TCGA-BA-4075-01A-01D-1432-01	9	140493694	140938752	188	1.416266
TCGA-BA-4075-01A-01D-1432-01	10	415240	25110146	17290	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	25112934	25293369	119	-0.465383
TCGA-BA-4075-01A-01D-1432-01	10	25297572	38334341	8487	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	38335831	38938661	195	0.729998
TCGA-BA-4075-01A-01D-1432-01	10	38944201	53544396	4219	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	53545133	53715297	128	-0.615082
TCGA-BA-4075-01A-01D-1432-01	10	53721176	76222728	13156	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	76222754	76310345	44	-0.564266
TCGA-BA-4075-01A-01D-1432-01	10	76315562	112862435	22600	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	112865343	112927400	59	0.522755
TCGA-BA-4075-01A-01D-1432-01	10	112928036	118637396	4023	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	118640521	119090485	255	0.618789
TCGA-BA-4075-01A-01D-1432-01	10	119093448	120773404	1204	0.000000
TCGA-BA-4075-01A-01D-1432-01	10	120782055	121159610	234	0.661611
TCGA-BA-4075-01A-01D-1432-01	10	121163488	135225087	8892	0.000000
TCGA-BA-4075-01A-01D-1432-01	11	456120	17621068	10593	0.160505
TCGA-BA-4075-01A-01D-1432-01	11	17625278	17633310	7	-1.072191
TCGA-BA-4075-01A-01D-1432-01	11	17659006	36126433	12411	0.161659
TCGA-BA-4075-01A-01D-1432-01	11	36126578	36215023	87	-1.032187
TCGA-BA-4075-01A-01D-1432-01	11	36217515	69304513	13282	0.187855
TCGA-BA-4075-01A-01D-1432-01	11	69307444	69849434	278	3.399937
TCGA-BA-4075-01A-01D-1432-01	11	69852240	69923299	45	0.187855
TCGA-BA-4075-01A-01D-1432-01	11	69932450	72043141	1111	3.389068
TCGA-BA-4075-01A-01D-1432-01	11	72048407	78010830	3120	0.187855
TCGA-BA-4075-01A-01D-1432-01	11	78014368	96043720	11183	-0.197249
TCGA-BA-4075-01A-01D-1432-01	11	96044150	96058245	11	0.140719
TCGA-BA-4075-01A-01D-1432-01	11	96058442	96176754	52	0.936038
TCGA-BA-4075-01A-01D-1432-01	11	96180609	98439931	1222	0.140719
TCGA-BA-4075-01A-01D-1432-01	11	98440250	98492694	40	0.000000
TCGA-BA-4075-01A-01D-1432-01	11	98495905	102625598	2917	3.450751
TCGA-BA-4075-01A-01D-1432-01	11	102629432	106470839	2222	0.597535
TCGA-BA-4075-01A-01D-1432-01	11	106471674	132625614	18073	0.000000
TCGA-BA-4075-01A-01D-1432-01	11	132625666	132728922	81	1.114408
TCGA-BA-4075-01A-01D-1432-01	11	132729167	134140152	539	0.486189
TCGA-BA-4075-01A-01D-1432-01	12	889902	133161346	73975	0.000000
TCGA-BA-4075-01A-01D-1432-01	13	19450806	31208599	7001	0.000000
TCGA-BA-4075-01A-01D-1432-01	13	31209081	31238207	21	0.675416
TCGA-BA-4075-01A-01D-1432-01	13	31238546	63612643	18639	0.000000
TCGA-BA-4075-01A-01D-1432-01	13	63621172	63669832	24	0.573372
TCGA-BA-4075-01A-01D-1432-01	13	63719496	114987458	30984	0.000000
TCGA-BA-4075-01A-01D-1432-01	14	20501368	25714629	2254	-0.177018
TCGA-BA-4075-01A-01D-1432-01	14	25717572	101548083	45405	0.000000
TCGA-BA-4075-01A-01D-1432-01	14	101548701	105988038	1808	0.115871
TCGA-BA-4075-01A-01D-1432-01	15	23687685	77108874	30099	0.000000
TCGA-BA-4075-01A-01D-1432-01	15	77110335	101884307	14449	0.531837
TCGA-BA-4075-01A-01D-1432-01	16	653459	12365139	6358	0.000000
TCGA-BA-4075-01A-01D-1432-01	16	12366734	12388213	22	-1.292893
TCGA-BA-4075-01A-01D-1432-01	16	12390217	80775294	29255	0.000000
TCGA-BA-4075-01A-01D-1432-01	16	80775670	81036324	177	0.671262
TCGA-BA-4075-01A-01D-1432-01	16	81036444	89379936	4999	0.000000
TCGA-BA-4075-01A-01D-1432-01	17	987221	20462736	9327	0.000000
TCGA-BA-4075-01A-01D-1432-01	17	20463174	25282105	318	-0.333684
TCGA-BA-4075-01A-01D-1432-01	17	25287061	61150419	17204	0.000000
TCGA-BA-4075-01A-01D-1432-01	17	61152802	61372811	94	-0.529079
TCGA-BA-4075-01A-01D-1432-01	17	61376443	80917016	10054	0.000000
TCGA-BA-4075-01A-01D-1432-01	18	329586	21611716	9719	0.000000
TCGA-BA-4075-01A-01D-1432-01	18	21612882	21950412	242	0.313537
TCGA-BA-4075-01A-01D-1432-01	18	21954676	22044400	61	1.094587
TCGA-BA-4075-01A-01D-1432-01	18	22045833	22169424	119	1.317929
TCGA-BA-4075-01A-01D-1432-01	18	22169993	22304032	102	0.313537
TCGA-BA-4075-01A-01D-1432-01	18	22305743	27826177	3386	0.000000
TCGA-BA-4075-01A-01D-1432-01	18	27832666	29638662	1137	0.360676
TCGA-BA-4075-01A-01D-1432-01	18	29649955	32743727	1942	0.000000
TCGA-BA-4075-01A-01D-1432-01	18	32744127	33061440	153	0.306332
TCGA-BA-4075-01A-01D-1432-01	18	33063661	75629528	25031	0.000000
TCGA-BA-4075-01A-01D-1432-01	18	75629823	75632555	5	-0.390073
TCGA-BA-4075-01A-01D-1432-01	18	75633791	77107934	783	0.000000
TCGA-BA-4075-01A-01D-1432-01	19	284018	7150615	1934	0.000000
TCGA-BA-4075-01A-01D-1432-01	19	7151777	7163065	5	-1.146712
TCGA-BA-4075-01A-01D-1432-01	19	7163154	31520141	9509	0.000000
TCGA-BA-4075-01A-01D-1432-01	19	31523095	31798612	193	-0.683582
TCGA-BA-4075-01A-01D-1432-01	19	31800220	58878226	12316	0.000000
TCGA-BA-4075-01A-01D-1432-01	20	455764	6150637	3384	0.000000
TCGA-BA-4075-01A-01D-1432-01	20	6152867	7306965	786	0.204116
TCGA-BA-4075-01A-01D-1432-01	20	7308538	13424744	4183	0.000000
TCGA-BA-4075-01A-01D-1432-01	20	13431697	13547830	66	-0.418692
TCGA-BA-4075-01A-01D-1432-01	20	13550161	59644781	27648	0.000000
TCGA-BA-4075-01A-01D-1432-01	20	59646509	60377988	540	0.281479
TCGA-BA-4075-01A-01D-1432-01	20	60378319	60582659	105	1.005931
TCGA-BA-4075-01A-01D-1432-01	20	60582767	62219837	587	0.281479
TCGA-BA-4075-01A-01D-1432-01	21	15347621	30693627	9766	0.000000
TCGA-BA-4075-01A-01D-1432-01	21	30696185	30992778	194	-1.083936
TCGA-BA-4075-01A-01D-1432-01	21	30994691	47678774	10631	0.000000
TCGA-BA-4075-01A-01D-1432-01	22	17423930	49331012	16937	0.000000
TCGA-BA-4075-01A-01D-1432-01	X	3157107	38391867	15686	0.000000
TCGA-BA-4075-01A-01D-1432-01	X	38392440	38402501	15	0.205069
TCGA-BA-4075-01A-01D-1432-01	X	38402646	38405024	5	-1.292893
TCGA-BA-4075-01A-01D-1432-01	X	38405617	92966533	19982	0.000000
TCGA-BA-4075-01A-01D-1432-01	X	92966638	92968004	5	-1.292893
TCGA-BA-4075-01A-01D-1432-01	X	92973000	154905589	28120	0.000000
TCGA-BA-4076-01A-01D-1432-01	1	3218610	112815880	63108	0.000000
TCGA-BA-4076-01A-01D-1432-01	1	112816211	120523902	4720	-0.803845
TCGA-BA-4076-01A-01D-1432-01	1	120523955	247813706	61369	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	484222	53561575	31349	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	53563253	53574186	7	-0.852893
TCGA-BA-4076-01A-01D-1432-01	2	53577430	89130753	18979	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	95341700	131211711	17926	0.739423
TCGA-BA-4076-01A-01D-1432-01	2	131486199	141169179	4768	-0.800528
TCGA-BA-4076-01A-01D-1432-01	2	141171980	141287284	70	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	141287317	141334737	34	0.616411
TCGA-BA-4076-01A-01D-1432-01	2	141340626	141396588	42	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	141398828	142771707	953	-0.769282
TCGA-BA-4076-01A-01D-1432-01	2	142780688	142856784	54	-1.279202
TCGA-BA-4076-01A-01D-1432-01	2	142859678	159573839	9453	-0.769282
TCGA-BA-4076-01A-01D-1432-01	2	159574020	159577307	6	-1.281008
TCGA-BA-4076-01A-01D-1432-01	2	159577339	170248818	6329	-0.769282
TCGA-BA-4076-01A-01D-1432-01	2	170249802	170609286	201	0.000000
TCGA-BA-4076-01A-01D-1432-01	2	170611965	180237874	5975	0.777586
TCGA-BA-4076-01A-01D-1432-01	2	180241937	242476062	35202	-0.783025
TCGA-BA-4076-01A-01D-1432-01	3	2212571	68032161	38544	0.000000
TCGA-BA-4076-01A-01D-1432-01	3	68035337	68237898	111	0.719799
TCGA-BA-4076-01A-01D-1432-01	3	68238414	68624363	312	1.394258
TCGA-BA-4076-01A-01D-1432-01	3	68647922	68843196	119	0.719799
TCGA-BA-4076-01A-01D-1432-01	3	68851208	197538677	67335	0.000000
TCGA-BA-4076-01A-01D-1432-01	4	1053934	188762240	102782	0.000000
TCGA-BA-4076-01A-01D-1432-01	5	914233	22050900	12908	0.765646
TCGA-BA-4076-01A-01D-1432-01	5	22051657	180360469	87640	0.000000
TCGA-BA-4076-01A-01D-1432-01	6	1014281	68935833	37414	0.000000
TCGA-BA-4076-01A-01D-1432-01	6	68935920	132174929	35830	-0.795028
TCGA-BA-4076-01A-01D-1432-01	6	132179126	132384498	144	0.000000
TCGA-BA-4076-01A-01D-1432-01	6	132385028	133325845	681	2.013691
TCGA-BA-4076-01A-01D-1432-01	6	133332393	134500925	772	3.617518
TCGA-BA-4076-01A-01D-1432-01	6	134500965	135218316	492	2.172628
TCGA-BA-4076-01A-01D-1432-01	6	135219266	135956534	515	1.354460
TCGA-BA-4076-01A-01D-1432-01	6	135959674	137304787	849	2.581006
TCGA-BA-4076-01A-01D-1432-01	6	137308869	140626632	2097	3.617518
TCGA-BA-4076-01A-01D-1432-01	6	140636631	141608698	281	-0.736698
TCGA-BA-4076-01A-01D-1432-01	6	141666059	142873650	591	1.832424
TCGA-BA-4076-01A-01D-1432-01	6	142874162	142927480	38	2.899664
TCGA-BA-4076-01A-01D-1432-01	6	142928331	143591422	430	3.619637
TCGA-BA-4076-01A-01D-1432-01	6	143592098	143725657	110	3.333073
TCGA-BA-4076-01A-01D-1432-01	6	143725670	144317337	465	3.619637
TCGA-BA-4076-01A-01D-1432-01	6	144320591	146689262	1383	2.600452
TCGA-BA-4076-01A-01D-1432-01	6	146703973	146802781	76	0.000000
TCGA-BA-4076-01A-01D-1432-01	6	146809716	147371335	373	2.624947
TCGA-BA-4076-01A-01D-1432-01	6	147378249	147520965	102	-0.849469
TCGA-BA-4076-01A-01D-1432-01	6	147526809	147881171	191	0.000000
TCGA-BA-4076-01A-01D-1432-01	6	147886592	148584551	577	-0.800029
TCGA-BA-4076-01A-01D-1432-01	6	148587096	170903919	13121	0.000000
TCGA-BA-4076-01A-01D-1432-01	7	705284	53239545	31283	0.000000
TCGA-BA-4076-01A-01D-1432-01	7	53239585	53447401	161	0.621240
TCGA-BA-4076-01A-01D-1432-01	7	53449223	56264731	1722	3.656854
TCGA-BA-4076-01A-01D-1432-01	7	56264982	56273376	10	-0.491784
TCGA-BA-4076-01A-01D-1432-01	7	56277538	56704382	187	3.656854
TCGA-BA-4076-01A-01D-1432-01	7	57198661	57244041	26	1.378072
TCGA-BA-4076-01A-01D-1432-01	7	57252686	57935910	6	0.433951
TCGA-BA-4076-01A-01D-1432-01	7	63112265	63146277	11	1.890889
TCGA-BA-4076-01A-01D-1432-01	7	63150615	70390176	3124	0.000000
TCGA-BA-4076-01A-01D-1432-01	7	70401731	70409319	7	-0.418576
TCGA-BA-4076-01A-01D-1432-01	7	70411303	98225412	13558	0.000000
TCGA-BA-4076-01A-01D-1432-01	7	98230657	100198869	720	0.630597
TCGA-BA-4076-01A-01D-1432-01	7	100214487	100656028	123	1.789267
TCGA-BA-4076-01A-01D-1432-01	7	100656098	142625070	22454	0.000000
TCGA-BA-4076-01A-01D-1432-01	7	142625578	142639730	13	-0.402204
TCGA-BA-4076-01A-01D-1432-01	7	142640362	158385118	7950	0.000000
TCGA-BA-4076-01A-01D-1432-01	8	617667	11638988	5065	0.000000
TCGA-BA-4076-01A-01D-1432-01	8	11643803	11644821	5	-0.456497
TCGA-BA-4076-01A-01D-1432-01	8	11645557	14273370	1280	0.000000
TCGA-BA-4076-01A-01D-1432-01	8	14277111	14293503	13	-0.469535
TCGA-BA-4076-01A-01D-1432-01	8	14298587	105884589	51565	0.000000
TCGA-BA-4076-01A-01D-1432-01	8	105884605	143812999	23258	0.764269
TCGA-BA-4076-01A-01D-1432-01	8	143815169	145232496	390	1.277707
TCGA-BA-4076-01A-01D-1432-01	9	789932	21926591	13460	0.000000
TCGA-BA-4076-01A-01D-1432-01	9	21927327	22125503	153	-0.475934
TCGA-BA-4076-01A-01D-1432-01	9	22128709	140938752	54434	0.000000
TCGA-BA-4076-01A-01D-1432-01	10	415240	8618186	5700	-0.844859
