"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"Adaptive Immune System"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ANAPC1 ANAPC7 FZR1 HRAS KRAS IKBKB MAP3K7 NFKB1 TAB2 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 YWHAZ C3 CARD11 MALT1 PRKCB REL PRKACA RASGRP1 PAK3 RAC1 SOS1 KIF3A AGO1 AGO2 AGO3 AGO4 AP1G1 AP1M1 AP2A1 AP2B1 ASB1 ASB10 ASB13 ASB15 ASB2 ASB4 ASB5 ASB9 BLK BLMH BLNK CBL CD19 CD247 CD28 CD34 CD40 CD40LG CD80 CD8A CDC42 CENPE CTLA4 CTSS CUL3 CUL5 CXADR CYBB DNM2 DNM3 DTX3L DYNC1H1 DYNC1I1 DYNC1LI2 DYNC2H1 EGF EGFR ERAP1 ERAP2 ERBB3 ERBB4 FBXO3 FBXW7 FGFR1 FGFR3 FGFR4 FYB FYN GAN GRAP2 HERC2 HLA-A HLA-B HLA-C HLA-DRA HUWE1 ICAM1 ICAM2 IGHM IGKC IGLV1-36 IGLV5-37 INPP5D ITGA4 ITGAV ITGB1 ITPR1 ITPR2 ITPR3 KEAP1 KIF18A KIF22 KIF23 KIF2B KIF3B KIF3C KIF4A KIF4B KIF5A KIF5B KIF5C KIR2DL1 KIR3DL1 KIR3DL2 KIT KL KLHL13 KLHL9 KLRG1 LCK LGMN LILRA1 LILRB1 LILRB2 LILRB3 LNPEP LYN MAP3K14 MGRN1 MICB MKRN1 MRC2 MTOR NCF4 NPEPPS NRG1 NRG2 NRG3 ORAI1 PARK2 PDGFRA PDGFRB PHLPP2 PIK3AP1 PIK3CA PIK3CB PIK3R1 PJA1 PLCG1 PLCG2 PRKCQ PTEN PTPRC PVR RACGAP1 RAET1E RAP1B RAP1GAP RAP1GAP2 RAPGEF3 RBCK1 RCHY1 RICTOR RNF111 RNF182 RNF220 RNF25 RNF6 SEC23A SEC24B SEC31A SEC61A1 SELL SH3GL2 SH3KBP1 SMURF2 SPSB1 SPSB2 SPTBN2 SRMS STUB1 SYK TAP1 TAP2 TNRC6A TNRC6B TPP2 TRAC TRAT1 TRIM36 TRIM37 TRIM9 TRIP12 TRPC1 UBA6 UBE2J1 UBE2O UBE2Q1 UBE3B UBE4A UBR1 UBR2 UBR4 VASP VCAM1 VPRBP WSB1 WWP1 YES1 ZAP70 ZBTB16 CR2"
"Adenosine P1 receptors"	"ADORA1"
"Adenylate cyclase activating pathway"	"ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9"
"Adenylate cyclase inhibitory pathway"	"GNAI1 GNAI3 GNAT3 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9"
"Adherens junctions interactions"	"CTNNB1 PVR CADM1 CADM2 CADM3 CDH10 CDH11 CDH12 CDH13 CDH15 CDH17 CDH18 CDH2 CDH24 CDH3 CDH5 CDH6 CDH7 CDH8 CDH9 CTNNA1 CTNND1 JUP PVRL3 PVRL4"
"Adrenaline signalling through Alpha-2 adrenergic receptor"	"ADRA2B"
"Adrenaline,noradrenaline inhibits insulin secretion"	"GNB3 GNG12 GNG2 GNAI1 ADCY5 ADCY6 CACNA1C CACNA1D CACNB2"
"Adrenoceptors"	"ADRA2B ADRA1A ADRB3"
"Advanced glycosylation endproduct receptor signaling"	"S100B CAPZA1"
"Aflatoxin activation and detoxification"	"CYP1A2 CYP2A13 CYP3A4 CYP3A5 DPEP2 MGST1"
"Alpha-defensins"	"ART1"
"Alpha-oxidation of phytanate"	"PHYH SLC27A2"
"Alternative complement activation"	"C3"
"Amine compound SLC transporters"	"SLC22A2 SLC5A7 SLC44A1 SLC44A2 SLC44A3 SLC6A11 SLC6A12 SLC6A13 SLC6A15 SLC6A20 SLC6A9"
"Amine ligand-binding receptors"	"CHRM3 ADRA2B ADRA1A ADRB3 CHRM2 DRD2 DRD3 DRD4 DRD5 HRH1 HRH2 HTR1A HTR1B HTR1E HTR1F HTR7 TAAR1 TAAR2"
"Amine-derived hormones"	"AANAT ASMT DBH SLC5A5 TH TPO"
"Amino Acid conjugation"	"ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2"
"Amino acid and oligopeptide SLC transporters"	"SLC6A12 SLC6A15 SLC6A20 SLC5A5 SLC15A2 SLC15A4 SLC16A10 SLC17A1 SLC17A6 SLC17A7 SLC17A8 SLC38A1 SLC38A5 SLC5A8 SLC7A1 SLC7A10 SLC7A11 SLC7A3 SLC7A7"
"Amino acid synthesis and interconversion (transamination)"	"ASNS GLUD1 GPT2"
"Amino acid transport across the plasma membrane"	"SLC6A12 SLC6A15 SLC6A20 SLC16A10 SLC38A1 SLC38A5 SLC7A1 SLC7A10 SLC7A11 SLC7A3 SLC7A7"
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"MAD1L1"
"Amplification of signal from the kinetochores"	"MAD1L1"
"Amyloids"	"HSPG2 CST3 FGA GSN H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN MFGE8 ODAM PRL SEMG1 TGFBI"
"Anchoring fibril formation"	"COL7A1 LAMB3 TLL1"
"Anchoring of the basal body to the plasma membrane"	"PPP2R1A NEK2 PLK1 YWHAE AKAP9 PRKACA DYNC1H1 ALMS1 C2CD3 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CEP97 CSNK1E FBF1 FGFR1OP KIF24 MAPRE1 MARK4 NEDD1 NINL NPHP4 ODF2 OFD1 PCNT PLK4 PRKAR2B RAB3IP RPGRIP1L SCLT1 SFI1 TMEM67 TTBK2 TUBB4A TUBB4B TUBG1"
"Androgen biosynthesis"	"HSD3B1 LHB POMC SRD5A2"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"ERAP1 ERAP2 HLA-A HLA-B HLA-C SEC23A SEC24B SEC31A TAP1 TAP2"
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"SOS1 BLK BLNK CBL CD19 FYN IGHM IGKC ITPR1 ITPR2 ITPR3 LYN ORAI1 PIK3AP1 PIK3R1 PLCG1 PLCG2 SH3KBP1 SRMS SYK TRPC1"
"Antigen processing-Cross presentation"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC CTSS CYBB HLA-A HLA-B HLA-C ITGAV LNPEP MRC2 NCF4 SEC61A1 TAP1 TAP2"
"Antigen processing: Ubiquitination & Proteasome degradation"	"CUL1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ANAPC1 ANAPC7 FZR1 ASB1 ASB10 ASB13 ASB15 ASB2 ASB4 ASB5 ASB9 BLMH CUL3 CUL5 DTX3L FBXO3 FBXW7 GAN HERC2 HUWE1 KEAP1 KLHL13 KLHL9 LNPEP MGRN1 MKRN1 NPEPPS PARK2 PJA1 RBCK1 RCHY1 RNF111 RNF182 RNF220 RNF25 RNF6 SMURF2 SPSB1 SPSB2 STUB1 TPP2 TRIM36 TRIM37 TRIM9 TRIP12 UBA6 UBE2J1 UBE2O UBE2Q1 UBE3B UBE4A UBR1 UBR2 UBR4 VPRBP WSB1 WWP1 ZBTB16"
"Antiviral mechanism by IFN-stimulated genes"	"EIF4G1 UBB UBC JAK1 PLCG1 AAAS EIF4A3 EIF4G2 FLNB KPNA5 MX1 NUP133 NUP153 NUP188 NUP205 NUP210 NUP214 NUP50 NUP54 NUP62 NUP88 NUPL1 RANBP2 TPR USP41"
"Apoptosis"	"AKT2 AKT3 APC CTNNB1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC CASP8 BID CLSPN YWHAE YWHAQ YWHAZ BCL2L11 TFDP1 TP53 CASP3 HIST1H1B HIST1H1C HIST1H1D APAF1 CASP7 NMT1 PRKCQ GSN ACIN1 ARHGAP10 CASP6 DBNL DNM1L DSG1 DSG2 DSG3 DSP FASLG GAS2 LMNB1 MAPT STK26 PLEC PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2 TNFRSF10B VIM"
"Apoptosis induced DNA fragmentation"	"CASP3 HIST1H1B HIST1H1C HIST1H1D"
"Apoptotic cleavage of cell adhesion  proteins"	"CTNNB1 CASP3 DSG1 DSG2 DSG3 DSP TJP1 TJP2"
"Apoptotic cleavage of cellular proteins"	"APC CTNNB1 CASP8 CLSPN CASP3 CASP7 PRKCQ GSN ACIN1 CASP6 DBNL DSG1 DSG2 DSG3 DSP GAS2 LMNB1 MAPT STK26 PLEC PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2 VIM"
"Apoptotic execution  phase"	"APC CTNNB1 CASP8 CLSPN CASP3 HIST1H1B HIST1H1C HIST1H1D CASP7 PRKCQ GSN ACIN1 CASP6 DBNL DNM1L DSG1 DSG2 DSG3 DSP GAS2 LMNB1 MAPT STK26 PLEC PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2 VIM"
"Apoptotic factor-mediated response"	"CASP3 APAF1 CASP7"
"Aquaporin-mediated transport"	"GNB3 GNG12 GNG2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA PRKAR2B AQP11 AQP6 AQP9 AVPR2 GNAS MYO5B RAB11FIP2"
"Arachidonate production from DAG"	"DAGLA DAGLB"
"Arachidonic acid metabolism"	"CYP1A2 DPEP2 ALOX12 ALOX12B ALOX5 CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 EPHX2 GPX2 PTGES3 PTGIS PTGS1 TBXAS1"
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	"CYP1A2"
"Asparagine N-linked glycosylation"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Assembly Of The HIV Virion"	"UBB UBC NMT2 VPS37B"
"Assembly of collagen fibrils and other multimeric structures"	"CTSS COL7A1 LAMB3 TLL1 PLEC COL10A1 COL11A1 COL11A2 COL15A1 COL1A1 COL1A2 COL24A1 COL27A1 COL2A1 COL3A1 COL4A2 COL4A3 COL4A4 COL4A5 COL5A1 COL5A2 COL5A3 COL6A2 COL6A3 COL6A5 COL6A6 COL8A1 COL8A2 DST ITGA6 ITGB4 LOXL3 MMP20"
"Assembly of the ORC complex at the origin of replication"	"ORC5"
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"NBN RAD50"
"Assembly of the RAD51-ssDNA nucleoprotein complex"	"RPA1 RAD51"
"Assembly of the pre-replicative complex"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 CDT1"
"Assembly of the primary cilium"	"PPP2R1A NEK2 PLK1 ARL13B YWHAE AKAP9 PRKACA KIF3A SMO CNGB1 RHO DYNC1H1 DYNC2H1 KIF3B KIF3C ALMS1 C2CD3 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CEP97 CSNK1E FBF1 FGFR1OP KIF24 MAPRE1 MARK4 NEDD1 NINL NPHP4 ODF2 OFD1 PCNT PLK4 PRKAR2B RAB3IP RPGRIP1L SCLT1 SFI1 TMEM67 TTBK2 TUBB4A TUBB4B TUBG1 ARF4 ARL3 ASAP1 BBS10 BBS12 BBS9 CCT5 CNGA4 DYNLRB1 DYNLRB2 EXOC2 EXOC4 EXOC6 EXOC8 GBF1 HDAC6 IFT140 IFT172 IFT43 IFT57 IFT80 IFT88 KIF17 NPHP3 PKD1 RAB11FIP3 SSTR3 TNPO1 TRIP11 TTC26 TTC8 WDR19 WDR35 WDR60"
"Association of TriC/CCT with target proteins during biosynthesis"	"FBXW7 CCT5 CCT6A FBXW10 FBXW4 FBXW5 LONP2 NOP56 SKIV2L USP11"
"Association of licensing factors with the pre-replicative complex"	"UBB UBC ORC5 CDT1"
"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	"SLC38A1"
"Asymmetric localization of PCP proteins"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC SMURF2 FZD1 FZD2 FZD4 FZD5 FZD8 PRICKLE1 SCRIB VANGL2"
"Attachment of GPI anchor to uPAR"	"PIGT"
"Attenuation phase"	"UBB HSPA8 CREBBP PTGES3 DEDD2 EP300 FKBP4 HSP90AB1 HSPA1L"
"Autodegradation of Cdh1 by Cdh1:APC/C"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 FZR1"
"Autodegradation of the E3 ubiquitin ligase COP1"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ATM TP53 RFWD2"
"Autointegration results in viral DNA circles"	"PSIP1"
