"Number of paths"	"Path names"
"GJB1"	4	"Gap junction assembly | Gap junction trafficking | Oligomerization of connexins into connexons | Transport of connexins along the secretory pathway"
"NOTCH2"	3	"NICD traffics to nucleus | Notch-HLH transcription pathway | Pre-NOTCH Processing in the Endoplasmic Reticulum"
"NOTCH3"	3	"NICD traffics to nucleus | Notch-HLH transcription pathway | Pre-NOTCH Processing in the Endoplasmic Reticulum"
"NOTCH4"	3	"NICD traffics to nucleus | Notch-HLH transcription pathway | Pre-NOTCH Processing in the Endoplasmic Reticulum"
"ALKBH2"	3	"ABH2 mediated Reversal of Alkylation Damage | DNA Damage Reversal | Reversal of Alkylation Damage By DNA Dioxygenases"
"ALKBH3"	3	"ABH3 mediated Reversal of Alkylation Damage | DNA Damage Reversal | Reversal of Alkylation Damage By DNA Dioxygenases"
"NGF"	3	"Axonal growth stimulation | Ceramide signalling | NGF processing"
"BRCA1"	3	"ATM mediated phosphorylation of repair proteins | ATM mediated response to DNA double-strand break | Fanconi Anemia pathway"
"CASP8"	3	"Activation, myristolyation of BID and translocation to mitochondria | FasL/ CD95L signaling | TRAIL  signaling"
"BID"	3	"Activation and oligomerization of BAK protein | Activation, myristolyation of BID and translocation to mitochondria | Activation, translocation and oligomerization of BAX"
"TP53"	3	"Activation of NOXA and translocation to mitochondria | Transcriptional  activation of  cell cycle inhibitor p21 | Transcriptional activation of p53 responsive genes"
"ADCY1"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY2"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY3"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY4"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY5"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY6"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY7"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY8"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"ADCY9"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"GNAL"	3	"Adenylate cyclase activating pathway | Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"AP2M1"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"CLTA"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"CLTC"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"DNM1"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"PAOX"	3	"Amine Oxidase reactions | Interconversion of polyamines | PAOs oxidise polyamines to amines"
"SMOX"	3	"Amine Oxidase reactions | Interconversion of polyamines | PAOs oxidise polyamines to amines"
"ACSM2A"	3	"Amino Acid conjugation | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"ACSM4"	3	"Amino Acid conjugation | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"ACSM5"	3	"Amino Acid conjugation | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"INHBA"	3	"Antagonism of Activin by Follistatin | Glycoprotein hormones | Peptide hormone biosynthesis"
"INHBB"	3	"Antagonism of Activin by Follistatin | Glycoprotein hormones | Peptide hormone biosynthesis"
"CLTB"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"CLTCL1"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"MPG"	3	"Cleavage of the damaged purine | Depurination | Recognition and association of DNA glycosylase with site containing an affected purine"
"MUTYH"	3	"Cleavage of the damaged purine | Depurination | Recognition and association of DNA glycosylase with site containing an affected purine"
"OGG1"	3	"Cleavage of the damaged purine | Depurination | Recognition and association of DNA glycosylase with site containing an affected purine"
"SCP2"	3	"Beta-oxidation of pristanoyl-CoA | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ACAA1"	3	"Beta-oxidation of very long chain fatty acids | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ACOX1"	3	"Beta-oxidation of very long chain fatty acids | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"RBPJ"	3	"NICD traffics to nucleus | Notch-HLH transcription pathway | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"MAD2L2"	3	"DNA Damage Bypass | Translesion synthesis by DNA polymerases bypassing lesion on DNA template | Translesion synthesis by Pol zeta"
"POLH"	3	"DNA Damage Bypass | Translesion synthesis by DNA polymerases bypassing lesion on DNA template | Translesion synthesis by Pol eta"
"REV1"	3	"DNA Damage Bypass | Translesion synthesis by DNA polymerases bypassing lesion on DNA template | Translesion synthesis by HREV1"
"REV3L"	3	"DNA Damage Bypass | Translesion synthesis by DNA polymerases bypassing lesion on DNA template | Translesion synthesis by Pol zeta"
"ACSL1"	3	"Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ELOVL2"	3	"Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ELOVL5"	3	"Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"FADS1"	3	"Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"DAB2"	3	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking"
"A1CF"	3	"Formation of the Editosome | mRNA Editing | mRNA Editing: C to U Conversion"
"APOBEC1"	3	"Formation of the Editosome | mRNA Editing | mRNA Editing: C to U Conversion"
"FADS2"	3	"Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"UCP1"	3	"Mitochondrial Uncoupling Proteins | The fatty acid cycling model | The proton buffering model"
"UCP2"	3	"Mitochondrial Uncoupling Proteins | The fatty acid cycling model | The proton buffering model"
"UCP3"	3	"Mitochondrial Uncoupling Proteins | The fatty acid cycling model | The proton buffering model"
"RPS27A"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"UBA52"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"GNAI1"	2	"Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"GNAI2"	2	"Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"GNAI3"	2	"Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"GNAT3"	2	"Adenylate cyclase inhibitory pathway | Inhibition of adenylate cyclase pathway"
"CDKN1A"	2	"Transcriptional  activation of  cell cycle inhibitor p21 | Transcriptional activation of p53 responsive genes"
"UBB"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"UBC"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"MAD2L1"	2	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal | Amplification of signal from the kinetochores"
"MDC1"	2	"ATM mediated phosphorylation of repair proteins | ATM mediated response to DNA double-strand break"
"IDH1"	2	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate | NADPH regeneration"
"CD36"	2	"Cross-presentation of particulate exogenous antigens (phagosomes) | Scavenging by Class B Receptors"
"FADD"	2	"FasL/ CD95L signaling | TRAIL  signaling"
"ATR"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"C3"	2	"Activation of C3 and C5 | Alternative complement activation"
"C5"	2	"Activation of C3 and C5 | Terminal pathway of complement"
"CFB"	2	"Activation of C3 and C5 | Alternative complement activation"
"CREBBP"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"HADHA"	2	"Beta oxidation of myristoyl-CoA to lauroyl-CoA | mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"HADHB"	2	"Beta oxidation of myristoyl-CoA to lauroyl-CoA | mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"ITGB1"	2	"CHL1 interactions | Localization of the PINCH-ILK-PARVIN complex to focal adhesions"
"ADRA2A"	2	"Adrenaline signalling through Alpha-2 adrenergic receptor | Adrenoceptors"
"ADRA2B"	2	"Adrenaline signalling through Alpha-2 adrenergic receptor | Adrenoceptors"
"ADRA2C"	2	"Adrenaline signalling through Alpha-2 adrenergic receptor | Adrenoceptors"
"MAOA"	2	"Amine Oxidase reactions | Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"
"MAOB"	2	"Amine Oxidase reactions | Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"
"CGA"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"DDC"	2	"Catecholamine biosynthesis | Serotonin and melatonin biosynthesis"
"TSHB"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"SLC1A2"	2	"Astrocytic Glutamate-Glutamine Uptake And Metabolism | Neurotransmitter uptake and Metabolism In Glial Cells"
"SLC1A3"	2	"Astrocytic Glutamate-Glutamine Uptake And Metabolism | Neurotransmitter uptake and Metabolism In Glial Cells"
"SLC38A1"	2	"Astrocytic Glutamate-Glutamine Uptake And Metabolism | Neurotransmitter uptake and Metabolism In Glial Cells"
"GLUL"	2	"Astrocytic Glutamate-Glutamine Uptake And Metabolism | Neurotransmitter uptake and Metabolism In Glial Cells"
"MAD1L1"	2	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal | Amplification of signal from the kinetochores"
"LHB"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"CYP8B1"	2	"Eicosanoids | Sterols are 12-hydroxylated by CYP8B1"
"PTGIS"	2	"Eicosanoids | Sterols are 12-hydroxylated by CYP8B1"
"MRE11A"	2	"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks | MRN complex relocalizes to nuclear foci"
"RAD50"	2	"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks | MRN complex relocalizes to nuclear foci"
"ANK1"	2	"CHL1 interactions | Neurofascin interactions"
"NGFR"	2	"Axonal growth stimulation | Ceramide signalling"
"ACADL"	2	"Beta oxidation of myristoyl-CoA to lauroyl-CoA | mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"CRAT"	2	"Beta-oxidation of pristanoyl-CoA | Beta-oxidation of very long chain fatty acids"
"PCCA"	2	"Biotin transport and metabolism | Propionyl-CoA catabolism"
"PCCB"	2	"Biotin transport and metabolism | Propionyl-CoA catabolism"
"KAT2A"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"KAT2B"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"FSHB"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"MAML1"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"MAML2"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"MAML3"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"MAMLD1"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"SNW1"	2	"NICD traffics to nucleus | Notch-HLH transcription pathway"
"FANCD2"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"FANCI"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"USP1"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"ZBTB32"	2	"Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"CASP10"	2	"FasL/ CD95L signaling | TRAIL  signaling"
"HNF1B"	2	"Regulation of gene expression in early pancreatic precursor cells | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"NEUROG3"	2	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"ONECUT1"	2	"Regulation of gene expression in early pancreatic precursor cells | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"ONECUT3"	2	"Regulation of gene expression in early pancreatic precursor cells | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"NOS3"	2	"NOSIP mediated eNOS trafficking | NOSTRIN mediated eNOS trafficking"
"GJA10"	2	"Gap junction assembly | Gap junction trafficking"
"GJC1"	2	"Gap junction assembly | Gap junction trafficking"
"GJD2"	2	"Gap junction assembly | Gap junction trafficking"
"GJA3"	2	"Gap junction assembly | Gap junction trafficking"
"GJA4"	2	"Gap junction assembly | Gap junction trafficking"
"GJA5"	2	"Gap junction assembly | Gap junction trafficking"
"GJA8"	2	"Gap junction assembly | Gap junction trafficking"
"GJA9"	2	"Gap junction assembly | Gap junction trafficking"
"GJB3"	2	"Gap junction assembly | Gap junction trafficking"
"GJB4"	2	"Gap junction assembly | Gap junction trafficking"
"GJB5"	2	"Gap junction assembly | Gap junction trafficking"
"GJB6"	2	"Gap junction assembly | Gap junction trafficking"
"GJB7"	2	"Gap junction assembly | Gap junction trafficking"
"GJC2"	2	"Gap junction assembly | Gap junction trafficking"
"GJD3"	2	"Gap junction assembly | Gap junction trafficking"
"GJD4"	2	"Gap junction assembly | Gap junction trafficking"
"MYO6"	2	"Gap junction degradation | Gap junction trafficking"
"CGB"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"INHA"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"INHBC"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"INHBE"	2	"Glycoprotein hormones | Peptide hormone biosynthesis"
"PCSK1"	2	"Peptide hormone biosynthesis | Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"KCNK1"	2	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK) | Tandem pore domain potassium channels"
"KCNK10"	2	"TWIK related potassium channel (TREK) | Tandem pore domain potassium channels"
"KCNK13"	2	"Tandem pore domain halothane-inhibited K+ channel (THIK) | Tandem pore domain potassium channels"
"KCNK16"	2	"TWIK-related alkaline pH activated K+ channel (TALK) | Tandem pore domain potassium channels"
"KCNK17"	2	"TWIK-related alkaline pH activated K+ channel (TALK) | Tandem pore domain potassium channels"
"KCNK18"	2	"TWIK-related spinal cord K+ channel (TRESK) | Tandem pore domain potassium channels"
"KCNK2"	2	"TWIK related potassium channel (TREK) | Tandem pore domain potassium channels"
"KCNK3"	2	"TWIK-releated acid-sensitive K+ channel (TASK) | Tandem pore domain potassium channels"
"KCNK4"	2	"TWIK related potassium channel (TREK) | Tandem pore domain potassium channels"
"KCNK6"	2	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK) | Tandem pore domain potassium channels"
"KCNK7"	2	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK) | Tandem pore domain potassium channels"
"KCNK9"	2	"TWIK-releated acid-sensitive K+ channel (TASK) | Tandem pore domain potassium channels"
"SLC34A1"	2	"Sodium-coupled phosphate cotransporters | Type II Na+/Pi cotransporters"
"SLC34A2"	2	"Sodium-coupled phosphate cotransporters | Type II Na+/Pi cotransporters"
"SLC34A3"	2	"Sodium-coupled phosphate cotransporters | Type II Na+/Pi cotransporters"
"EIF2S1"	1	"Recycling of eIF2:GDP"
"EIF2S2"	1	"Recycling of eIF2:GDP"
"EIF2S3"	1	"Recycling of eIF2:GDP"
"PRPS1"	1	"5-Phosphoribose 1-diphosphate biosynthesis"
"PRPS1L1"	1	"5-Phosphoribose 1-diphosphate biosynthesis"
"PRPS2"	1	"5-Phosphoribose 1-diphosphate biosynthesis"
"ABCB10"	1	"Mitochondrial ABC transporters"
"ABCB6"	1	"Mitochondrial ABC transporters"
"ABCB7"	1	"Mitochondrial ABC transporters"
"ABCB8"	1	"Mitochondrial ABC transporters"
"ABCC5"	1	"Hyaluronan biosynthesis and export"
"ABCC8"	1	"ATP sensitive Potassium channels"
"ABCC9"	1	"ATP sensitive Potassium channels"
"ABCG5"	1	"Trafficking of dietary sterols"
"ABCG8"	1	"Trafficking of dietary sterols"
"APOA1"	1	"Scavenging by Class B Receptors"
"CTNNB1"	1	"Apoptotic cleavage of cell adhesion  proteins"
"PPP2CA"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"PPP2CB"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"PPP2R1A"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"PPP2R1B"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"PPP2R5D"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"MLXIPL"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"ARL13B"	1	"ARL13B-mediated ciliary trafficking of INPP5E"
"INPP5E"	1	"ARL13B-mediated ciliary trafficking of INPP5E"
"PDE6D"	1	"ARL13B-mediated ciliary trafficking of INPP5E"
"KCNJ11"	1	"ATP sensitive Potassium channels"
"KCNJ8"	1	"ATP sensitive Potassium channels"
"HSPA8"	1	"CHL1 interactions"
"CCBL1"	1	"Abnormal metabolism in phenylketonuria"
"IL4I1"	1	"Abnormal metabolism in phenylketonuria"
"LDHB"	1	"Abnormal metabolism in phenylketonuria"
"PAH"	1	"Abnormal metabolism in phenylketonuria"
"NAT1"	1	"Acetylation"
"NAT2"	1	"Acetylation"
"SNAP25"	1	"Toxicity of botulinum toxin type C (BoNT/C)"
"STX1A"	1	"Toxicity of botulinum toxin type C (BoNT/C)"
"CHRM3"	1	"Muscarinic acetylcholine receptors"
"CNTN1"	1	"Neurofascin interactions"
"CD14"	1	"Transfer of LPS from LBP carrier to CD14"
"SAA1"	1	"Scavenging by Class B Receptors"
"FGF10"	1	"Regulation of gene expression in early pancreatic precursor cells"
"BAK1"	1	"Activation and oligomerization of BAK protein"
"GRIA1"	1	"Activation of AMPA receptors"
"GRIA2"	1	"Activation of AMPA receptors"
"GRIA3"	1	"Activation of AMPA receptors"
"GRIA4"	1	"Activation of AMPA receptors"
"ORC1"	1	"Assembly of the ORC complex at the origin of replication"
"ORC2"	1	"Assembly of the ORC complex at the origin of replication"
"ORC3"	1	"Assembly of the ORC complex at the origin of replication"
"ORC4"	1	"Assembly of the ORC complex at the origin of replication"
"ORC5"	1	"Assembly of the ORC complex at the origin of replication"
"ORC6"	1	"Assembly of the ORC complex at the origin of replication"
"E2F1"	1	"Activation of NOXA and translocation to mitochondria"
"PMAIP1"	1	"Activation of NOXA and translocation to mitochondria"
"TFDP1"	1	"Activation of NOXA and translocation to mitochondria"
"C2"	1	"Activation of C3 and C5"
"C4A"	1	"Activation of C3 and C5"
"C4B"	1	"Activation of C3 and C5"
"CALM1"	1	"Cam-PDE 1 activation"
"CASP3"	1	"Apoptotic cleavage of cell adhesion  proteins"
"KCNJ10"	1	"Potassium transport channels"
"KCNJ16"	1	"Potassium transport channels"
"FURIN"	1	"NGF processing"
"ROBO1"	1	"Regulation of Commissural axon pathfinding by Slit and Robo"
"SLIT2"	1	"Regulation of Commissural axon pathfinding by Slit and Robo"
"BOC"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"PTCH1"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"ACACA"	1	"Biotin transport and metabolism"
"ACACB"	1	"Biotin transport and metabolism"
"GZMB"	1	"Activation, myristolyation of BID and translocation to mitochondria"
"NMT1"	1	"Activation, myristolyation of BID and translocation to mitochondria"
"BAX"	1	"Activation, translocation and oligomerization of BAX"
"MGLL"	1	"Arachidonate production from DAG"
"PLA2G4C"	1	"Hydrolysis of LPE"
"CRLS1"	1	"Synthesis of CL"
"AGO1"	1	"Small interfering RNA (siRNA) biogenesis"
"AGO2"	1	"Small interfering RNA (siRNA) biogenesis"
"AGO3"	1	"Small interfering RNA (siRNA) biogenesis"
"AGO4"	1	"Small interfering RNA (siRNA) biogenesis"
"CDH1"	1	"Apoptotic cleavage of cell adhesion  proteins"
"CYBA"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"CYBB"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"ITGAV"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"ITGB5"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"LGMN"	1	"Vitamin D (calciferol) metabolism"
"NCF1"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"NCF2"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"NCF4"	1	"Cross-presentation of particulate exogenous antigens (phagosomes)"
"PLCG2"	1	"PLC-mediated hydrolysis of PIP2"
"PVR"	1	"Nectin/Necl  trans heterodimerization"
"PVRL2"	1	"Nectin/Necl  trans heterodimerization"
"CADM1"	1	"Nectin/Necl  trans heterodimerization"
"CADM3"	1	"Nectin/Necl  trans heterodimerization"
"PVRL1"	1	"Nectin/Necl  trans heterodimerization"
"PVRL3"	1	"Nectin/Necl  trans heterodimerization"
"PVRL4"	1	"Nectin/Necl  trans heterodimerization"
"CACNA2D2"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNB2"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNB3"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"ADRA1A"	1	"Adrenoceptors"
"ADRA1B"	1	"Adrenoceptors"
"ADRA1D"	1	"Adrenoceptors"
"ADRB1"	1	"Adrenoceptors"
"ADRB2"	1	"Adrenoceptors"
"ADRB3"	1	"Adrenoceptors"
"CFD"	1	"Alternative complement activation"
"GZMM"	1	"Alternative complement activation"
"RHAG"	1	"Rhesus glycoproteins mediate ammonium transport."
"RHBG"	1	"Rhesus glycoproteins mediate ammonium transport."
"RHCG"	1	"Rhesus glycoproteins mediate ammonium transport."
"SLC6A1"	1	"Reuptake of GABA"
"SLC6A11"	1	"Reuptake of GABA"
"SLC6A12"	1	"Reuptake of GABA"
"SLC6A13"	1	"Reuptake of GABA"
"CHRM1"	1	"Muscarinic acetylcholine receptors"
"CHRM2"	1	"Muscarinic acetylcholine receptors"
"CHRM4"	1	"Muscarinic acetylcholine receptors"
"CHRM5"	1	"Muscarinic acetylcholine receptors"
"DRD1"	1	"Dopamine receptors"
"DRD2"	1	"Dopamine receptors"
"DRD3"	1	"Dopamine receptors"
"DRD4"	1	"Dopamine receptors"
"DRD5"	1	"Dopamine receptors"
"AANAT"	1	"Serotonin and melatonin biosynthesis"
"ASMT"	1	"Serotonin and melatonin biosynthesis"
"DBH"	1	"Catecholamine biosynthesis"
"DIO1"	1	"Regulation of thyroid hormone activity"
"DIO2"	1	"Regulation of thyroid hormone activity"
"DIO3"	1	"Regulation of thyroid hormone activity"
"PNMT"	1	"Catecholamine biosynthesis"
"SLC5A5"	1	"Organic anion transporters"
"TH"	1	"Catecholamine biosynthesis"
"TPH1"	1	"Serotonin and melatonin biosynthesis"
"TPH2"	1	"Serotonin and melatonin biosynthesis"
"SLC17A1"	1	"Organic anion transporters"
"SLC17A5"	1	"Organic anion transporters"
"SLC17A6"	1	"Organic anion transporters"
"SLC17A7"	1	"Organic anion transporters"
"SLC17A8"	1	"Organic anion transporters"
"SLC25A10"	1	"Organic anion transporters"
"SLC36A1"	1	"Proton-coupled neutral amino acid transporters"
"SLC36A2"	1	"Proton-coupled neutral amino acid transporters"
"SLC5A8"	1	"Organic anion transporters"
"PHGDH"	1	"Serine biosynthesis"
"PSAT1"	1	"Serine biosynthesis"
"PSPH"	1	"Serine biosynthesis"
"POMC"	1	"Peptide hormone biosynthesis"
"FST"	1	"Antagonism of Activin by Follistatin"
"FSTL3"	1	"Antagonism of Activin by Follistatin"
"CFLAR"	1	"TRAIL  signaling"
"DSG1"	1	"Apoptotic cleavage of cell adhesion  proteins"
"DSG2"	1	"Apoptotic cleavage of cell adhesion  proteins"
"DSG3"	1	"Apoptotic cleavage of cell adhesion  proteins"
"DSP"	1	"Apoptotic cleavage of cell adhesion  proteins"
"FAS"	1	"FasL/ CD95L signaling"
"FASLG"	1	"FasL/ CD95L signaling"
"OCLN"	1	"Apoptotic cleavage of cell adhesion  proteins"
"PKP1"	1	"Apoptotic cleavage of cell adhesion  proteins"
"TJP1"	1	"Apoptotic cleavage of cell adhesion  proteins"
"TJP2"	1	"Apoptotic cleavage of cell adhesion  proteins"
"TNFRSF10A"	1	"TRAIL  signaling"
"TNFRSF10B"	1	"TRAIL  signaling"
"TNFSF10"	1	"TRAIL  signaling"
"AVP"	1	"Vasopressin-like receptors"
