"path number"	"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"92"	92	"Telomere Extension By Telomerase"	6	6	1	0.166666666666667	6	6	6	1	0.158783783783784	47	51	26	1	0	0
"93"	93	"Clearance of Nuclear Envelope Membranes from Chromatin"	7	7	1	0.142857142857143	7	7	7	1	0.165540540540541	49	53	16	1	0	0
"94"	94	"Glycogen breakdown (glycogenolysis)"	14	14	2	0.142857142857143	14	14	14	1	0.341216216216216	101	134	42	1	0	0
"95"	95	"Pentose phosphate pathway (hexose monophosphate shunt)"	7	7	1	0.142857142857143	7	7	7	1	0.0641891891891892	19	22	11	1	0	0
"96"	96	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	21	21	3	0.142857142857143	21	21	21	1	0.199324324324324	59	88	21	1	0	0
"97"	97	"Cholesterol biosynthesis"	22	22	3	0.136363636363636	22	22	22	1	0.435810810810811	129	206	54	1	0	0
"98"	98	"ChREBP activates metabolic gene expression"	8	8	1	0.125	8	8	8	1	0.0608108108108108	18	25	6	1	0	0
"99"	99	"Ligand-receptor interactions"	8	8	1	0.125	8	8	8	1	0.097972972972973	29	36	10	1	0	0
"100"	100	"PKA activation"	16	16	2	0.125	16	16	16	1	0.290540540540541	86	107	31	1	0	0
"101"	101	"PKA-mediated phosphorylation of CREB"	17	17	2	0.117647058823529	17	17	17	1	0.290540540540541	86	112	31	1	0	0
"102"	102	"Cobalamin (Cbl, vitamin B12) transport and metabolism"	20	20	2	0.1	20	20	20	1	0.219594594594595	65	84	21	1	0	0
"103"	103	"E2F-enabled inhibition of pre-replication complex formation"	10	10	1	0.1	10	10	10	1	0.118243243243243	35	38	14	1	0	0
"104"	104	"MASTL Facilitates Mitotic Progression"	10	10	1	0.1	10	10	10	1	0.128378378378378	38	42	15	1	0	0
"105"	105	"TRIF-mediated programmed cell death"	10	10	1	0.1	10	10	10	1	0.388513513513513	115	139	85	1	0	0
"106"	106	"Dimerization of procaspase-8"	11	11	1	0.0909090909090909	11	11	11	1	0.452702702702703	134	195	85	2	0	0
"107"	107	"Regulation by c-FLIP"	11	11	1	0.0909090909090909	11	11	11	1	0.452702702702703	134	195	85	2	0	0
"108"	108	"Ligand-gated ion channel transport"	26	26	2	0.0769230769230769	26	26	26	1	0.297297297297297	88	270	60	1	0	0
"109"	109	"Regulation of pyruvate dehydrogenase (PDH) complex"	14	14	1	0.0714285714285714	14	14	14	1	0.22972972972973	68	106	15	1	0	0
"110"	110	"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	14	14	1	0.0714285714285714	14	14	14	1	0.10472972972973	31	51	7	1	0	0
"111"	111	"HDL-mediated lipid transport"	15	15	1	0.0666666666666667	15	15	15	1	0.141891891891892	42	59	11	1	0	0
"112"	112	"Regulation of innate immune responses to cytosolic DNA"	15	15	1	0.0666666666666667	15	15	15	1	0.148648648648649	44	56	15	1	0	0
"113"	113	"Synthesis, secretion, and deacylation of Ghrelin"	17	17	1	0.0588235294117647	17	17	17	1	0.344594594594595	102	144	49	1	0	0
"114"	114	"Integration of energy metabolism"	104	104	6	0.0576923076923077	104	104	100	0.961538461538462	0.631756756756757	187	610	59	0	0.000405108083912364	0.0167660579833849
"115"	115	"Generic Transcription Pathway"	483	483	26	0.0538302277432712	483	483	445	0.921325051759834	0.817567567567568	242	2376	79	0	0.000122010488810442	0.00508176591279611
"116"	116	"Transmembrane transport of small molecules"	618	618	32	0.0517799352750809	618	618	570	0.922330097087379	0.831081081081081	246	3625	85	0	1.03200638185141e-05	0.000431206384253885
"117"	117	"Gene Expression"	1164	1164	59	0.0506872852233677	1164	1164	1048	0.900343642611684	0.888513513513513	263	5766	79	0	0.000404879700919514	0.0167660579833849
"118"	118	"Iron uptake and transport"	43	43	2	0.0465116279069767	43	43	43	1	0.476351351351351	141	332	51	1	0	0
"119"	119	"Insulin receptor recycling"	26	26	1	0.0384615384615385	26	26	26	1	0.347972972972973	103	163	23	1	0	0
"120"	120	"Gap junction trafficking and regulation"	30	30	1	0.0333333333333333	30	30	30	1	0.371621621621622	110	166	58	1	0	0
"121"	121	"Ion channel transport"	167	167	5	0.029940119760479	167	167	157	0.940119760479042	0.672297297297297	199	1154	85	0	0.00108465410376701	0.0446078488543385
