"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"313"	"EGFR interacts with phospholipase C-gamma"	33	33	7	0.212121212121212	33	33	32	0.96969696969697	0.435810810810811	129	211	32	0	0.0105031458096945	0.391344662534572
"811"	"Sialic acid metabolism"	33	33	1	0.0303030303030303	33	33	32	0.96969696969697	0.442567567567568	131	211	55	0	0.0105031458096945	0.391344662534572
"681"	"G alpha (q) signalling events"	189	189	12	0.0634920634920635	189	189	174	0.920634920634921	0.668918918918919	198	1202	60	0	0.0112948204996399	0.419646694621896
"613"	"Signal amplification"	32	32	3	0.09375	32	32	31	0.96875	0.35472972972973	105	288	59	0	0.0120618716953103	0.445613746052443
"686"	"TRAF6 mediated IRF7 activation"	32	32	2	0.0625	32	32	31	0.96875	0.35472972972973	105	440	43	0	0.0120618716953103	0.445613746052443
"479"	"Gastrin-CREB signalling pathway via PKC and MAPK"	217	217	30	0.138248847926267	217	217	199	0.91705069124424	0.736486486486487	218	1362	60	0	0.0121915475991228	0.448080829715783
"112"	"G1/S DNA Damage Checkpoints"	60	60	22	0.366666666666667	60	60	57	0.95	0.489864864864865	145	292	55	0	0.012231435884864	0.448080829715783
"596"	"HDACs deacetylate histones"	60	60	6	0.1	60	60	57	0.95	0.402027027027027	119	281	60	0	0.012231435884864	0.448080829715783
"632"	"Mitotic Prophase"	106	106	9	0.0849056603773585	106	106	99	0.933962264150943	0.537162162162162	159	491	43	0	0.0122797238062186	0.448593223696541
"213"	"Removal of licensing factors from origins"	72	72	20	0.277777777777778	72	72	68	0.944444444444444	0.523648648648649	155	346	55	0	0.0124867658464789	0.454886089334074
"752"	"Defensins"	46	46	2	0.0434782608695652	46	46	44	0.956521739130435	0.331081081081081	98	391	41	0	0.0136028211383215	0.494166867311935
"152"	"CDT1 association with the CDC6:ORC:origin complex"	58	58	19	0.327586206896552	58	58	55	0.948275862068966	0.445945945945946	132	274	55	0	0.0151903064299727	0.549851721348114
"196"	"Orc1 removal from chromatin"	70	70	20	0.285714285714286	70	70	66	0.942857142857143	0.52027027027027	154	342	55	0	0.0152617760763121	0.549851721348114
"199"	"Switching of origins to a post-replicative state"	70	70	20	0.285714285714286	70	70	66	0.942857142857143	0.52027027027027	154	342	55	0	0.0152617760763121	0.549851721348114
"348"	"Signaling by FGFR1 mutants"	30	30	6	0.2	30	30	29	0.966666666666667	0.577702702702703	171	326	82	0	0.0159066924919797	0.568389356411122
"668"	"Amine compound SLC transporters"	30	30	2	0.0666666666666667	30	30	29	0.966666666666667	0.263513513513513	78	186	26	0	0.0159066924919797	0.568389356411122
"787"	"Adherens junctions interactions"	30	30	1	0.0333333333333333	30	30	29	0.966666666666667	0.310810810810811	92	198	17	0	0.0159066924919797	0.568389356411122
"201"	"IGF1R signaling cascade"	92	92	26	0.282608695652174	92	92	86	0.934782608695652	0.672297297297297	199	798	82	0	0.0161229365731363	0.572985278079177
"203"	"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	92	92	26	0.282608695652174	92	92	86	0.934782608695652	0.672297297297297	199	798	82	0	0.0161229365731363	0.572985278079177
"93"	"Signaling by VEGF"	113	113	44	0.389380530973451	113	113	105	0.929203539823009	0.658783783783784	195	634	60	0	0.0166351985075726	0.589588166505355
"130"	"p53-Dependent G1 DNA Damage Response"	57	57	20	0.350877192982456	57	57	54	0.947368421052632	0.483108108108108	143	280	55	0	0.0169160001693827	0.596308373719012
"131"	"p53-Dependent G1/S DNA damage checkpoint"	57	57	20	0.350877192982456	57	57	54	0.947368421052632	0.483108108108108	143	280	55	0	0.0169160001693827	0.596308373719012
"610"	"Antigen processing: Ubiquitination & Proteasome degradation"	211	211	20	0.0947867298578199	211	211	193	0.914691943127962	0.695945945945946	206	977	55	0	0.0176966308066141	0.622149544503888
"561"	"Transmission across Chemical Synapses"	201	201	22	0.109452736318408	201	201	184	0.915422885572139	0.739864864864865	219	1188	86	0	0.0182230986732296	0.638940668435972
"119"	"SCF(Skp2)-mediated degradation of p27/p21"	56	56	20	0.357142857142857	56	56	53	0.946428571428571	0.472972972972973	140	270	55	0	0.018828326735298	0.658396116842136
"185"	"IRS-related events triggered by IGF1R"	89	89	26	0.292134831460674	89	89	83	0.932584269662921	0.672297297297297	199	785	82	0	0.020977462446008	0.727710663478185
"255"	"DAP12 interactions"	179	179	46	0.256983240223464	179	179	164	0.916201117318436	0.756756756756757	224	1168	82	0	0.0218050221790477	0.754417700936025
"730"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	42	42	2	0.0476190476190476	42	42	40	0.952380952380952	0.493243243243243	146	286	59	0	0.0218730653819811	0.754775123624782
"180"	"IRS-related events"	88	88	26	0.295454545454545	88	88	82	0.931818181818182	0.668918918918919	198	785	82	0	0.0228767908199725	0.785726508760043
"216"	"G1/S Transition"	109	109	30	0.275229357798165	109	109	101	0.926605504587156	0.682432432432432	202	587	55	0	0.0228901819304448	0.785726508760043
"127"	"AUF1 (hnRNP D0) destabilizes mRNA"	54	54	19	0.351851851851852	54	54	51	0.944444444444444	0.459459459459459	136	318	55	0	0.0232896147746076	0.795262799955641
"663"	"Protein folding"	54	54	4	0.0740740740740741	54	54	51	0.944444444444444	0.472972972972973	140	266	25	0	0.0232896147746076	0.795262799955641
"809"	"Stimuli-sensing channels"	98	98	3	0.0306122448979592	98	98	91	0.928571428571429	0.64527027027027	191	614	85	0	0.0240477039863521	0.801221230366137
"724"	"Pre-NOTCH Transcription and Translation"	41	41	2	0.0487804878048781	41	41	39	0.951219512195122	0.557432432432432	165	296	80	0	0.0246047978033519	0.801221230366137
"570"	"Defective AMN causes hereditary megaloblastic anemia 1"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"571"	"Defective BTD causes biotidinase deficiency"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"572"	"Defective CD320 causes methylmalonic aciduria"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"573"	"Defective CUBN causes hereditary megaloblastic anemia 1"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"574"	"Defective GIF causes intrinsic factor deficiency"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"575"	"Defective HLCS causes multiple carboxylase deficiency"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"576"	"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"577"	"Defective MMAA causes methylmalonic aciduria type cblA"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"578"	"Defective MMAB causes methylmalonic aciduria type cblB"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"579"	"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"580"	"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"581"	"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"582"	"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"583"	"Defective MUT causes methylmalonic aciduria mut type"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"584"	"Defective TCN2 causes hereditary megaloblastic anemia"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"585"	"Defects in biotin (Btn) metabolism"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"586"	"Defects in cobalamin (B12) metabolism"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"587"	"Defects in vitamin and cofactor metabolism"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"588"	"Metabolism of vitamins and cofactors"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"589"	"Metabolism of water-soluble vitamins and cofactors"	87	87	9	0.103448275862069	87	87	81	0.931034482758621	0.597972972972973	177	492	60	0	0.0249344458578333	0.801221230366137
"314"	"Cell Cycle Checkpoints"	118	118	25	0.211864406779661	118	118	109	0.923728813559322	0.631756756756757	187	622	55	0	0.0251169494791611	0.805107487782285
"870"	"Mitochondrial translation initiation"	86	86	1	0.0116279069767442	86	86	80	0.930232558139535	0.581081081081081	172	525	58	0	0.0271620381332701	0.866414345992202
"871"	"Mitochondrial translation termination"	86	86	1	0.0116279069767442	86	86	80	0.930232558139535	0.581081081081081	172	528	58	0	0.0271620381332701	0.866414345992202
"176"	"APC/C:Cdc20 mediated degradation of Securin"	64	64	19	0.296875	64	64	60	0.9375	0.442567567567568	131	274	55	0	0.0275145012376806	0.873396737710644
"177"	"ER-Phagosome pathway"	64	64	19	0.296875	64	64	60	0.9375	0.47972972972973	142	315	55	0	0.0275145012376806	0.873396737710644
"818"	"PRC2 methylates histones and DNA"	40	40	1	0.025	40	40	38	0.95	0.243243243243243	72	149	14	0	0.0276650316070057	0.873932653176899
"248"	"Regulation of DNA replication"	75	75	20	0.266666666666667	75	75	70	0.933333333333333	0.547297297297297	162	363	55	0	0.0277501966377094	0.874510654388429
"73"	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	52	52	21	0.403846153846154	52	52	49	0.942307692307692	0.435810810810811	129	246	55	0	0.0287450269157592	0.897213569965404
"74"	"p53-Independent DNA Damage Response"	52	52	21	0.403846153846154	52	52	49	0.942307692307692	0.435810810810811	129	246	55	0	0.0287450269157592	0.897213569965404
"75"	"p53-Independent G1/S DNA damage checkpoint"	52	52	21	0.403846153846154	52	52	49	0.942307692307692	0.435810810810811	129	246	55	0	0.0287450269157592	0.897213569965404
"114"	"Stabilization of p53"	52	52	19	0.365384615384615	52	52	49	0.942307692307692	0.449324324324324	133	256	55	0	0.0287450269157592	0.897213569965404
"359"	"Signaling by Hedgehog"	136	136	26	0.191176470588235	136	136	125	0.919117647058823	0.658783783783784	195	669	55	0	0.0288162492391584	0.897295104306072
"762"	"G alpha (s) signalling events"	126	126	5	0.0396825396825397	126	126	116	0.920634920634921	0.652027027027027	193	687	59	0	0.0291016396844811	0.904029287246068
"184"	"IRS-mediated signalling"	85	85	25	0.294117647058824	85	85	79	0.929411764705882	0.665540540540541	197	772	82	0	0.0295718450862449	0.914292572939386
"224"	"Hedgehog 'on' state"	85	85	23	0.270588235294118	85	85	79	0.929411764705882	0.550675675675676	163	404	55	0	0.0295718450862449	0.914292572939386
"166"	"Asymmetric localization of PCP proteins"	63	63	19	0.301587301587302	63	63	59	0.936507936507937	0.516891891891892	153	345	55	0	0.0302939775613488	0.93441021950693
"85"	"VEGFA-VEGFR2 Pathway"	105	105	42	0.4	105	105	97	0.923809523809524	0.652027027027027	193	594	60	0	0.0312402830771461	0.956828763451432
"413"	"Regulation of IFNA signaling"	25	25	4	0.16	25	25	24	0.96	0.206081081081081	61	366	26	0	0.0317573719937777	0.963639121155151
"644"	"ADP signalling through P2Y purinoceptor 1"	25	25	2	0.08	25	25	24	0.96	0.337837837837838	100	216	59	0	0.0317573719937777	0.963639121155151
"647"	"Nitric oxide stimulates guanylate cyclase"	25	25	2	0.08	25	25	24	0.96	0.391891891891892	116	230	60	0	0.0317573719937777	0.963639121155151
"109"	"Autodegradation of the E3 ubiquitin ligase COP1"	51	51	19	0.372549019607843	51	51	48	0.941176470588235	0.429054054054054	127	240	55	0	0.0319071328445077	0.965942268050104
"134"	"Signaling by SCF-KIT"	144	144	49	0.340277777777778	144	144	132	0.916666666666667	0.773648648648649	229	1046	82	0	0.0324167082977025	0.979102486452165
"167"	"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	73	73	22	0.301369863013699	73	73	68	0.931506849315068	0.449324324324324	133	289	55	0	0.0331945641855461	1
"642"	"Class I MHC mediated antigen processing & presentation"	255	255	21	0.0823529411764706	255	255	231	0.905882352941176	0.736486486486487	218	1172	55	0	0.0338177645966422	1
"771"	"Peptide hormone metabolism"	83	83	3	0.036144578313253	83	83	77	0.927710843373494	0.550675675675676	163	534	49	0	0.0349906415083165	1
"66"	"Ubiquitin-dependent degradation of Cyclin D"	50	50	21	0.42	50	50	47	0.94	0.537162162162162	159	310	80	0	0.0353958181122058	1
"67"	"Ubiquitin-dependent degradation of Cyclin D1"	50	50	21	0.42	50	50	47	0.94	0.537162162162162	159	310	80	0	0.0353958181122058	1
"78"	"CDK-mediated phosphorylation and removal of Cdc6"	50	50	20	0.4	50	50	47	0.94	0.418918918918919	124	236	55	0	0.0353958181122058	1
"82"	"Regulation of Apoptosis"	50	50	20	0.4	50	50	47	0.94	0.422297297297297	125	281	55	0	0.0353958181122058	1
"99"	"Regulation of ornithine decarboxylase (ODC)"	50	50	19	0.38	50	50	47	0.94	0.435810810810811	129	248	55	0	0.0353958181122058	1
"186"	"APC/C:Cdc20 mediated degradation of mitotic proteins"	72	72	21	0.291666666666667	72	72	67	0.930555555555556	0.445945945945946	132	287	55	0	0.0362719425134002	1
"499"	"DARPP-32 events"	24	24	3	0.125	24	24	23	0.958333333333333	0.287162162162162	85	130	23	0	0.0364646533972328	1
"183"	"Downstream signaling events of B Cell Receptor (BCR)"	170	170	50	0.294117647058824	170	170	155	0.911764705882353	0.75	222	1141	82	0	0.0380905426034428	1
"202"	"Insulin receptor signalling cascade"	92	92	26	0.282608695652174	92	92	85	0.923913043478261	0.668918918918919	198	798	82	0	0.0389332495922651	1
"874"	"Mitochondrial translation"	92	92	1	0.0108695652173913	92	92	85	0.923913043478261	0.591216216216216	175	580	58	0	0.0389332495922651	1
"72"	"Regulation of activated PAK-2p34 by proteasome mediated degradation"	49	49	20	0.408163265306122	49	49	46	0.938775510204082	0.418918918918919	124	279	55	0	0.0392415942548661	1
"157"	"Autodegradation of Cdh1 by Cdh1:APC/C"	60	60	19	0.316666666666667	60	60	56	0.933333333333333	0.429054054054054	127	259	55	0	0.0402834661101575	1
"191"	"NGF signalling via TRKA from the plasma membrane"	206	206	59	0.286407766990291	206	206	187	0.907766990291262	0.787162162162162	233	1368	82	0	0.0405404424818256	1
"171"	"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	70	70	21	0.3	70	70	65	0.928571428571429	0.445945945945946	132	285	55	0	0.0432270161712609	1
"287"	"NCAM signaling for neurite out-growth"	70	70	16	0.228571428571429	70	70	65	0.928571428571429	0.560810810810811	166	357	34	0	0.0432270161712609	1
"535"	"Loss of Function of SMAD2/3 in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"536"	"Loss of Function of SMAD4 in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"537"	"Loss of Function of TGFBR1 in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"538"	"Loss of Function of TGFBR2 in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"540"	"SMAD2/3 MH2 Domain Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"541"	"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"542"	"SMAD4 MH2 Domain Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"543"	"Signaling by TGF-beta Receptor Complex"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"544"	"Signaling by TGF-beta Receptor Complex in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"545"	"TGFBR1 KD Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"546"	"TGFBR1 LBD Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"547"	"TGFBR2 Kinase Domain Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"548"	"TGFBR2 MSI Frameshift Mutants in Cancer"	70	70	8	0.114285714285714	70	70	65	0.928571428571429	0.685810810810811	203	550	79	0	0.0432270161712609	1
"636"	"Chaperonin-mediated protein folding"	48	48	4	0.0833333333333333	48	48	45	0.9375	0.442567567567568	131	239	25	0	0.0434773241844946	1
"634"	"ABC-family proteins mediated transport"	36	36	3	0.0833333333333333	36	36	34	0.944444444444444	0.368243243243243	109	177	60	0	0.0439962786805549	1
"189"	"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"	69	69	20	0.289855072463768	69	69	64	0.927536231884058	0.445945945945946	132	282	55	0	0.0471436545969872	1
"51"	"CTLA4 inhibitory signaling"	22	22	10	0.454545454545455	22	22	21	0.954545454545455	0.327702702702703	97	141	17	0	0.0480730609478828	1
"219"	"Cyclin A/B1 associated events during G2/M transition"	22	22	6	0.272727272727273	22	22	21	0.954545454545455	0.168918918918919	50	72	15	0	0.0480730609478828	1
"742"	"ADP signalling through P2Y purinoceptor 12"	22	22	1	0.0454545454545455	22	22	21	0.954545454545455	0.337837837837838	100	217	59	0	0.0480730609478828	1
"133"	"Hh ligand biogenesis disease"	58	58	20	0.344827586206897	58	58	54	0.931034482758621	0.476351351351351	141	278	55	0	0.048553718725233	1
"860"	"DNA Damage/Telomere Stress Induced Senescence"	58	58	1	0.0172413793103448	58	58	54	0.931034482758621	0.277027027027027	82	214	16	0	0.048553718725233	1
"624"	"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways"	79	79	7	0.0886075949367089	79	79	73	0.924050632911392	0.641891891891892	190	710	85	0	0.0486322088366306	1
"336"	"Bile acid and bile salt metabolism"	35	35	7	0.2	35	35	33	0.942857142857143	0.27027027027027	80	143	15	0	0.0493399170424593	1
"298"	"PI3K Cascade"	68	68	15	0.220588235294118	68	68	63	0.926470588235294	0.618243243243243	183	692	82	0	0.0513806563145431	1
"778"	"Pre-NOTCH Expression and Processing"	57	57	2	0.0350877192982456	57	57	53	0.929824561403509	0.587837837837838	174	377	80	0	0.0532502049217725	1
"43"	"Signal transduction by L1"	21	21	10	0.476190476190476	21	21	20	0.952380952380952	0.358108108108108	106	151	32	0	0.0551955331643615	1
"725"	"APC/C:Cdc20 mediated degradation of Cyclin B"	21	21	1	0.0476190476190476	21	21	20	0.952380952380952	0.141891891891892	42	58	11	0	0.0551955331643615	1
"733"	"Mitochondrial tRNA aminoacylation"	21	21	1	0.0476190476190476	21	21	20	0.952380952380952	0.246621621621622	73	97	16	0	0.0551955331643615	1
"200"	"Assembly of the pre-replicative complex"	67	67	19	0.283582089552239	67	67	62	0.925373134328358	0.516891891891892	153	343	55	0	0.0559599877291123	1
"864"	"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	67	67	1	0.0149253731343284	67	67	62	0.925373134328358	0.503378378378378	149	378	56	0	0.0559599877291123	1
"252"	"Signaling by EGFR in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.766891891891892	227	1239	82	0	0.0584027352635025	1
"253"	"Signaling by EGFRvIII in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.766891891891892	227	1239	82	0	0.0584027352635025	1
"254"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.766891891891892	227	1239	82	0	0.0584027352635025	1
"674"	"RMTs methylate histone arginines"	45	45	3	0.0666666666666667	45	45	42	0.933333333333333	0.527027027027027	156	331	80	0	0.0588901371328656	1
"132"	"Activation of NF-kappaB in B cells"	66	66	23	0.348484848484849	66	66	61	0.924242424242424	0.503378378378378	149	316	55	0	0.0609045935847154	1
"187"	"Regulation of mRNA stability by proteins that bind AU-rich elements"	86	86	25	0.290697674418605	86	86	79	0.918604651162791	0.537162162162162	159	491	55	0	0.061702604459241	1
"517"	"Metabolism of steroid hormones and vitamin D"	33	33	4	0.121212121212121	33	33	31	0.939393939393939	0.412162162162162	122	219	33	0	0.0619411000350171	1
"519"	"Steroid hormones"	33	33	4	0.121212121212121	33	33	31	0.939393939393939	0.412162162162162	122	219	33	0	0.0619411000350171	1
"691"	"Glucagon signaling in metabolic regulation"	33	33	2	0.0606060606060606	33	33	31	0.939393939393939	0.449324324324324	133	242	59	0	0.0619411000350171	1
"692"	"Negative regulators of RIG-I/MDA5 signaling"	33	33	2	0.0606060606060606	33	33	31	0.939393939393939	0.293918918918919	87	124	13	0	0.0619411000350171	1
